match_name,match_time,team_name,yes,no
Brentford v Man Utd,Sat 27 Sep 13:30,Brentford,4.33,1.2
Brentford v Man Utd,Sat 27 Sep 13:30,Man Utd,3.5,1.28
Chelsea v Brighton,Sat 27 Sep 16:00,Chelsea,3.0,1.36
Chelsea v Brighton,Sat 27 Sep 16:00,Brighton,6.0,1.12
Crystal Palace v Liverpool,Sat 27 Sep 16:00,Crystal Palace,5.5,1.14
Crystal Palace v Liverpool,Sat 27 Sep 16:00,Liverpool,2.75,1.4
Leeds v Bournemouth,Sat 27 Sep 16:00,Leeds,3.75,1.25
Leeds v Bournemouth,Sat 27 Sep 16:00,Bournemouth,3.4,1.3
Man City v Burnley,Sat 27 Sep 16:00,Man City,1.83,1.83
Man City v Burnley,Sat 27 Sep 16:00,Burnley,13.0,1.04
Nottm Forest v Sunderland,Sat 27 Sep 18:30,Nott'm Forest,2.25,1.57
Nottm Forest v Sunderland,Sat 27 Sep 18:30,Sunderland,4.5,1.18
Tottenham v Wolverhampton,Sat 27 Sep 21:00,Spurs,2.25,1.57
Tottenham v Wolverhampton,Sat 27 Sep 21:00,Wolves,6.5,1.11
Aston Villa v Fulham,Sun 28 Sep 15:00,Aston Villa,2.62,1.44
Aston Villa v Fulham,Sun 28 Sep 15:00,Fulham,4.33,1.2
Newcastle v Arsenal,Sun 28 Sep 17:30,Newcastle,3.75,1.25
Newcastle v Arsenal,Sun 28 Sep 17:30,Arsenal,3.0,1.36
Everton v West Ham,Mon 29 Sep 21:00,Everton,2.37,1.53
Everton v West Ham,Mon 29 Sep 21:00,West Ham,4.5,1.18
