name,name_cleaned
David Raya Martín,David Raya
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga
Gabriel dos Santos Magalhães,Gabriel Magalhaes
Benjamin White,Ben White
Martin Ødegaard,Martin Odegaard
Gabriel Martinelli Silva,Gabriel Martinelli
Martín Zubimendi Ibáñez,Martin Zubimendi
Viktor Gyökeres,Viktor Gyokeres
Ezri Konsa Ngoyo,Ezri Konsa
Max Weiß,Max Weiss
Maxime Estève,Maxime Esteve
Đorđe Petrović,Djordje Petrovic
Marcos Senesi Barón,Marcos Senesi
Francisco Evanilson de Lima Barbosa,Evanilson
Caoimhín Kelleher,Caoimhin Kelleher
Fábio Freitas Gouveia Carvalho,Fabio Carvalho
Igor Thiago Nascimento Rodrigues,Igor Thiago
Mitoma Kaoru,Kaoru Mitoma
Robert Lynch Sánchez,Robert Sanchez
Marc Cucurella Saseta,Marc Cucurella
Pedro Lomba Neto,Pedro Neto
Enzo Fernández,Enzo Fernandez
Moisés Caicedo Corozo,Moises Caicedo
João Pedro Junqueira de Jesus,Joao Pedro
Daniel Muñoz Mejía,Daniel Munoz
Marc Guéhi,Marc Guehi
Ismaïla Sarr,Ismaila Sarr
Idrissa Gana Gueye,Idrissa Gueye
Norberto Bercique Gomes Betuncal,Beto
Jorge Cuenca Barreno,Jorge Cuenca
Raúl Jiménez Rodríguez,Raul Jimenez
Saša Lukić,Sasa Lukic
Wilfried Gnonto,Wilfried Gnonto
Tanaka Ao,Ao Tanaka
Joël Piroe,Joel Piroe
Lucas Estella Perri,Lucas Perri
Ibrahima Konaté,Ibrahima Konate
Hugo Ekitiké,Hugo Ekitike
Ederson Santana de Moraes,Ederson
Rayan Aït-Nouri,Rayan Ait Nouri
Nathan Aké,Nathan Ake
Rúben dos Santos Gato Alves Dias,Ruben Dias
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva
Jérémy Doku,Jeremy Doku
İlkay Gündoğan,Ilkay Gundogan
Sávio Moreira de Oliveira,Savinho
Altay Bayındır,Altay Bayindir
Bruno Borges Fernandes,Bruno Fernandes
Carlos Henrique Casimiro,Casemiro
Manuel Ugarte Ribeiro,Manuel Ugarte
Fabian Schär,Fabian Schar
Daniel Ballard,Dan Ballard
Bruno Guimarães Rodriguez Moura,Bruno Guimaraes
Joelinton Cássio Apolinário de Lira,Joelinton
Nikola Milenković,Nikola Milenkovic
Murillo Costa dos Santos,Murillo dos Santos
Pedro Porro Sauceda,Pedro Porro
Richarlison de Andrade,Richarlison
Lucas Tolentino Coelho de Lima,Lucas Paqueta
Niclas Füllkrug,Niclas Fullkrug
José Malheiro de Sá,Jose Sa
Jørgen Strand Larsen,Jorgen Strand Larsen
João Victor Gomes da Silva,Joao Gomes
André Trindade da Costa Neto,Andre
Jurriën Timber,Jurrien Timber
Jefferson Lerma Solís,Jefferson Lerma
Ibrahim Sangaré,Ibrahim Sangare
Matheus Santos Carneiro da Cunha,Matheus Cunha
Fábio Ferreira Vieira,Fabio Vieira
Christian Nørgaard,Christian Norgaard
Emiliano Martínez Romero,Emiliano Martinez
Julián Araujo Zúñiga,Julian Araujo
Diego Gómez Amarilla,Diego Gomez
André Onana,Andre Onana
Benoît Badiashile Mukinayi,Benoit Badiashile
Santiago Ignacio Bueno,Santiago Bueno
Martin Dúbravka,Martin Dubravka
Mikel Merino Zazón,Mikel Merino
Bafodé Diakité,Bafode Diakite
Estêvão Almeida de Oliveira Gonçalves,Estevao
Rodrigo Muniz Carvalho,Rodrigo Muniz
Nico González Iglesias,Nico Gonzalez
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Joao Palhinha
David Møller Wolfe,David Moller Wolfe
Fer López González,Fer Lopez
Andrey Nascimento dos Santos,Andrey Santos
Eliezer Mayenda Dossou,Eliezer Mayenda
Tomáš Souček,Tomas Soucek
Joël Veltman,Joel Veltman
Marc Guiu Paz,Marc Guiu
Yéremy Pino Santos,Yeremy Pino
Rodrigo 'Rodri' Hernandez Cascante,Rodri
Mateus Gonçalo Espanha Fernandes,Mateus Fernandes
Abdukodir Khusanov,Abduqodir Khusanov
Joško Gvardiol,Josko Gvardiol
Nicolò Savona,Nicolo Savona
Enzo Le Fée,Enzo Le Fee
Ladislav Krejcí,Ladislav Krejci
Ferdi Kadıoğlu,Ferdi Kadioglu
Florentino Ibrain Morris Luís,Florentino
Álex Jiménez Sánchez,Alex Jimenez
Diogo Dalot Teixeira,Diogo Dalot
Alejandro Garnacho Ferreyra,Alejandro Garnacho
Igor Jesus Maciel da Cruz,Igor Jesus
Eli Junior Kroupi,Junior Kroupi
Douglas Luiz Soares de Paulo,Douglas Luiz
Hwang Hee-chan,Hwang Hee-Chan
Kevin Santos Lopes de Macedo,Kevin
Emiliano Buendía Stati,Emiliano Buendia
Bertrand Traoré,Bertrand Traore
Yerson Mosquera Valdelamar,Yerson Mosquera
Piero Hincapié,Piero Hincapie
Jamie Bynoe-Gittens,Jamie Gittens
Adama Traoré Diarra,Adama Traore
Igor Julio dos Santos de Paulo,Igor Julio
Luis Guilherme Lira dos Santos,Luis Guilherme
Nicolás Domínguez,Nicolas Dominguez
Victor Lindelöf,Victor Lindelof
Cheick Doucouré,Cheick Doucoure
Carlos Alcaraz Durán,Charly Alcaraz
Lisandro Martínez,Lisandro Martinez
Lucas Pires Silva,Lucas Pires
Gabriel Fernando de Jesus,Gabriel Jesus
Dominic Solanke-Mitchell,Dominic Solanke
Pascal Groß,Pascal Gross
Valentín Castellanos,Taty Castellanos
Pablo Felipe Pereira de Jesus,Pablo
Chadi Riad Dnanou,Chadi Riad
Mateus Mané,Mateus Mane
Rodrigo Martins Gomes,Rodrigo Gomes
Radu Drăgușin,Radu Dragusin
Rayan Vitor Simplício Rocha,Rayan
