name,name_cleaned,team,position,now_cost
Benjamin White,Ben White,Arsenal,DEF,5.1
Brayden Clarke,Brayden Clarke,Arsenal,DEF,3.8
Cristhian Mosquera,Cristhian Mosquera,Arsenal,DEF,5.3
Gabriel dos Santos Magalhães,Gabriel Magalhaes,Arsenal,DEF,7.1
Jakub Kiwior,Jakub Kiwior,Arsenal,DEF,5.4
Josh Nichols,Josh Nichols,Arsenal,DEF,3.8
Jurriën Timber,Jurrien Timber,Arsenal,DEF,6.4
Maldini Kacurri,Maldini Kacurri,Arsenal,DEF,3.9
Marli Salmon,Marli Salmon,Arsenal,DEF,4.0
Myles Lewis-Skelly,Myles Lewis-Skelly,Arsenal,DEF,5.1
Piero Hincapié,Piero Hincapie,Arsenal,DEF,5.1
Riccardo Calafiori,Riccardo Calafiori,Arsenal,DEF,5.6
William Saliba,William Saliba,Arsenal,DEF,6.1
Andrés García,Andrés García,Aston Villa,DEF,3.9
Ezri Konsa Ngoyo,Ezri Konsa,Aston Villa,DEF,4.4
Ian Maatsen,Ian Maatsen,Aston Villa,DEF,4.2
Lamare Bogarde,Lamare Bogarde,Aston Villa,DEF,4.0
Leon Routh,Leon Routh,Aston Villa,DEF,4.0
Lino da Cruz Sousa,Lino da Cruz Sousa,Aston Villa,DEF,3.8
Lucas Digne,Lucas Digne,Aston Villa,DEF,4.5
Matty Cash,Matty Cash,Aston Villa,DEF,4.9
Pau Torres,Pau Torres,Aston Villa,DEF,4.3
TJ Carroll,TJ Carroll,Aston Villa,DEF,4.0
Travis Patterson,Travis Patterson,Aston Villa,DEF,3.9
Triston Rowe,Triston Rowe,Aston Villa,DEF,4.0
Tyrone Mings,Tyrone Mings,Aston Villa,DEF,4.3
Victor Lindelöf,Victor Lindelof,Aston Villa,DEF,4.5
Yasin Özcan,Yasin Özcan,Aston Villa,DEF,4.0
Álex Moreno Lopera,Álex Moreno Lopera,Aston Villa,DEF,4.0
Adam Smith,Adam Smith,Bournemouth,DEF,4.4
Adrien Truffert,Adrien Truffert,Bournemouth,DEF,4.5
Álex Jiménez Sánchez,Alex Jimenez,Bournemouth,DEF,4.5
Bafodé Diakité,Bafode Diakite,Bournemouth,DEF,4.2
Chris Mepham,Chris Mepham,Bournemouth,DEF,4.0
Illia Zabarnyi,Illia Zabarnyi,Bournemouth,DEF,5.0
James Hill,James Hill,Bournemouth,DEF,4.0
Julián Araujo Zúñiga,Julian Araujo,Bournemouth,DEF,3.8
Julio Soler Barreto,Julio Soler Barreto,Bournemouth,DEF,4.0
Marcos Senesi Barón,Marcos Senesi,Bournemouth,DEF,4.8
Matai Akinmboni,Matai Akinmboni,Bournemouth,DEF,3.8
Owen Bevan,Owen Bevan,Bournemouth,DEF,3.8
Veljko Milosavljevic,Veljko Milosavljevic,Bournemouth,DEF,4.4
Aaron Hickey,Aaron Hickey,Brentford,DEF,4.0
Benjamin Arthur,Benjamin Arthur,Brentford,DEF,3.8
Benjamin Fredrick,Benjamin Fredrick,Brentford,DEF,4.0
Ethan Pinnock,Ethan Pinnock,Brentford,DEF,4.2
Jayden Meghoma,Jayden Meghoma,Brentford,DEF,4.0
Keane Lewis-Potter,Keane Lewis-Potter,Brentford,DEF,4.8
Kim Ji-soo,Kim Ji-soo,Brentford,DEF,3.9
Kristoffer Ajer,Kristoffer Ajer,Brentford,DEF,4.4
Mads Roerslev Rasmussen,Mads Roerslev Rasmussen,Brentford,DEF,4.5
Michael Kayode,Michael Kayode,Brentford,DEF,4.5
Nathan Collins,Nathan Collins,Brentford,DEF,5.0
Rico Henry,Rico Henry,Brentford,DEF,4.3
Sepp van den Berg,Sepp van den Berg,Brentford,DEF,4.5
