Match,Date,Team,Goalkeeper,0.5 Saves,1.5 Saves,2.5 Saves,3.5 Saves,4.5 Saves,5.5 Saves,6.5 Saves,7.5 Saves
Arsenal v Nottm Forest,Sat 13 Sep 21:30,Arsenal,David Raya,1.062,1.36,2.10,3.75,8.00,,,
Arsenal v Nottm Forest,Sat 13 Sep 21:30,Nottm Forest,Matz Sels,,1.14,1.44,2.10,3.50,6.50,,
Bournemouth v Brighton,Sun 14 Sep 00:00,Bournemouth,Djordje Petrovic,,1.22,1.66,2.62,5.00,11.00,,
Bournemouth v Brighton,Sun 14 Sep 00:00,Brighton,Bart Verbruggen,,1.14,1.44,2.20,3.75,7.00,,
Crystal Palace v Sunderland,Sun 14 Sep 00:00,Crystal Palace,Dean Henderson,1.083,1.44,2.37,4.50,11.00,,,
Crystal Palace v Sunderland,Sun 14 Sep 00:00,Sunderland,Robin Roefs,,1.14,1.50,2.20,3.75,7.00,,
Everton v Aston Villa,Sun 14 Sep 00:00,Everton,Jordan Pickford,1.05,1.30,1.90,3.40,7.00,,,
Everton v Aston Villa,Sun 14 Sep 00:00,Aston Villa,Emiliano Martinez,1.05,1.30,1.90,3.40,7.00,,,
Fulham v Leeds,Sun 14 Sep 00:00,Fulham,Bernd Leno,1.05,1.30,1.90,3.50,7.00,,,
Fulham v Leeds,Sun 14 Sep 00:00,Leeds,Karl Darlow,,1.14,1.50,2.20,3.75,7.00,,
Newcastle v Wolverhampton,Sun 14 Sep 00:00,Newcastle,Nick Pope,1.071,1.40,2.20,4.00,9.00,,,
Newcastle v Wolverhampton,Sun 14 Sep 00:00,Wolverhampton,Jose Sa,,1.14,1.44,2.10,3.50,7.00,,
West Ham v Tottenham,Sun 14 Sep 02:30,West Ham,Mads Hermansen,,1.12,1.40,2.00,3.40,6.00,,
West Ham v Tottenham,Sun 14 Sep 02:30,Tottenham,Guglielmo Vicario,1.05,1.30,1.90,3.40,7.00,,,
Brentford v Chelsea,Sun 14 Sep 05:00,Brentford,Caoimhin Kelleher,,1.05,1.20,1.53,2.20,3.50,6.00,11.00
Brentford v Chelsea,Sun 14 Sep 05:00,Chelsea,Robert Sanchez,,1.22,1.66,2.75,5.00,11.00,,
Burnley v Liverpool,Sun 14 Sep 23:00,Burnley,Martin Dubravka,,,1.14,1.40,1.90,3.00,5.00,9.00
Burnley v Liverpool,Sun 14 Sep 23:00,Liverpool,Alisson Becker,1.083,1.44,2.37,4.50,11.00,,,
Man City v Man Utd,Mon 15 Sep 01:30,Man City,Gianluigi Donnarumma,1.071,1.40,2.20,4.00,9.00,,,
Man City v Man Utd,Mon 15 Sep 01:30,Man Utd,Altay Bayindir,,1.083,1.33,1.80,2.75,5.00,10.00,
