match,player_name,odds
Crystal Palace v Man City,Jefferson Lerma,2.87
Crystal Palace v Man City,Cheick Doucoure,3.10
Crystal Palace v Man City,Nico Gonzalez,3.40
Crystal Palace v Man City,Vitor Reis,3.40
Crystal Palace v Man City,Will Hughes,3.60
Crystal Palace v Man City,Borna Sosa,4.00
Crystal Palace v Man City,Chadi Riad,4.00
Crystal Palace v Man City,Daniel Munoz,4.00
Crystal Palace v Man City,Matheus Nunes,4.00
Crystal Palace v Man City,Abdukodir Khusanov,4.33
Crystal Palace v Man City,Antoine Semenyo,4.33
Crystal Palace v Man City,Elliot Anderson,4.33
Crystal Palace v Man City,Jorgen Larsen,4.33
Crystal Palace v Man City,Justin Devenny,4.33
Crystal Palace v Man City,Mateo Kovacic,4.33
Crystal Palace v Man City,Nico O'Reilly,4.33
Crystal Palace v Man City,Rayan Ait Nouri,4.33
Crystal Palace v Man City,Yeremy Pino,4.33
Crystal Palace v Man City,Adam Wharton,5.00
Crystal Palace v Man City,Eddie Nketiah,5.00
Crystal Palace v Man City,Jack Grealish,5.00
Crystal Palace v Man City,Jeremy Monga,5.00
Crystal Palace v Man City,Josko Gvardiol,5.00
Crystal Palace v Man City,Remi Matthews,5.00
Crystal Palace v Man City,Romain Esse,5.00
Crystal Palace v Man City,Ruben Dias,5.00
Crystal Palace v Man City,Takehiro Tomiyasu,5.00
Crystal Palace v Man City,Rayan Cherki,5.00
Crystal Palace v Man City,Chris Richards,6.00
Crystal Palace v Man City,Daichi Kamada,6.00
Crystal Palace v Man City,Erling Haaland,6.00
Crystal Palace v Man City,Jesurun Rak-Sakyi,6.00
Crystal Palace v Man City,Jean-Philippe Mateta,6.00
Crystal Palace v Man City,Jeremy Doku,6.00
Crystal Palace v Man City,Marc Guehi,6.00
Crystal Palace v Man City,Rico Lewis,6.00
Crystal Palace v Man City,Tyrick Mitchell,6.00
Crystal Palace v Man City,Claudio Echeverri,7.00
Crystal Palace v Man City,Dean Henderson,7.00
Crystal Palace v Man City,Phil Foden,7.00
Crystal Palace v Man City,Ismaila Sarr,8.00
Liverpool v Nott'm Forest,Nicolas Dominguez,2.75
Liverpool v Nott'm Forest,Igor Jesus,3.00
Liverpool v Nott'm Forest,Ryan Yates,3.00
Liverpool v Nott'm Forest,Ibrahim Sangare,3.40
Liverpool v Nott'm Forest,Morgan Gibbs-White,3.40
Liverpool v Nott'm Forest,Neco Williams,3.40
Liverpool v Nott'm Forest,Nikola Milenkovic,3.40
Liverpool v Nott'm Forest,Ola Aina,3.40
Liverpool v Nott'm Forest,Ousmane Diomande,4.33
Bournemouth v Everton,Harrison Armstrong,3.00
Bournemouth v Everton,Timothy Iroegbunam,3.00
Bournemouth v Everton,Carlos Alcaraz,3.25
Bournemouth v Everton,James Tarkowski,3.40
Bournemouth v Everton,Alex Scott,3.60
Bournemouth v Everton,Adam Aznou,3.75
Bournemouth v Everton,James Garner,3.75
Coventry v Hull,Matt Crooks,2.40
Coventry v Hull,Liam Millar,2.60
Coventry v Hull,Kieran Dowell,3.00
Coventry v Hull,Nobel Mendy,3.00
Coventry v Hull,Oliver McBurnie,3.00
Coventry v Hull,Charlie Hughes,3.40
Coventry v Hull,David Akintola,3.40
Coventry v Hull,Joe Gelhardt,3.40
Coventry v Hull,Lewie Coyle,3.40
Tottenham v Newcastle,Sandro Tonali,3.10
Tottenham v Newcastle,Rodrigo Bentancur,3.25
Tottenham v Newcastle,Joelinton,3.25
Tottenham v Newcastle,Dan Burn,3.60
Tottenham v Newcastle,Fabian Schar,3.75
Tottenham v Newcastle,Destiny Udogie,3.75
Chelsea v Brighton,Dario Essugo,2.70
Chelsea v Brighton,Yankuba Minteh,2.87
Chelsea v Brighton,Eiran Cashin,2.88
Chelsea v Brighton,Malick Yalcouye,2.90
Chelsea v Brighton,Jomol Huta,2.87
Chelsea v Brighton,Diego Gomez,3.00
Chelsea v Brighton,Lewis Dunk,3.00
Chelsea v Brighton,Estevao,3.10
Chelsea v Brighton,Pep Chavarria,3.10
Chelsea v Brighton,Wesley Fofana,3.10
Chelsea v Brighton,Mats Wieffer,3.25
Chelsea v Brighton,Pedro Neto,3.25
Leeds v Brentford,Michael Kayode,3.25
Leeds v Brentford,Igor Thiago,3.00
Leeds v Brentford,Keane Lewis-Potter,3.00
Leeds v Brentford,Vitaly Janelt,3.50
Leeds v Brentford,Alfie Crosswell,3.60
Leeds v Brentford,Harry Wilson,3.60
Leeds v Brentford,Jaka Bijol,3.60
Leeds v Brentford,Jayden Bogle,3.60
Leeds v Brentford,Aaron Hickey,3.75
Leeds v Brentford,Janusz Schubert,3.75
Leeds v Brentford,Kristoffer Ajer,3.75
Leeds v Brentford,Mamadou Sangare,3.75
Sunderland v Fulham,Brian Brobbey,4.00
Sunderland v Fulham,Luke O'Nien,4.00
Sunderland v Fulham,Reinildo Mandava,4.00
Sunderland v Fulham,Antonee Robinson,4.33
Sunderland v Fulham,Rodrigo Muniz,4.33
Sunderland v Fulham,Harrison Reed,4.33
Sunderland v Fulham,Luc De Fougerolles,4.33
Sunderland v Fulham,Shea Charles,4.33
Sunderland v Fulham,Calvin Bassey,4.75
Sunderland v Fulham,Joshua King,4.75
Sunderland v Fulham,Kenny Tete,4.75
Sunderland v Fulham,Sander Berge,4.75
