type,name,name_cleaned
player,Iliman-Cheikh Ndiaye,Iliman Ndiaye
player,Timothy Iroegbunam,Tim Iroegbunam
player,Carlos Alcaraz,Charly Alcaraz
player,Vitaliy Mykolenko,Vitalii Mykolenko
player,Jorgen Larsen,Jorgen Strand Larsen
player,Daniel Ballard,Dan Ballard
player,Stefan Bajcetic,Stefan Bajčetić Maquieira
player,Rayan Ait-Nouri,Rayan Ait Nouri
player,Jair Cunha,Jair Paula da Cunha Filho
player,Nicolas Gonzalez,Nico Gonzalez
player,Abdukodir Khusanov,Abduqodir Khusanov
player,Murillo,Murillo dos Santos
player,Antonio Silva,Antonio Joao Pereira de Albuquerque Tavares da Silva
player,Julio Soler,Julio Soler Barreto
player,Alisson,Alisson Becker
player,Da Silva Emersonn,Emersonn Correia da Silva
player,Simms Ellis Reco,Ellis Simms
player,Mason-Clark Ephron Jardell,Ephron Mason-Clark
player,Rak-Sakyi Jesuran,Jesurun Rak-Sakyi
player,Alhamadi Ali,Ali Al-Hamadi
player,Oliver McBurnie,Oli McBurnie
player,Vitor Reis,Vitor de Oliveira Nunes dos Reis
player,Dario Essugo,Dário Luís Essugo
player,Joshua King,Josh King
player,Josh-Ko Acheampong,Josh Acheampong
player,Miguel Angel Brau,Miguel Brau
player,Levi Colwill,Levi Samuels Colwill
player,Treymaurice Nyoni,Trey Nyoni
player,Hakon Valdimarsson,Hákon Rafn Valdimarsson
player,Luis Florentino,Florentino
player,Jan-Paul van Hecke,Jan Paul van Hecke
player,Josh Da Silva,Josh Dasilva
player,Juanlu,Juanlu Sánchez
player,Andy Robertson,Andrew Robertson
player,Savinho,Sávio
player,Savio,Sávio
player,Alysson,Alysson Edward Franco da Rocha dos Santos
player,Hjerto-Dahl Jens,Jens Hjertø-Dahl
player,Kusi Asare Jonah,Jonah Kusi-Asare
player,Bi Jocelin Ta,Djiamgone Jocelin Ta Bi
player,Hayden Kaine,Kaine Kesler-Hayden
player,Jacobs Matty,Matty Jacob
player,Victor John,John Victor Maciel Furtado
player,Kaine Andrews,Kai Andrews
