?,Team,Player,Interceptions,Clearances,Blocked Shots,Tackles Made,Take-ons completed,Duels won,Aerial Duels won,Ball Recoveries,Games
1,Coventry City,Milan van Ewijk,53,110,7,93,20,164,31,158,44
2,Coventry City,Jay Dasilva,43,77,4,69,29,138,27,173,42
3,Coventry City,Liam Kitching,37,225,9,40,8,215,141,105,45
4,Coventry City,Matt Grimes,33,65,10,84,11,182,57,237,46
5,Coventry City,Bobby Thomas,25,183,9,35,5,178,117,121,36
6,Coventry City,Victor Torp,24,36,29,37,19,117,25,99,42
7,Coventry City,Brandon Thomas-Asante,19,11,13,14,16,92,31,84,32
8,Coventry City,Frank Onyeka,13,19,4,21,8,73,16,52,16
9,Coventry City,Josh Eccles,12,16,9,27,7,106,39,63,40
10,Coventry City,Luke Woolfenden,11,75,2,13,1,54,38,38,39
10,Coventry City,Joel Latibeaudiere,11,79,2,9,0,60,38,35,33
12,Coventry City,Jack Rudoni,10,19,26,24,29,114,23,98,30
13,Coventry City,Kaine Kesler-Hayden,9,27,1,20,6,50,10,36,36
14,Coventry City,Tatsuhiro Sakamoto,7,20,14,41,25,140,29,101,36
15,Coventry City,Jamie Allen,6,11,0,13,0,22,8,34,32
16,Coventry City,Ephron Mason-Clark,5,12,21,42,45,199,41,106,43
17,Coventry City,Jake Bidwell,4,21,1,6,1,14,6,20,46
18,Coventry City,Romain Esse,3,3,10,21,21,65,9,32,20
19,Coventry City,Haji Wright,2,27,21,11,17,135,81,35,42
20,Coventry City,Ellis Simms,1,17,17,6,1,91,82,28,46
20,Coventry City,Jahnoah Markelo,1,0,0,1,0,3,1,0,8
22,Coventry City,Ben Sheaf,0,0,0,0,0,0,0,1,2
22,Coventry City,Carl Rushworth,0,35,0,2,2,26,16,476,46
22,Coventry City,Raphael Borges Rodrigues,0,2,0,1,0,2,0,2,4
22,Coventry City,Miguel Ángel Brau,0,8,1,4,2,11,3,12,24
22,Coventry City,Ben Wilson,0,0,0,0,0,0,0,0,46
22,Coventry City,Kai Andrews,0,0,0,1,4,7,0,2,23
22,Coventry City,Justin Obikwu,0,0,0,0,0,0,0,0,2
22,Coventry City,Callum Perry,0,0,0,0,0,0,0,0,7
22,Coventry City,Oscar Varney,0,0,0,0,0,0,0,0,2
22,Coventry City,George Shepherd,0,0,0,0,0,0,0,0,4
22,Coventry City,Yang Min-Hyeok,0,0,2,1,1,4,2,0,5
1,Hull City,John Egan,40,278,4,58,2,234,143,99,49
1,Hull City,Ivor Pandur,0,64,0,1,0,21,15,428,49
1,Hull City,Dillon Phillips,0,2,0,0,0,3,2,9,49
4,Hull City,Charlie Hughes,50,292,4,51,9,194,105,164,47
5,Hull City,Lewie Coyle,28,133,4,55,8,141,42,131,46
5,Hull City,Kyle Joseph,10,52,11,48,22,177,74,76,46
7,Hull City,Regan Slater,40,75,17,70,28,165,33,181,45
8,Hull City,Joe Gelhardt,18,24,21,57,51,193,32,134,42
9,Hull City,Oliver McBurnie,9,91,13,31,18,252,164,79,41
10,Hull City,Amir Hadziahmetovic,21,47,7,53,10,113,23,127,40
11,Hull City,Liam Millar,17,28,22,44,28,112,11,112,37
12,Hull City,Matt Crooks,31,53,8,77,19,168,54,117,36
13,Hull City,Ryan Giles,19,95,3,31,11,56,12,94,35
14,Hull City,Akin Famewo,8,33,0,21,3,53,19,31,34
15,Hull City,John Lundstram,29,40,4,50,7,85,25,77,33
15,Hull City,Cathal McCarthy,5,13,1,6,2,19,8,9,33
17,Hull City,Cody Drameh,14,57,4,43,17,88,16,69,31
18,Hull City,Semi Ajayi,29,130,2,30,3,106,54,68,30
19,Hull City,Mohamed Belloumi,20,15,13,26,30,70,5,67,26
19,Hull City,David Akintola,2,10,1,11,2,28,10,34,26
21,Hull City,Joel Ndala,6,8,8,14,14,45,1,36,25
22,Hull City,Darko Gyabi,3,7,2,17,5,44,12,42,24
23,Hull City,Paddy McNair,4,31,0,10,1,35,12,31,21
23,Hull City,Kieran Dowell,4,1,1,6,2,18,7,17,21
25,Hull City,Lewis Koumas,4,13,2,17,7,34,5,31,20
26,Hull City,Enis Destan,1,7,2,4,4,39,29,19,19
27,Hull City,Kasey Palmer,1,2,5,7,4,21,4,10,12
28,Hull City,Yu Hirakawa,3,6,1,12,4,25,4,13,11
29,Hull City,Matty Jacob,5,7,0,9,0,15,4,13,9
30,Hull City,Toby Collyer,1,1,0,3,3,9,1,12,7
31,Hull City,Pharrell Brown,0,0,0,0,0,0,0,0,6
31,Hull City,Brandon Williams,0,0,0,1,0,1,0,1,6
33,Hull City,Hugh Parker,0,0,0,0,0,0,0,0,4
33,Hull City,Eliot Matazo,0,0,0,0,0,0,0,0,4
35,Hull City,Aidon Shehu,0,0,0,0,0,0,0,0,3
35,Hull City,Stanley Ashbee,0,0,0,0,0,0,0,0,3
37,Hull City,Abu Kamara,0,6,1,2,0,4,1,3,2
37,Hull City,James Debayo,0,0,0,0,0,0,0,0,2
39,Hull City,Nathan Tinsdale,0,2,0,0,0,0,0,0,1
39,Hull City,Harry Vaughan,0,0,0,0,0,0,0,0,1
39,Hull City,Calvin Okike,0,0,0,0,0,0,0,0,1
39,Hull City,James Furlong,0,0,0,0,0,0,0,0,1
39,Hull City,Trialist,0,0,0,0,0,0,0,0,1
1,Ipswich Town,Dara O'Shea,41,291,10,25,6,236,169,181,46
1,Ipswich Town,Jack Clarke,17,20,21,45,55,181,18,103,46
1,Ipswich Town,Christian Walton,0,36,0,0,1,18,14,366,46
4,Ipswich Town,Azor Matusiwa,72,76,5,91,17,210,61,230,45
4,Ipswich Town,Jacob Greaves,23,147,1,30,8,176,116,74,45
4,Ipswich Town,Jack Taylor,21,24,12,39,14,112,24,116,45
7,Ipswich Town,Cédric Kipré,28,167,7,32,6,134,73,114,44
8,Ipswich Town,Darnell Furlong,50,133,5,41,9,173,79,130,43
8,Ipswich Town,Kasey McAteer,2,10,4,30,6,74,10,55,43
10,Ipswich Town,George Hirst,1,23,14,11,9,105,64,31,42
11,Ipswich Town,Jens Cajuste,12,16,5,22,20,75,15,62,41
11,Ipswich Town,Chuba Akpom,1,5,9,8,8,62,21,30,41
11,Ipswich Town,Iván Azón,0,12,24,7,8,96,56,43,41
14,Ipswich Town,Sindre Egeli,5,11,19,22,16,60,11,62,38
15,Ipswich Town,Leif Davis,31,86,7,31,21,157,60,125,37
15,Ipswich Town,Ben Johnson,9,28,1,16,4,40,16,38,37
15,Ipswich Town,Alex Palmer,0,8,0,1,1,6,1,80,37
18,Ipswich Town,Marcelino Núñez,8,16,24,36,16,78,10,113,36
19,Ipswich Town,Jaden Philogene,23,16,11,38,35,130,7,115,35
20,Ipswich Town,Ashley Young,2,15,2,9,0,18,5,27,26
21,Ipswich Town,Anis Mehmeti,2,7,12,19,14,61,5,47,19
22,Ipswich Town,Wes Burns,7,8,2,7,11,34,4,42,18
22,Ipswich Town,Dan Neil,7,10,4,24,1,45,7,34,18
24,Ipswich Town,Sam Szmodics,3,5,7,2,5,22,3,21,17
25,Ipswich Town,David Button,0,0,0,0,0,0,0,0,9
26,Ipswich Town,Cameron Humphreys,1,0,0,1,0,1,0,0,6
27,Ipswich Town,Conor Chaplin,0,0,3,0,1,3,0,3,4
27,Ipswich Town,Elkan Baggott,0,0,0,0,0,0,0,0,4
29,Ipswich Town,Chiedozie Ogbene,1,0,0,1,1,3,0,4,3
29,Ipswich Town,Luke Woolfenden,0,0,0,0,0,0,0,0,3
31,Ipswich Town,Finley Barbrook,0,0,0,0,0,0,0,0,1
31,Ipswich Town,Ali Al-Hamadi,0,0,0,0,1,1,0,0,1
31,Ipswich Town,Nathan Broadhead,0,0,0,0,0,2,1,0,1
31,Ipswich Town,Leon Ayinde,0,0,0,0,0,0,0,0,1
31,Ipswich Town,Somto Boniface,0,0,0,0,0,0,0,0,1
