Season,Gameweek,free_transfers,bench_boost,triple_captain,highest_xp,wildcard_diff,free_hit_diff,baseline_f1,free_hit_f1,budget
2025-2026,12,,,,,,10.81,60.01,70.82,
2025-2026,13,,,,,,16.05,56.18,72.23,
2025-2026,14,,,,,,5.52,68.3,73.82,
2025-2026,15,,,,,,8.49,65.32,73.81,
2025-2026,16,,9.56,7.94,7.94,,3.95,70.0,73.95,
2025-2026,17,,15.59,7.19,7.86,,,,,
2025-2026,18,,16.08,6.82,6.82,,,,,
2025-2026,19,,16.64,7.62,7.62,,,,,
2025-2026,20,,7.38,6.34,6.34,,3.54,62.88,66.42,
2025-2026,21,,13.86,6.33,6.83,,,,,
2025-2026,22,,11.15,6.91,6.91,,,,70.12,
2025-2026,23,,14.87,6.85,7.18,,,,,
2025-2026,24,,2.22,6.64,6.64,,,,71.6,
2025-2026,25,,10.42,6.93,6.93,,,,,
2025-2026,26,,15.45,6.68,7.45,,,,,
2025-2026,27,,8.05,6.9,7.02,,8.87,67.12,75.99,
2025-2026,29,,15.89,6.78,6.78,,,,,
2025-2026,31,,0.0,,,,15.62,49.12,64.74,
2026-2027,1,1.0,10.5,7.01,6.67,3.88,2.05,67.47,69.53,100.0
2026-2027,2,1.0,8.06,6.28,6.28,4.4,2.85,60.13,62.98,99.9
2026-2027,3,1.0,7.49,6.98,7.4,8.3,6.58,63.29,69.87,100.2
