name,team,position,dc90,minutes,source,rec_estimated
Matt Grimes,Coventry City,MID,9.33,4140,championship_2025_26,False
Bobby Thomas,Coventry City,DEF,7.0,3240,championship_2025_26,False
Liam Kitching,Coventry City,DEF,6.91,4050,championship_2025_26,False
Frank Onyeka,Coventry City,MID,6.81,1440,championship_2025_26,False
Milan van Ewijk,Coventry City,DEF,5.98,3960,championship_2025_26,False
Jack Rudoni,Coventry City,MID,5.9,2700,championship_2025_26,False
Victor Torp,Coventry City,MID,5.36,3780,championship_2025_26,False
Tatsuhiro Sakamoto,Coventry City,MID,5.08,3240,championship_2025_26,False
Jay Dasilva,Coventry City,DEF,4.6,3780,championship_2025_26,False
Brandon Thomas-Asante,Coventry City,FWD,4.41,2880,championship_2025_26,False
Ephron Mason-Clark,Coventry City,MID,4.33,3870,championship_2025_26,False
Josh Eccles,Coventry City,MID,3.18,3600,championship_2025_26,False
Joel Latibeaudiere,Coventry City,DEF,3.06,2970,championship_2025_26,False
Luke Woolfenden,Coventry City,DEF,2.59,3510,championship_2025_26,False
Haji Wright,Coventry City,FWD,2.29,3780,championship_2025_26,False
Kaine Kesler-Hayden,Coventry City,DEF,1.58,3240,championship_2025_26,False
Ellis Simms,Coventry City,FWD,1.5,4140,championship_2025_26,False
Raphael Borges Rodrigues,Coventry City,MID,1.25,360,championship_2025_26,False
Carl Rushworth,Coventry City,GK,0.8,4140,championship_2025_26,False
Jake Bidwell,Coventry City,DEF,0.7,4140,championship_2025_26,False
Miguel Brau,Coventry City,DEF,0.54,2160,championship_2025_26,False
Jahnoah Markelo,Coventry City,FWD,0.25,720,championship_2025_26,False
Kaine Andrews,Coventry City,MID,0.13,2070,championship_2025_26,False
Ben Wilson,Coventry City,GK,0.0,4140,championship_2025_26,False
George Shepherd,Coventry City,MID,0.0,360,championship_2025_26,False
Regan Slater,Hull City,MID,8.51,4050,championship_2025_26,False
Charlie Hughes,Hull City,DEF,8.45,4230,championship_2025_26,False
Matt Crooks,Hull City,MID,7.94,3240,championship_2025_26,False
John Egan,Hull City,DEF,7.76,4410,championship_2025_26,False
Semi Ajayi,Hull City,DEF,6.37,2700,championship_2025_26,False
Joe Gelhardt,Hull City,MID,6.05,3780,championship_2025_26,False
Liam Millar,Hull City,MID,6.03,3330,championship_2025_26,False
Abu Kamara,Hull City,MID,6.0,180,championship_2025_26,False
Oli McBurnie,Hull City,FWD,5.44,3690,championship_2025_26,False
Mohamed Belloumi,Hull City,MID,5.42,2340,championship_2025_26,False
Lewie Coyle,Hull City,DEF,4.78,4140,championship_2025_26,False
Ryan Giles,Hull City,DEF,4.23,3150,championship_2025_26,False
Cody Drameh,Hull City,DEF,3.81,2790,championship_2025_26,False
Darko Gyabi,Hull City,MID,2.96,2160,championship_2025_26,False
Matty Jacob,Hull City,DEF,2.33,810,championship_2025_26,False
David Akintola,Hull City,MID,2.23,2340,championship_2025_26,False
Paddy McNair,Hull City,DEF,2.14,1890,championship_2025_26,False
Enis Destan,Hull City,FWD,1.74,1710,championship_2025_26,False
Kieran Dowell,Hull City,MID,1.38,1890,championship_2025_26,False
Cathal McCarthy,Hull City,DEF,0.76,2970,championship_2025_26,False
Dillon Phillips,Hull City,GK,0.04,4410,championship_2025_26,False
Eliot Matazo,Hull City,MID,0.0,360,championship_2025_26,False
Azor Matusiwa,Ipswich Town,MID,10.53,4050,championship_2025_26,False
Dara O'Shea,Ipswich Town,DEF,7.98,4140,championship_2025_26,False
Jaden Philogene,Ipswich Town,MID,5.8,3150,championship_2025_26,False
Marcelino Núñez,Ipswich Town,MID,5.47,3240,championship_2025_26,False
Darnell Furlong,Ipswich Town,DEF,5.33,3870,championship_2025_26,False
Cédric Kipré,Ipswich Town,DEF,5.32,3960,championship_2025_26,False
Jack Taylor,Ipswich Town,MID,4.71,4050,championship_2025_26,False
Anis Mehmeti,Ipswich Town,MID,4.58,1710,championship_2025_26,False
Jack Clarke,Ipswich Town,MID,4.48,4140,championship_2025_26,False
Jacob Greaves,Ipswich Town,DEF,4.47,4050,championship_2025_26,False
Leif Davis,Ipswich Town,DEF,4.19,3330,championship_2025_26,False
Wes Burns,Ipswich Town,MID,3.67,1620,championship_2025_26,False
Sindre Walle Egeli,Ipswich Town,FWD,3.13,3420,championship_2025_26,False
Kasey McAteer,Ipswich Town,MID,2.35,3870,championship_2025_26,False
Sam Szmodics,Ipswich Town,MID,2.24,1530,championship_2025_26,False
Chiedozie Ogbene,Ipswich Town,MID,2.0,270,championship_2025_26,False
George Hirst,Ipswich Town,FWD,1.9,3780,championship_2025_26,False
Ben Johnson,Ipswich Town,DEF,1.46,3330,championship_2025_26,False
Chuba Akpom,Ipswich Town,FWD,1.29,3690,championship_2025_26,False
Christian Walton,Ipswich Town,GK,0.78,4140,championship_2025_26,False
Cameron Humphreys,Ipswich Town,MID,0.33,540,championship_2025_26,False
Alex Palmer,Ipswich Town,GK,0.24,3330,championship_2025_26,False
David Button,Ipswich Town,GK,0.0,810,championship_2025_26,False
Ali Al-Hamadi,Ipswich Town,FWD,0.0,90,championship_2025_26,False
Mamadou Sangaré,Lens,MID,13.1,2610,foreign_2025_26,False
Nobel Mendy,Rayo Vallecano,DEF,6.61,2790,foreign_2025_26,False
Julio Enciso,Strasbourg,MID,4.39,2520,foreign_2025_26,False
António João Pereira de Albuquerque Tavares da Silva,Bournemouth,DEF,7.5,1860,preagg_2025_26,False
Daizen Maeda,Ipswich Town,MID,2.3,2778,preagg_2025_26,False
