Position,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37
GK,Lucas Perri,Lucas Perri,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Bart Verbruggen,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow,Karl Darlow
GK,Alphonse Areola,Alphonse Areola,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,Matz Sels,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya,David Raya
DEF,Jeremie Frimpong,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Trevoh Chalobah,Matheus Nunes,Matheus Nunes,Matheus Nunes,Matheus Nunes,Matheus Nunes,Matheus Nunes,Matheus Nunes,Matheus Nunes,Matheus Nunes,Matheus Nunes,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi,Marc Guehi
DEF,Rayan Ait Nouri,Rayan Ait Nouri,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Maxence Lacroix,Michael Keane,Michael Keane,Michael Keane,Michael Keane,Jeremie Frimpong,Nordi Mukiele,Jorge Cuenca,Jorge Cuenca,Jorge Cuenca,Jorge Cuenca,Jorge Cuenca,Pascal Struijk,Pascal Struijk,Pascal Struijk,Pascal Struijk,Pascal Struijk,Dan Ballard,Dan Ballard,Nico O'Reilly,Nico O'Reilly
DEF,Maxim De Cuyper,Maxim De Cuyper,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Virgil van Dijk,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes,Gabriel Magalhaes
DEF,El Hadji Diouf,El Hadji Diouf,Murillo dos Santos,Murillo dos Santos,Murillo dos Santos,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Nico O'Reilly,Chris Richards,Chris Richards,Chris Richards,Chris Richards,Chris Richards,Chris Richards,Chris Richards,Chris Richards,Chris Richards,Nico O'Reilly,Nordi Mukiele,Nordi Mukiele,Nordi Mukiele,Michael Keane
DEF,Gabriel Gudmundsson,Gabriel Gudmundsson,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Neco Williams,Riccardo Calafiori,Riccardo Calafiori,Riccardo Calafiori,Riccardo Calafiori,Patrick Dorgu,Patrick Dorgu,Patrick Dorgu,Patrick Dorgu,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi,Marcos Senesi
MID,Mohamed Salah,Mohamed Salah,Estevao,Estevao,Estevao,Estevao,Estevao,Estevao,Estevao,Estevao,Estevao,Estevao,Estevao,Estevao,Phil Foden,Phil Foden,Phil Foden,Phil Foden,Phil Foden,Phil Foden,Phil Foden,Phil Foden,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Antoine Semenyo,Matheus Cunha,Matheus Cunha,Matheus Cunha,Matheus Cunha,Matheus Cunha
MID,Bukayo Saka,Bukayo Saka,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Florian Wirtz,Florian Wirtz,Florian Wirtz,Florian Wirtz,Florian Wirtz,Florian Wirtz,Amad Diallo,Amad Diallo,Amad Diallo,Brenden Aaronson,Brenden Aaronson,Brenden Aaronson,Brenden Aaronson,Brenden Aaronson,Brenden Aaronson,Brenden Aaronson,Iliman Ndiaye,Iliman Ndiaye,Iliman Ndiaye,Iliman Ndiaye
MID,Florian Wirtz,Florian Wirtz,Florian Wirtz,Florian Wirtz,Florian Wirtz,Florian Wirtz,Eberechi Eze,Eberechi Eze,Eberechi Eze,Eberechi Eze,Eberechi Eze,Eberechi Eze,Eberechi Eze,Eberechi Eze,Eberechi Eze,Eberechi Eze,Matheus Cunha,Matheus Cunha,Matheus Cunha,Matheus Cunha,Matheus Cunha,Matheus Cunha,Matheus Cunha,Leandro Trossard,Declan Rice,Declan Rice,Declan Rice,Declan Rice,Morgan Rogers,Morgan Rogers,Morgan Rogers,Morgan Rogers,Morgan Rogers,Morgan Rogers,Morgan Rogers,Morgan Rogers,Morgan Rogers
