Season,home_team,away_team,home_win_odds,away_win_odds,home_title_odds,away_title_odds,home_relegation_odds,away_relegation_odds,home_top_6_odds,away_top_6_odds,Gameweek,draw_odds,home_clean_sheet_odds,home_over_1.5_odds,home_over_3.5_odds,away_clean_sheet_odds,away_over_1.5_odds,away_over_3.5_odds
2025-2026,Aston Villa,Arsenal,4.2,1.85,51.0,1.44,251.0,2001.0,1.0,1.0,,,,,,,,
2025-2026,Spurs,Brentford,2.25,3.1,1001.0,1001.0,34.0,26.0,4001.0,4001.0,,,,,,,,
2025-2026,Everton,Nott'm Forest,2.15,3.4,751.0,1001.0,34.0,5.5,4001.0,4001.0,,,,,,,,
2025-2026,Newcastle,Burnley,1.25,11.0,251.0,4501.0,126.0,1.1,4001.0,4001.0,,,,,,,,
2025-2026,Bournemouth,Chelsea,3.2,2.1,751.0,21.0,67.0,351.0,1.1157894736842104,4001.0,,,,,,,,
2025-2026,Man City,Sunderland,1.22,12.0,3.75,501.0,351.0,13.0,1.0,4001.0,,,,,,,,
2025-2026,Leeds,Liverpool,4.0,1.8,2501.0,21.0,2.75,351.0,4001.0,1.0,,,,,,,,
2025-2026,Brighton,West Ham,1.55,5.5,251.0,2501.0,201.0,2.0,5.973684210526316,4001.0,,,,,,,,
2025-2026,Fulham,Crystal Palace,2.6,2.75,1501.0,501.0,13.0,101.0,4001.0,4001.0,,,,,,,,
2025-2026,Wolves,Man Utd,4.2,1.75,4501.0,67.0,1.03,251.0,4001.0,1.0,,,,,,,,
2025-2026,Man Utd,Newcastle,2.55,2.55,201.0,751.0,201.0,151.0,1.8,3.75,,,,,,,,
2025-2026,Nott'm Forest,Man City,5.5,1.5,2501.0,2.5,6.0,501.0,41.0,1.01,,,,,,,,
2025-2026,Liverpool,Wolves,1.2,11.0,26.0,4501.0,501.0,1.0,1.13,0.0,,,,,,,,
2025-2026,Burnley,Everton,4.0,1.95,4501.0,1001.0,1.05,51.0,501.0,9.0,,,,,,,,
2025-2026,Brentford,Bournemouth,2.25,3.0,1501.0,1501.0,19.0,34.0,13.0,13.0,,,,,,,,
2025-2026,Arsenal,Brighton,1.33,8.0,1.73,1001.0,2001.0,101.0,1.0,4.5,,,,,,,,
2025-2026,West Ham,Fulham,2.7,2.5,4001.0,1501.0,1.62,17.0,251.0,15.0,,,,,,,,
2025-2026,Chelsea,Aston Villa,1.85,3.9,41.0,26.0,401.0,751.0,1.25,1.25,,,,,,,,
2025-2026,Sunderland,Leeds,2.62,2.7,1001.0,2501.0,21.0,5.5,10.0,41.0,,,,,,,,
2025-2026,Crystal Palace,Spurs,2.2,3.3,501.0,1501.0,151.0,26.0,3.25,11.0,,,,,,,,
2025-2026,Chelsea,Bournemouth,1.5,5.5,151.0,2001.0,401.0,21.0,1.3,17.0,,,,,,,,
2025-2026,Nott'm Forest,Everton,2.1,3.6,2501.0,1001.0,6.5,51.0,51.0,10.0,,,,,,,,
2025-2026,Burnley,Newcastle,5.5,1.57,4501.0,1001.0,1.05,101.0,501.0,4.33,,,,,,,,
2025-2026,West Ham,Brighton,3.2,2.1,4001.0,1001.0,1.4,67.0,251.0,5.0,,,,,,,,
2025-2026,Arsenal,Aston Villa,1.4,7.0,1.73,17.0,2001.0,751.0,1.0,1.08,,,,,,,,
2025-2026,Man Utd,Wolves,1.3,8.5,201.0,4501.0,251.0,1.0,1.8,0.0,,,,,,,,
2025-2026,Crystal Palace,Fulham,2.15,3.3,1001.0,1501.0,151.0,34.0,4.33,13.0,,,,,,,,
2025-2026,Liverpool,Leeds,1.5,6.0,29.0,2501.0,501.0,7.0,1.08,41.0,,,,,,,,
2025-2026,Brentford,Spurs,2.25,3.1,1251.0,1501.0,34.0,41.0,10.0,8.0,,,,,,,,
2025-2026,Sunderland,Man City,7.5,1.4,1001.0,2.5,34.0,501.0,15.0,1.01,,,,,,,,
2025-2026,Aston Villa,Nott'm Forest,1.8,4.2,17.0,2501.0,751.0,6.5,1.08,51.0,,,,,,,,
