Team,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,book_16,book_17,book_18,book_19,book_20,book_21,book_22
Hull,1.2,1.2,1.22,1.2,1.13,1.17,1.2,1.26,1.2,1.25,1.16,1.22,1.13,1.17,1.25,1.2,1.17,1.17,1.17,1.17,1.16,1.16
Ipswich,1.73,1.67,1.65,1.73,1.73,1.83,1.73,1.65,1.67,1.65,1.83,1.83,1.73,1.62,1.68,1.65,1.67,1.83,1.62,1.62,1.83,1.85
Coventry,1.73,1.67,1.65,1.73,1.73,1.8,1.8,1.65,1.67,1.65,1.72,1.72,1.73,1.62,1.67,1.62,1.61,1.8,1.62,1.62,1.72,1.83
Sunderland,4,3.5,4,3.75,3.8,4.5,4,4,4,4,3.75,4.5,3.8,3.9,4,3.75,3.75,4.5,3.9,3.9,4.5,3.9
Leeds,7,6.5,7,6,9,7,8,7,7,7,8.5,7.5,9,6.5,7,6.5,6.5,7,6.5,6.5,7.5,9
Fulham,6,6,6,6,5.5,6,6,6.5,6,6.5,6,6,5.5,5.5,6,6,6,6,5.5,5.5,5.5,5.5
Crystal Palace,6.5,6.5,7,6.5,6.5,7,6.5,7,6.5,7,6.5,7,6.5,6,7,6.5,6.5,7,6,6,6.5,6.5
Nottingham Forest,9,7.5,9,8.5,10,11,11,9,9,9,12,11,10,8.5,9,8,8.5,11,8.5,8.5,11,12
Brentford,9,9,9,9,10,10,11,9,9,9,13,9,10,8.5,9,9,9,10,8.5,8.5,10,12
Bournemouth,11,10,10,10,10,11,13,10,10,10,12,10,10,9.5,10,10,11,11,9.5,9.5,11,11
Everton,11,11,10,11,10,12,13,10,10,10,11,10,10,9.5,10,10,11,12,9.5,9.5,11,13
Man City,13,11,13,9,10,11,13,9,13,11,10,15,11,11,10,10,10,,,,,
Newcastle,9,9,9,8.5,9,10,9,10,9,8,9,10,9,8.5,9,8.5,10,10,8.5,8.5,13,9
Brighton,26,26,26,26,17,21,26,26,26,26,23,26,17,23,26,23,26,21,23,23,26,26
Tottenham,51,41,51,41,51,51,51,51,51,51,51,51,51,41,51,41,41,51,41,41,41,46
Aston Villa,67,51,67,81,26,51,67,67,67,67,34,46,26,61,67,67,81,51,61,61,51,41
Chelsea,67,51,67,81,176,81,151,67,67,67,101,67,176,67,81,67,81,81,67,67,67,101
Liverpool,751,751,751,751,401,501,751,751,751,751,501,501,401,501,751,751,751,501,501,501,751,501
Man Utd,501,301,501,751,201,501,501,501,501,501,201,201,201,251,451,501,501,501,251,251,501,251
Arsenal,1001,1001,1001,1001,501,1001,1001,1001,501,1001,1001,1001,501,751,1001,1001,1001,1001,751,751,1001,1001
