Season,Gameweek,Source,Team,Player
2026-2027,1,AllAboutFPL,Arsenal,David Raya
2026-2027,1,AllAboutFPL,Arsenal,Ben White
2026-2027,1,AllAboutFPL,Arsenal,Cristhian Mosquera
2026-2027,1,AllAboutFPL,Arsenal,Gabriel Magalhaes
2026-2027,1,AllAboutFPL,Arsenal,Riccardo Calafiori
2026-2027,1,AllAboutFPL,Arsenal,Declan Rice
2026-2027,1,AllAboutFPL,Arsenal,Myles Lewis-Skelly
2026-2027,1,AllAboutFPL,Arsenal,Noni Madueke
2026-2027,1,AllAboutFPL,Arsenal,Martin Odegaard
2026-2027,1,AllAboutFPL,Arsenal,Christos Tzolis
2026-2027,1,AllAboutFPL,Arsenal,Kai Havertz
2026-2027,1,AllAboutFPL,Aston Villa,Marco Bizot
2026-2027,1,AllAboutFPL,Aston Villa,Matty Cash
2026-2027,1,AllAboutFPL,Aston Villa,Victor Lindelof
2026-2027,1,AllAboutFPL,Aston Villa,Pau Torres
2026-2027,1,AllAboutFPL,Aston Villa,Ian Maatsen
2026-2027,1,AllAboutFPL,Aston Villa,Lamare Bogarde
2026-2027,1,AllAboutFPL,Aston Villa,Boubacar Kamara
2026-2027,1,AllAboutFPL,Aston Villa,John McGinn
2026-2027,1,AllAboutFPL,Aston Villa,Emiliano Buendia
2026-2027,1,AllAboutFPL,Aston Villa,George Hemmings
2026-2027,1,AllAboutFPL,Aston Villa,Tammy Abraham
2026-2027,1,AllAboutFPL,Bournemouth,Djordje Petrovic
2026-2027,1,AllAboutFPL,Bournemouth,Adam Smith
2026-2027,1,AllAboutFPL,Bournemouth,António João Pereira de Albuquerque Tavares da Silva
2026-2027,1,AllAboutFPL,Bournemouth,James Hill
2026-2027,1,AllAboutFPL,Bournemouth,Adrien Truffert
2026-2027,1,AllAboutFPL,Bournemouth,Tyler Adams
2026-2027,1,AllAboutFPL,Bournemouth,Alex Scott
2026-2027,1,AllAboutFPL,Bournemouth,Rayan
2026-2027,1,AllAboutFPL,Bournemouth,Justin Kluivert
2026-2027,1,AllAboutFPL,Bournemouth,Marcus Tavernier
2026-2027,1,AllAboutFPL,Bournemouth,Evanilson
2026-2027,1,AllAboutFPL,Brentford,Caoimhin Kelleher
2026-2027,1,AllAboutFPL,Brentford,Michael Kayode
2026-2027,1,AllAboutFPL,Brentford,Kristoffer Ajer
2026-2027,1,AllAboutFPL,Brentford,Nathan Collins
2026-2027,1,AllAboutFPL,Brentford,Keane Lewis-Potter
2026-2027,1,AllAboutFPL,Brentford,Vitaly Janelt
2026-2027,1,AllAboutFPL,Brentford,Mamadou Sangaré
2026-2027,1,AllAboutFPL,Brentford,Dango Ouattara
2026-2027,1,AllAboutFPL,Brentford,Mathias Jensen
2026-2027,1,AllAboutFPL,Brentford,Kevin Schade
2026-2027,1,AllAboutFPL,Brentford,Igor Thiago
2026-2027,1,AllAboutFPL,Brighton,Bart Verbruggen
2026-2027,1,AllAboutFPL,Brighton,Mats Wieffer
2026-2027,1,AllAboutFPL,Brighton,Luka Vušković
2026-2027,1,AllAboutFPL,Brighton,Olivier Boscagli
2026-2027,1,AllAboutFPL,Brighton,Ferdi Kadioglu
2026-2027,1,AllAboutFPL,Brighton,Pascal Gross
2026-2027,1,AllAboutFPL,Brighton,Yasin Ayari
2026-2027,1,AllAboutFPL,Brighton,Diego Gomez
2026-2027,1,AllAboutFPL,Brighton,Jack Hinshelwood
2026-2027,1,AllAboutFPL,Brighton,Maxim De Cuyper
2026-2027,1,AllAboutFPL,Brighton,Georginio Rutter
2026-2027,1,AllAboutFPL,Chelsea,Robert Sanchez
2026-2027,1,AllAboutFPL,Chelsea,Reece James
2026-2027,1,AllAboutFPL,Chelsea,Maxence Lacroix
2026-2027,1,AllAboutFPL,Chelsea,Levi Samuels Colwill
2026-2027,1,AllAboutFPL,Chelsea,Pedro Neto
2026-2027,1,AllAboutFPL,Chelsea,Moises Caicedo
2026-2027,1,AllAboutFPL,Chelsea,Enzo Fernandez
2026-2027,1,AllAboutFPL,Chelsea,Marco Palestra
2026-2027,1,AllAboutFPL,Chelsea,Cole Palmer
2026-2027,1,AllAboutFPL,Chelsea,Joao Pedro
2026-2027,1,AllAboutFPL,Chelsea,Morgan Rogers
