Team,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,book_16,book_17,book_18,book_19,book_20,book_21,book_22,book_23,book_24
Arsenal,1,,,,,,,,,,,,,,,,,,,,,,,
Man City,4501,,,,,,,,,,,,,,,,,,,,,,,
Man Utd,4501,,,,,,,,,,,,,,,,,,,,,,,
Aston Villa,4501,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,4501,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,4001,,,,,,,,,,,,,,,,,,,,,,,
Brentford,4001,,,,,,,,,,,,,,,,,,,,,,,
Newcastle,4001,,,,,,,,,,,,,,,,,,,,,,,
Brighton,4001,,,,,,,,,,,,,,,,,,,,,,,
Nottingham Forest,4001,,,,,,,,,,,,,,,,,,,,,,,
Fulham,4001,,,,,,,,,,,,,,,,,,,,,,,
Bournemouth,4001,,,,,,,,,,,,,,,,,,,,,,,
West Ham,4001,,,,,,,,,,,,,,,,,,,,,,,
Crystal Palace,4001,,,,,,,,,,,,,,,,,,,,,,,
Leeds,4001,,,,,,,,,,,,,,,,,,,,,,,
Burnley,4001,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,4001,,,,,,,,,,,,,,,,,,,,,,,
Sunderland,4001,,,,,,,,,,,,,,,,,,,,,,,
Everton,4001,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton,4001,,,,,,,,,,,,,,,,,,,,,,,
