Player,reason
Guglielmo Vicario,being sold
Cristian Romero,being sold
Jurrien Timber,injured
William Saliba,injured
James Garner,injured
Hugo Ekitike,injured
Joachim Andersen,injured
Tino Livramento,injured
Joe Gomez,injured
Matthijs de Ligt,injured
Conor Bradley,injured
Nicolo Savona,injured
Amadou Onana,ACL rupture at World Cup - out for rest of 2026
Manuel Ugarte,"injured (FFS out list, GW1 2026-27)"
Trevoh Chalobah,joined Como permanently (FPL status u)
Abu Kamara,joined Portsmouth permanently (FPL status u)
Djed Spence,being sold
Cody Gakpo,sale risk (AAF: likely to leave) - GW1 hold
Anthony Patterson,left Sunderland (permanent departure)
Ezri Konsa,joining Arsenal (permanent transfer imminent)
