match_name,match_time,team_name,yes,no
Liverpool v Bournemouth,Fri 15 Aug 21:00,Liverpool,2.37,1.53
Liverpool v Bournemouth,Fri 15 Aug 21:00,Bournemouth,13.0,1.04
Aston Villa v Newcastle,Sat 16 Aug 13:30,Aston Villa,3.75,1.25
Aston Villa v Newcastle,Sat 16 Aug 13:30,Newcastle,4.5,1.18
Brighton v Fulham,Sat 16 Aug 16:00,Brighton,3.0,1.36
Brighton v Fulham,Sat 16 Aug 16:00,Fulham,5.0,1.16
Sunderland v West Ham,Sat 16 Aug 16:00,Sunderland,4.0,1.22
Sunderland v West Ham,Sat 16 Aug 16:00,West Ham,3.0,1.36
Tottenham v Burnley,Sat 16 Aug 16:00,Tottenham,2.0,1.72
Tottenham v Burnley,Sat 16 Aug 16:00,Burnley,7.0,1.1
Wolverhampton v Man City,Sat 16 Aug 18:30,Wolverhampton,7.0,1.1
Wolverhampton v Man City,Sat 16 Aug 18:30,Man City,2.2,1.61
Chelsea v Crystal Palace,Sun 17 Aug 15:00,Chelsea,2.62,1.44
Chelsea v Crystal Palace,Sun 17 Aug 15:00,Crystal Palace,6.5,1.11
Nottm Forest v Brentford,Sun 17 Aug 15:00,Nottm Forest,2.75,1.4
Nottm Forest v Brentford,Sun 17 Aug 15:00,Brentford,3.75,1.25
Man Utd v Arsenal,Sun 17 Aug 17:30,Man Utd,4.5,1.18
Man Utd v Arsenal,Sun 17 Aug 17:30,Arsenal,2.75,1.4
Leeds v Everton,Mon 18 Aug 21:00,Leeds,3.0,1.36
Leeds v Everton,Mon 18 Aug 21:00,Everton,3.75,1.25
