Match,Date,Team,Goalkeeper,0.5 Saves,1.5 Saves,2.5 Saves,3.5 Saves,4.5 Saves,5.5 Saves,6.5 Saves,7.5 Saves
Liverpool v Bournemouth,Fri 15 Aug 21:00,Liverpool,Alisson Becker,,1.20,1.66,2.62,5.00,10.00,,
Liverpool v Bournemouth,Fri 15 Aug 21:00,Bournemouth,Djordje Petrovic,,1.05,1.18,1.50,2.10,3.40,5.50,11.00
Aston Villa v Newcastle,Sat 16 Aug 13:30,Aston Villa,Emiliano Martinez,1.062,1.33,2.00,3.75,8.00,,,
Aston Villa v Newcastle,Sat 16 Aug 13:30,Newcastle,Nick Pope,,1.10,1.33,1.83,3.00,5.00,10.00,
Brighton v Fulham,Sat 16 Aug 16:00,Brighton,Bart Verbruggen,,1.25,1.80,3.00,6.00,,,
Brighton v Fulham,Sat 16 Aug 16:00,Fulham,Bernd Leno,,1.14,1.44,2.10,3.50,6.50,,
Sunderland v West Ham,Sat 16 Aug 16:00,Sunderland,Anthony Patterson,,1.22,1.66,2.75,5.00,11.00,,
Sunderland v West Ham,Sat 16 Aug 16:00,West Ham,Alphonse Areola,1.05,1.28,1.83,3.25,6.00,,,
Tottenham v Burnley,Sat 16 Aug 16:00,Tottenham,Guglielmo Vicario,1.12,1.61,2.75,6.00,,,,
Tottenham v Burnley,Sat 16 Aug 16:00,Burnley,Martin Dubravka,,1.062,1.22,1.57,2.25,3.75,6.50,
Wolverhampton v Man City,Sat 16 Aug 18:30,Wolverhampton,Jose Sa,,1.05,1.20,1.53,2.20,3.50,6.00,11.00
Wolverhampton v Man City,Sat 16 Aug 18:30,Man City,Ederson,1.062,1.33,2.00,3.50,7.00,,,
Chelsea v Crystal Palace,Sun 17 Aug 15:00,Chelsea,Robert Sanchez,1.062,1.33,2.00,3.75,8.00,,,
Chelsea v Crystal Palace,Sun 17 Aug 15:00,Crystal Palace,Dean Henderson,,1.071,1.25,1.66,2.50,4.00,7.00,
Nottm Forest v Brentford,Sun 17 Aug 15:00,Nottm Forest,Matz Sels,,1.22,1.66,2.75,5.00,11.00,,
Nottm Forest v Brentford,Sun 17 Aug 15:00,Brentford,Caoimhin Kelleher,,1.12,1.40,2.00,3.40,6.00,,
Man Utd v Arsenal,Sun 17 Aug 17:30,Man Utd,Altay Bayindir,,1.20,1.66,2.62,5.00,10.00,,
Man Utd v Arsenal,Sun 17 Aug 17:30,Arsenal,David Raya,1.062,1.33,2.10,3.75,8.00,,,
Leeds v Everton,Mon 18 Aug 21:00,Leeds,Lucas Perri,,1.20,1.66,2.62,5.00,10.00,,
Leeds v Everton,Mon 18 Aug 21:00,Everton,Jordan Pickford,,1.20,1.61,2.62,4.50,10.00,,
