Match,Date,Player_Name,Booking_Odds
Liverpool v Bournemouth,Fri 15 Aug 21:00,Alex Scott,2.62
Liverpool v Bournemouth,Fri 15 Aug 21:00,Tyler Adams,2.87
Liverpool v Bournemouth,Fri 15 Aug 21:00,Marcos Senesi,2.87
Liverpool v Bournemouth,Fri 15 Aug 21:00,Julian Araujo,3.10
Liverpool v Bournemouth,Fri 15 Aug 21:00,Conor Bradley,3.20
Liverpool v Bournemouth,Fri 15 Aug 21:00,Adam Smith,3.25
Liverpool v Bournemouth,Fri 15 Aug 21:00,Chris Mepham,3.25
Liverpool v Bournemouth,Fri 15 Aug 21:00,Julio Soler,3.25
Liverpool v Bournemouth,Fri 15 Aug 21:00,Philip Billing,3.25
Liverpool v Bournemouth,Fri 15 Aug 21:00,Eli Junior Kroupi,3.25
Liverpool v Bournemouth,Fri 15 Aug 21:00,Bafode Diakite,3.75
Liverpool v Bournemouth,Fri 15 Aug 21:00,Evanilson,3.75
Liverpool v Bournemouth,Fri 15 Aug 21:00,Antoine Semenyo,3.75
Liverpool v Bournemouth,Fri 15 Aug 21:00,Dango Ouattara,3.75
Liverpool v Bournemouth,Fri 15 Aug 21:00,Ben Winterburn,3.75
Liverpool v Bournemouth,Fri 15 Aug 21:00,Ibrahima Konate,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,James Hill,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Adrien Truffert,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Andrei Radu,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Cameron Plain,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Callan McKenna,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Romain Faivre,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Alex Paulsen,4.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Konstantinos Tsimikas,4.33
Liverpool v Bournemouth,Fri 15 Aug 21:00,Alexis Mac Allister,4.33
Liverpool v Bournemouth,Fri 15 Aug 21:00,Florian Wirtz,4.33
Liverpool v Bournemouth,Fri 15 Aug 21:00,Hugo Ekitike,4.33
Liverpool v Bournemouth,Fri 15 Aug 21:00,Rio Ngumoha,4.33
Liverpool v Bournemouth,Fri 15 Aug 21:00,Andrew Robertson,5.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Marcus Tavernier,5.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,David Brooks,5.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Wataru Endo,5.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Jeremie Frimpong,5.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Milos Kerkez,5.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Curtis Jones,5.50
Liverpool v Bournemouth,Fri 15 Aug 21:00,Dominik Szoboszlai,6.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,William Dennis,6.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Hamed Traore,6.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Djordje Petrovic,6.50
Liverpool v Bournemouth,Fri 15 Aug 21:00,Alisson Becker,7.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Virgil van Dijk,7.00
Liverpool v Bournemouth,Fri 15 Aug 21:00,Federico Chiesa,8.50
Liverpool v Bournemouth,Fri 15 Aug 21:00,Freddie Woodman,8.50
