name,position,team,cost
David Raya,GK,Arsenal,6.0
Karl Hein,GK,Arsenal,4.0
Kepa Arrizabalaga,GK,Arsenal,4.1
Tommy Setford,GK,Arsenal,3.9
Ben White,DEF,Arsenal,5.1
Brayden Clarke,DEF,Arsenal,3.8
Cristhian Mosquera,DEF,Arsenal,5.3
Gabriel Magalhaes,DEF,Arsenal,7.1
Jakub Kiwior,DEF,Arsenal,5.4
Josh Nichols,DEF,Arsenal,3.7
Jurrien Timber,DEF,Arsenal,6.4
Maldini Kacurri,DEF,Arsenal,3.9
Marli Salmon,DEF,Arsenal,4.0
Myles Lewis-Skelly,DEF,Arsenal,5.1
Piero Hincapie,DEF,Arsenal,5.1
Riccardo Calafiori,DEF,Arsenal,5.6
William Saliba,DEF,Arsenal,6.1
Albert Sambi Lokonga,MID,Arsenal,4.5
Andre Harriman-Annous,MID,Arsenal,4.4
Bukayo Saka,MID,Arsenal,9.8
Christian Norgaard,MID,Arsenal,5.1
Declan Rice,MID,Arsenal,7.6
Eberechi Eze,MID,Arsenal,7.2
Ethan Nwaneri,MID,Arsenal,5.0
Fabio Vieira,MID,Arsenal,5.4
Gabriel Martinelli,MID,Arsenal,6.8
Ismeal Kabia,MID,Arsenal,4.5
Leandro Trossard,MID,Arsenal,6.8
Martin Odegaard,MID,Arsenal,7.8
Martin Zubimendi,MID,Arsenal,5.3
Max Dowman,MID,Arsenal,4.2
Mikel Merino,MID,Arsenal,5.4
Noni Madueke,MID,Arsenal,6.8
Gabriel Jesus,FWD,Arsenal,6.4
Kai Havertz,FWD,Arsenal,7.3
Viktor Gyokeres,FWD,Arsenal,8.8
Emiliano Martinez,GK,Aston Villa,5.0
Filip Marschall,GK,Aston Villa,4.0
James Wright,GK,Aston Villa,3.9
Joe Gauci,GK,Aston Villa,4.0
Marco Bizot,GK,Aston Villa,4.2
Ronnie Hollingshead,GK,Aston Villa,4.0
Sam Proctor,GK,Aston Villa,3.9
Andrés García,DEF,Aston Villa,3.9
Ezri Konsa,DEF,Aston Villa,4.4
Ian Maatsen,DEF,Aston Villa,4.2
Lamare Bogarde,DEF,Aston Villa,4.0
Leon Routh,DEF,Aston Villa,4.0
Lino da Cruz Sousa,DEF,Aston Villa,3.8
Lucas Digne,DEF,Aston Villa,4.5
Matty Cash,DEF,Aston Villa,4.9
Pau Torres,DEF,Aston Villa,4.3
TJ Carroll,DEF,Aston Villa,4.0
Travis Patterson,DEF,Aston Villa,3.9
Triston Rowe,DEF,Aston Villa,4.0
Tyrone Mings,DEF,Aston Villa,4.3
Victor Lindelof,DEF,Aston Villa,4.5
Yasin Özcan,DEF,Aston Villa,4.0
Álex Moreno Lopera,DEF,Aston Villa,4.0
Alysson Edward Franco da Rocha dos Santos,MID,Aston Villa,5.0
Amadou Onana,MID,Aston Villa,4.8
Ben Broggio,MID,Aston Villa,4.4
Boubacar Kamara,MID,Aston Villa,4.9
Bradley Burrowes,MID,Aston Villa,4.4
Donyell Malen,MID,Aston Villa,5.1
Douglas Luiz,MID,Aston Villa,4.9
Emiliano Buendia,MID,Aston Villa,5.3
Enzo Barrenechea,MID,Aston Villa,5.0
George Hemmings,MID,Aston Villa,4.5
Harvey Elliott,MID,Aston Villa,5.1
Jadon Sancho,MID,Aston Villa,5.8
