name,nineties,dc90
Aaron Hickey,6.04,6.12
Aaron Wan-Bissaka,16.23,8.07
Aarón Anselmino,0.0,0.0
Abduqodir Khusanov,8.21,8.4
Adam Aznou,0.0,0.0
Adam Smith,8.07,5.08
Adam Webster,0.0,0.0
Adrien Truffert,25.53,8.38
Airidas Golambeckis,0.0,0.0
Aji Alese,0.0,0.0
Alex Jimenez,17.63,5.56
Alex Murphy,0.01,90.0
Alfie Pond,0.0,0.0
Amara Nallo,0.0,0.0
Andrew Robertson,6.98,4.59
Andrés García,0.33,0.0
Antonee Robinson,8.9,7.64
Arthur Masuaku,1.39,7.2
Ashley Phillips,0.0,0.0
Axel Disasi,2.0,6.5
Axel Tuanzebe,10.34,9.38
Ayden Heaven,7.07,10.05
Bafode Diakite,14.17,8.26
Bashir Humphreys,8.86,8.47
Bastien Meupiyou Menadjou,0.0,0.0
Ben Davies,1.51,9.26
Ben White,4.54,7.92
Benjamin Arthur,0.0,0.0
Benjamin Fredrick,0.0,0.0
Benoit Badiashile,5.22,9.19
Borna Sosa,0.59,11.89
Brayden Clarke,0.0,0.0
Caleb Kporha,0.0,0.0
Calvin Bassey,16.13,7.93
Calvin Ramsay,0.0,0.0
Chadi Riad,1.32,5.29
Charlie Tasker,0.0,0.0
Chris Mepham,0.0,0.0
Chris Richards,21.91,10.22
Connor Roberts,0.0,0.0
Conor Bradley,10.31,6.3
Cristhian Mosquera,5.77,8.32
Cristian Romero,19.0,9.58
Dan Ballard,18.57,10.88
Dan Burn,15.98,9.14
Daniel Munoz,17.62,6.87
Danny Imray,0.0,0.0
David Moller Wolfe,8.16,4.17
David Mota Veiga Teixeira do Carmo,0.0,0.0
Dean Benamar,0.0,0.0
Dennis Cirkin,3.29,7.91
Destiny Udogie,8.82,4.53
Diego Coppola,2.14,8.39
Diego León Blanco,0.0,0.0
Diogo Dalot,20.44,6.02
Djed Spence,17.73,4.74
Eiran Cashin,0.0,0.0
El Hadji Malick Diouf,18.27,7.34
Elijah Campbell,0.0,0.0
Emerson Palmieri dos Santos,0.0,0.0
Emil Krafth,0.5,2.0
Emmanuel Agbadou,12.22,10.23
Ethan Pinnock,2.53,11.45
Ezra Mayers,1.24,4.02
Ezri Konsa,24.72,5.82
Fabian Schar,12.1,9.5
Felipe Rodrigues da Silva,10.41,9.41
Ferdi Kadioglu,22.78,4.87
Freddie Simmonds,0.0,0.0
Gabriel Gudmundsson,23.33,6.17
Gabriel Magalhaes,20.06,8.98
George King,0.0,0.0
Giovanni Leoni,0.0,0.0
Godwill Kukonki,0.0,0.0
Hannes Delcroix,0.0,0.0
Harrison Ashby,0.0,0.0
Harry Amass,0.0,0.0
Harry Maguire,8.53,7.38
Hjalmar Ekdal,13.1,10.08
Hugo Bueno López,18.5,6.38
Ian Maatsen,11.59,7.42
Ibrahima Konate,23.84,9.1
Igor Julio,1.14,11.36
Illia Zabarnyi,0.0,0.0
Isaac Schmidt,0.0,0.0
Issa Diop,4.58,7.65
Jackson Tchatchoua,14.83,5.6
Jacob Slater,0.0,0.0
Jair Paula da Cunha Filho,1.0,11.0
Jaka Bijol,11.91,9.4
Jake O'Brien,24.29,6.88
Jakub Kiwior,0.0,0.0
Jamaal Lascelles,0.21,23.68
James Hill,11.36,11.62
James Justin,9.27,8.2
James Rowswell,0.0,0.0
James Tarkowski,26.0,10.69
Jan Paul van Hecke,23.67,8.37
Jarrad Branthwaite,2.53,7.89
Jaydee Canvot,3.91,13.3
Jayden Bogle,22.44,5.57
Jayden Meghoma,0.0,0.0
Jean-Clair Todibo,16.9,8.17
Jenson Jones,0.0,0.0
Jenson Seelt,1.48,8.12
Jeremie Frimpong,5.98,2.68
Joachim Andersen,24.46,10.39
Joao Souza,0.39,5.14
Joe Anderson,0.0,0.0
Joe Gomez,3.33,6.9
Joe Rodon,23.33,8.53
Joe Worrall,2.71,13.28
Joel Veltman,8.7,9.54
John Stones,3.9,4.87
Jordan Beyer,0.0,0.0
Jorge Cuenca,10.31,10.77
Jorrel Hato,4.07,8.36
Josh Acheampong,6.29,6.36
Josh Nichols,0.0,0.0
Josko Gvardiol,14.46,6.85
Julian Araujo,0.0,0.0
Julio Soler Barreto,0.38,2.65
Jun'ai Byfield,0.01,0.0
Jurrien Timber,24.21,5.16
Kaelan Casey,0.0,0.0
Keane Lewis-Potter,12.07,3.4
Kenny Tete,16.03,8.3
Kevin Danso,7.31,12.72
Ki-Jana Hoever,4.7,8.51
Kieran Trippier,12.64,4.43
Kim Ji-soo,0.0,0.0
Konstantinos Mavropanos,17.12,10.69
Konstantinos Tsimikas,0.0,0.0
Kristoffer Ajer,15.19,10.07
Kyle Walker,24.84,6.04
Kyle Walker-Peters,10.6,6.79
Ladislav Krejci,19.97,7.21
Lamare Bogarde,7.32,5.33
Leny Yoro,12.84,7.71
Leo Fuhr Hjelde,0.0,0.0
Leo Shahar,0.0,0.0
Leon Routh,0.0,0.0
Levi Samuels Colwill,0.0,0.0
Lewis Dunk,24.5,7.59
Lewis Hall,14.43,8.04
Lino da Cruz Sousa,0.0,0.0
Lisandro Martinez,10.04,7.47
Luca Netz,0.16,0.0
Lucas Digne,14.54,5.36
Lucas Pires,9.57,6.38
Luis Eduardo Soares da Silva,0.0,0.0
Luka Vušković,0.0,0.0
Luke O'Nien,0.24,12.27
Luke Shaw,25.16,5.57
Lutsharel Geertruida,11.21,5.89
Mads Roerslev Rasmussen,0.0,0.0
Malang Sarr,0.0,0.0
Maldini Kacurri,0.0,0.0
Malick Thiaw,21.52,9.2
Malo Gusto,16.4,5.37
Manuel Akanji,0.0,0.0
Marc Cucurella,20.94,6.68
Marc Guehi,24.0,8.33
Marcos Senesi,24.53,12.43
Marli Salmon,0.0,0.0
Matai Akinmboni,0.0,0.0
Matheus Nunes,21.16,6.85
Matt Doherty,7.16,7.27
Matt Targett,0.0,0.0
Matthijs de Ligt,13.0,8.23
Matty Cash,23.68,5.7
Max Alleyne,1.5,7.33
Maxence Lacroix,26.0,10.62
Maxim De Cuyper,12.4,3.79
Maxime Esteve,21.88,10.01
Maximilian Kilman,17.32,9.24
Michael Kayode,25.2,6.43
Michael Keane,20.63,10.32
Micky van de Ven,23.88,6.78
Milos Kerkez,19.06,5.98
Miodrag Pivaš,0.0,0.0
Murillo dos Santos,17.21,9.7
Myles Lewis-Skelly,3.46,4.05
Nathan Ake,5.39,6.87
Nathan Collins,22.51,10.35
Nathan Patterson,2.63,11.39
Nathaniel Clyne,4.64,7.32
Nayef Aguerd,2.0,7.5
Neco Williams,24.49,6.82
Niall Huggins,0.0,0.0
Nico O'Reilly,20.9,6.36
Nicolo Savona,11.39,5.0
Nikola Milenkovic,26.0,8.27
Nordi Mukiele,23.91,9.41
Noussair Mazraoui,4.98,9.44
Ola Aina,9.76,7.18
Oleksandr Zinchenko,3.91,6.14
Oliver Sonne,1.82,3.84
Olivier Boscagli,3.88,8.51
Ollie Scarles,7.27,9.91
Omar Alderete,21.14,9.55
Omar Richards,0.0,0.0
Owen Bevan,0.0,0.0
Owen Dodgson,0.0,0.0
Pascal Struijk,22.09,9.73
Patrick Dorgu,14.77,6.43
Pau Torres,13.4,6.49
Pedro Cardoso de Lima,0.03,0.0
Pedro Porro,20.22,6.73
Pervis Estupiñán Tenorio,0.0,0.0
Piero Hincapie,13.48,7.94
Quilindschy Hartman,14.86,7.0
Radu Dragusin,2.71,8.85
Rayan Ait Nouri,5.14,7.97
Reece James,17.04,6.16
Reece Welch,0.0,0.0
Reinildo Mandava,15.86,7.69
Rhys Williams,0.0,0.0
Riccardo Calafiori,14.97,6.08
Rico Henry,12.47,4.65
Rico Lewis,3.46,5.5
Rob Holding,0.0,0.0
Rodrigo Gomes,6.39,5.32
Roman Dixon,0.0,0.0
Ruben Dias,20.27,7.06
Saheed Olagunju,0.0,0.0
Sam Byram,0.08,0.0
Samuel Amissah,0.0,0.0
Santiago Bueno,17.36,7.43
Sebastiaan Bornauw,3.38,11.25
Sepp van den Berg,20.59,8.79
Shurandy Sambo,0.0,0.0
Stephen Mfuni,0.0,0.0
Sven Botman,11.78,8.92
Séamus Coleman,0.12,0.0
TJ Carroll,0.0,0.0
Takai Kōta,0.0,0.0
Tariq Lamptey,0.0,0.0
Timothy Castagne,12.4,7.82
Timothée Pembélé,0.0,0.0
Tino Livramento,11.64,4.98
Tosin Adarabioyo,7.82,11.12
Toti Gomes,10.54,7.97
Trai Hume,23.66,6.17
Travis Patterson,0.0,0.0
Trevoh Chalobah,24.33,9.25
Triston Rowe,0.0,0.0
Tyler Fredricson,0.02,90.0
Tyrell Malacia,0.02,90.0
Tyrick Mitchell,25.64,6.9
Tyrone Mings,7.69,7.41
Veljko Milosavljevic,4.08,9.56
Victor Lindelof,6.36,5.66
Virgil van Dijk,26.0,9.65
Vitalii Mykolenko,21.88,6.72
Vitor de Oliveira Nunes dos Reis,0.0,0.0
Wellity Lucky,0.0,0.0
Wesley Fofana,10.58,12.01
William Saliba,20.04,6.19
Willy Boly,0.0,0.0
Yasin Özcan,0.0,0.0
Yerson Mosquera,15.62,8.83
Zach Abbott,1.33,7.5
Zak Johnson,0.0,0.0
Álex Moreno Lopera,0.0,0.0
