name,nineties,dc90
Aaron Ramsey,0.0,0.0
Abdallah Sima,0.0,0.0
Abdoullah Ba,0.0,0.0
Adam Wharton,21.09,10.72
Adama Traore,3.02,4.63
Adrian Mazilu,0.0,0.0
Alan Browne,0.0,0.0
Albert Sambi Lokonga,0.0,0.0
Alejandro Garnacho,9.88,4.96
Alex Iwobi,18.73,6.62
Alex Scott,20.64,11.87
Alex Tóth,0.73,10.91
Alexis Mac Allister,19.18,7.35
Alysson Edward Franco da Rocha dos Santos,0.18,5.62
Amad Diallo,18.33,7.85
Amadou Onana,12.64,12.18
Amine Adli,9.26,10.48
Andre,19.69,12.39
Andre Harriman-Annous,0.0,0.0
Andreas Hoelgebaum Pereira,0.0,0.0
Andrew Moran,0.0,0.0
Andrey Santos,8.83,10.53
Andy Irving,1.73,12.69
Angel Gomes,1.96,7.67
Anthony Elanga,10.18,3.64
Anthony Gordon,14.49,4.49
Antoine Semenyo,25.0,7.2
Anton Stach,18.81,10.1
Antoni Milambo,0.5,8.0
Antony dos Santos,0.0,0.0
Antoñito Cordero Campillo,0.0,0.0
Ao Tanaka,8.19,10.14
Archie Gray,10.3,8.35
Asher Agbinone,0.0,0.0
Ben Broggio,0.0,0.0
Ben Gannon-Doak,0.59,5.09
Ben Winterburn,0.07,0.0
Bendito Mantato,0.17,0.0
Bernardo Silva,21.09,8.06
Bertrand Traore,6.74,5.93
Boubacar Kamara,15.67,9.51
Boubacar Traoré,0.0,0.0
Bradley Burrowes,0.18,5.62
Brajan Gruda,7.87,7.37
Brenden Aaronson,18.37,8.28
Brennan Johnson,11.69,5.99
Bruno Fernandes,22.06,9.52
Bruno Guimaraes,22.43,8.92
Bryan Gil Salvatierra,0.0,0.0
Bryan Mbeumo,20.1,4.78
Bukayo Saka,18.17,7.54
Callum Bates,0.0,0.0
Callum Hudson-Odoi,16.32,5.21
Callum Olusesi,0.0,0.0
Carlos Baleba,13.1,10.69
Casemiro,19.16,11.59
Charlie Crew,0.0,0.0
Charlie Gray,0.0,0.0
Charlie Stevens,0.0,0.0
Charly Alcaraz,7.41,8.64
Cheick Doucoure,0.0,0.0
Chemsdine Talbi,11.98,5.34
Chris Rigg,4.17,6.48
Christian Norgaard,0.36,25.31
Christopher Nkunku,0.0,0.0
Claudio Echeverri,0.0,0.0
Coby Ebere,0.0,0.0
Cody Gakpo,19.36,5.17
Cole Palmer,11.03,6.53
Conor Gallagher,4.58,9.61
Crysencio Summerville,17.62,7.55
Curtis Jones,12.3,9.92
Daichi Kamada,13.89,10.08
Dan Ndoye,11.99,7.51
Dan Neil,0.14,13.85
Dango Ouattara,15.18,7.91
Daniel James,4.09,4.89
Darko Churlinov,0.0,0.0
Darko Gyabi,0.0,0.0
David Brooks,10.5,7.05
David Ozoh,0.0,0.0
Declan Rice,24.83,11.11
Dejan Kulusevski,0.0,0.0
Diego Gomez,16.8,9.4
Dilane Bakwa,3.36,6.85
Divine Mukasa,0.28,3.6
Djiamgone Jocelin Ta Bi,0.0,0.0
Dominic Sadi,0.0,0.0
Dominik Szoboszlai,23.91,9.28
Donyell Malen,7.11,2.25
Douglas Luiz,6.26,10.87
Dwight McNeil,6.83,7.76
Dário Luís Essugo,0.0,0.0
Eberechi Eze,12.76,5.88
Edson Álvarez Velázquez,0.0,0.0
Elliot Anderson,26.0,13.92
Emile Smith Rowe,13.97,7.09
Emiliano Buendia,12.78,10.41
Endo Wataru,1.89,12.18
Enock Agyei,0.0,0.0
Enso González Medina,0.0,0.0
Enzo Barrenechea,0.0,0.0
Enzo Fernandez,23.82,7.43
Enzo Le Fee,22.5,9.38
Eric da Silva Moreira,0.0,0.0
Estevao,8.2,6.22
Ethan Ampadu,22.66,11.61
Ethan Nwaneri,1.83,7.09
Ethan Sutherland,0.0,0.0
Evann Guessand,7.49,8.68
Fabio Carvalho,1.11,7.2
Fabio Vieira,0.0,0.0
Facundo Buonanotte,0.77,6.52
Federico Chiesa,2.66,9.79
Fer Lopez,2.53,4.74
Florentino,17.56,13.5
Florian Wirtz,20.56,6.47
Franco Umeh-Chibueze,0.0,0.0
Frank Onyeka,0.98,10.23
Freddie Potts,12.16,9.21
Gabriel Martinelli,7.81,6.66
Garang Kuol,0.0,0.0
George Brierley,0.0,0.0
George Earthy,0.09,0.0
George Hemmings,0.28,3.6
Georginio Rutter,16.69,6.05
Gonçalo Manuel Ganchinho Guedes,0.0,0.0
Granit Xhaka,21.8,10.87
Guido Rodríguez,1.94,7.71
Gustavo Nunes Fernandes Gomes,0.0,0.0
Habib Diarra,7.5,5.33
Hamed Traorè,0.18,22.5
Hannibal Mejbri,7.0,8.43
Harrison Armstrong,4.56,9.22
Harrison Jones,0.0,0.0
Harrison Reed,0.26,7.83
Harry Howell,0.88,4.56
Harry Wilson,21.39,5.7
Harvey Barnes,15.27,4.91
Harvey Elliott,1.22,4.91
Hwang Hee-Chan,12.71,5.35
Ian Poveda-Ocampo,0.0,0.0
Ibrahim Sangare,14.6,10.62
Idrissa Gueye,15.56,9.32
Ilia Gruev,11.33,8.21
Iliman Ndiaye,18.92,9.83
Ilkay Gundogan,0.0,0.0
Isaac Hayden,0.0,0.0
Isaac Heath,0.0,0.0
Ismaila Sarr,15.18,6.0
Ismeal Kabia,0.0,0.0
Jack Fletcher,1.19,9.25
Jack Grealish,18.08,7.47
Jack Harrison,2.91,8.24
Jack Hinshelwood,8.37,8.73
Jack Moorhouse,0.0,0.0
Jacob Bruun Larsen,10.04,5.87
Jacob Murphy,12.02,4.16
Jacob Ramsey,7.93,9.58
Jadon Sancho,6.34,4.57
Jaidon Anthony,18.5,8.32
Jamaldeen Jimoh-Aloba,0.09,11.25
James Garner,25.92,12.42
James Maddison,0.0,0.0
James McAtee,1.88,5.86
