team,team_raw,title_odds,relegation_odds,top6_odds,title,relegation,top6
Arsenal,Arsenal,1.0,4001.0,1.0,0.9259259259259258,0.0002314236255750877,0.9259259259259258
Man City,Man City,4501.0,4001.0,1.0,0.00020571560229414037,0.0002314236255750877,0.9259259259259258
Man Utd,Man Utd,4501.0,4001.0,1.0,0.00020571560229414037,0.0002314236255750877,0.9259259259259258
Aston Villa,Aston Villa,4501.0,4001.0,1.0,0.00020571560229414037,0.0002314236255750877,0.9259259259259258
Liverpool,Liverpool,4501.0,4001.0,1.0,0.00020571560229414037,0.0002314236255750877,0.9259259259259258
Chelsea,Chelsea,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Brentford,Brentford,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Newcastle,Newcastle,4001.0,2001.0,4001.0,0.0002314236255750877,0.00046273159716438074,0.0002314236255750877
Brighton,Brighton,4001.0,4001.0,5.973684210526316,0.0002314236255750877,0.0002314236255750877,0.15500081579376732
Nott'm Forest,Nottingham Forest,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Fulham,Fulham,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Bournemouth,Bournemouth,4001.0,4001.0,1.1157894736842107,0.0002314236255750877,0.0002314236255750877,0.8298392732354996
West Ham,West Ham,4001.0,1.1131818181818183,4001.0,0.0002314236255750877,0.8317831919301906,0.0002314236255750877
Crystal Palace,Crystal Palace,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Leeds,Leeds,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Burnley,Burnley,4001.0,1.0,4001.0,0.0002314236255750877,0.9259259259259258,0.0002314236255750877
Spurs,Tottenham,4001.0,6.0,4001.0,0.0002314236255750877,0.15432098765432098,0.0002314236255750877
Sunderland,Sunderland,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Everton,Everton,4001.0,4001.0,4001.0,0.0002314236255750877,0.0002314236255750877,0.0002314236255750877
Wolves,Wolverhampton,4001.0,1.0,4001.0,0.0002314236255750877,0.9259259259259258,0.0002314236255750877
