team,f1_opponent,f1_venue,f2_opponent,f2_venue,f3_opponent,f3_venue,f4_opponent,f4_venue,f5_opponent,f5_venue,f6_opponent,f6_venue,f7_opponent,f7_venue,f8_opponent,f8_venue,f1_win,f1_opponent_win,f2_win,f2_opponent_win
Arsenal,Crystal Palace,A,,,,,,,,,,,,,,,0.5393743257820928,0.2311604253351826,,
Aston Villa,Man City,A,,,,,,,,,,,,,,,0.10787486515641855,0.7584951456310679,,
Bournemouth,Nott'm Forest,A,,,,,,,,,,,,,,,0.4854368932038835,0.2855511136493432,,
Brentford,Liverpool,A,,,,,,,,,,,,,,,0.2588996763754045,0.5305321237200912,,
Brighton,Man Utd,H,,,,,,,,,,,,,,,0.5393743257820928,0.25549310168625444,,
Burnley,Wolves,H,,,,,,,,,,,,,,,0.42211903756859437,0.3382835492709989,,
Chelsea,Sunderland,A,,,,,,,,,,,,,,,0.4854368932038835,0.27739251040221913,,
Crystal Palace,Arsenal,H,,,,,,,,,,,,,,,0.2311604253351826,0.5393743257820928,,
Everton,Spurs,A,,,,,,,,,,,,,,,0.24271844660194175,0.5109862033725089,,
Fulham,Newcastle,H,,,,,,,,,,,,,,,0.34674063800277394,0.42211903756859437,,
Leeds,West Ham,A,,,,,,,,,,,,,,,0.2311604253351826,0.5547850208044383,,
Liverpool,Brentford,H,,,,,,,,,,,,,,,0.5305321237200912,0.2588996763754045,,
Man City,Aston Villa,H,,,,,,,,,,,,,,,0.7584951456310679,0.10787486515641855,,
Man Utd,Brighton,A,,,,,,,,,,,,,,,0.25549310168625444,0.5393743257820928,,
Newcastle,Fulham,A,,,,,,,,,,,,,,,0.42211903756859437,0.34674063800277394,,
Nott'm Forest,Bournemouth,H,,,,,,,,,,,,,,,0.2855511136493432,0.4854368932038835,,
Spurs,Everton,H,,,,,,,,,,,,,,,0.5109862033725089,0.24271844660194175,,
Sunderland,Chelsea,H,,,,,,,,,,,,,,,0.27739251040221913,0.4854368932038835,,
West Ham,Leeds,H,,,,,,,,,,,,,,,0.5547850208044383,0.2311604253351826,,
Wolves,Burnley,A,,,,,,,,,,,,,,,0.3382835492709989,0.42211903756859437,,
