player,prob
Danny Welbeck,0.49862877088007973
Charalampos Kostoulas,0.4140786749482402
Diego Gomez,0.33068783068783064
Georginio Rutter,0.31746031746031744
Harry Howell,0.26455026455026454
Jack Hinshelwood,0.25396825396825395
Matt O'Riley,0.2801120448179272
Solly March,0.26455026455026454
Yankuba Minteh,0.27210884353741494
Maxim De Cuyper,0.21164021164021163
Pascal Gross,0.21164021164021163
Yasin Ayari,0.22675736961451246
Mats Wieffer,0.14652014652014653
Ferdi Kadioglu,0.13605442176870747
Jan Paul van Hecke,0.13605442176870747
Carlos Baleba,0.11204481792717086
James Milner,0.11904761904761904
Lewis Dunk,0.10025062656641603
Olivier Boscagli,0.09523809523809523
Joel Veltman,0.06802721088435373
Igor Julio,0.05602240896358543
Benjamin Sesko,0.31746031746031744
Bryan Mbeumo,0.25396825396825395
Joshua Zirkzee,0.25396825396825395
Matheus Cunha,0.25396825396825395
Bruno Fernandes,0.22675736961451246
Amad Diallo,0.19047619047619047
Jack Moorhouse,0.17316017316017315
Patrick Dorgu,0.19047619047619047
Shea Lacey,0.19047619047619047
Mason Mount,0.15873015873015872
Jack Fletcher,0.13605442176870747
Jim Thwaites,0.13605442176870747
Kobbie Mainoo,0.10025062656641603
Tyler Fletcher,0.09523809523809523
Manuel Ugarte,0.07936507936507936
Diogo Dalot,0.07326007326007326
Tyrell Malacia,0.07326007326007326
Ayden Heaven,0.06802721088435373
Harry Maguire,0.06802721088435373
Luke Shaw,0.06802721088435373
Godwill Kukonki,0.06349206349206349
Leny Yoro,0.06349206349206349
Lisandro Martinez,0.06349206349206349
Tyler Fredricson,0.05602240896358543
Noussair Mazraoui,0.05291005291005291
Armando Broja,0.33068783068783064
Ashley Barnes,0.3463203463203463
Lyle Foster,0.3621220351258374
Zian Flemming,0.4140786749482402
Jacob Bruun Larsen,0.27210884353741494
Jaidon Anthony,0.2886002886002886
Loum Tchaouna,0.25396825396825395
Marcus Edwards,0.26455026455026454
Zeki Amdouni,0.31746031746031744
Mike Tresor,0.23809523809523808
Hannibal Mejbri,0.17316017316017315
Lesley Ugochukwu,0.19047619047619047
James Ward-Prowse,0.15873015873015872
Josh Laurent,0.12698412698412698
Connor Roberts,0.09523809523809523
Florentino,0.09523809523809523
Lucas Pires,0.09523809523809523
Quilindschy Hartman,0.09523809523809523
Bashir Humphreys,0.08658008658008658
Maxime Esteve,0.08658008658008658
Hjalmar Ekdal,0.07936507936507936
Kyle Walker,0.07326007326007326
Axel Tuanzebe,0.06349206349206349
Joe Worrall,0.06349206349206349
Adam Armstrong,0.3072196620583717
Hwang Hee-Chan,0.27210884353741494
Mateus Mane,0.26455026455026454
Tolu Arokodare,0.3072196620583717
Jean-Ricner Bellegarde,0.23809523809523808
Angel Gomes,0.19047619047619047
Rodrigo Gomes,0.19047619047619047
Tom Edozie,0.19047619047619047
Joao Gomes,0.13605442176870747
Hugo Bueno,0.11204481792717086
Ladislav Krejci,0.10582010582010581
Yerson Mosquera,0.10025062656641603
Andre,0.08658008658008658
David Moller Wolfe,0.08658008658008658
Matt Doherty,0.08658008658008658
Pedro Lima,0.08658008658008658
Santiago Bueno,0.07936507936507936
Jackson Tchatchoua,0.07326007326007326
Toti Gomes,0.06349206349206349
Saheed Olagunju,0.047619047619047616
Antoine Semenyo,0.49862877088007973
Erling Haaland,0.6802721088435374
Omar Marmoush,0.5204267499349465
Phil Foden,0.3968253968253968
Rayan Cherki,0.38095238095238093
Tijjani Reijnders,0.33068783068783064
Jeremy Doku,0.31746031746031744
Nico O'Reilly,0.25396825396825395
Rayan Ait-Nouri,0.2801120448179272
Savinho,0.31746031746031744
Bernardo Silva,0.21164021164021163
Marc Guehi,0.19047619047619047
Mateo Kovacic,0.19047619047619047
Nico Gonzalez,0.19047619047619047
Josko Gvardiol,0.14652014652014653
Rodri,0.15873015873015872
John Stones,0.13605442176870747
Matheus Nunes,0.13605442176870747
Rico Lewis,0.13605442176870747
Abdukodir Khusanov,0.10582010582010581
Nathan Ake,0.10582010582010581
Ruben Dias,0.09523809523809523
Ollie Watkins,0.2801120448179272
Tammy Abraham,0.26455026455026454
Morgan Rogers,0.21994941163532386
Emiliano Buendia,0.17316017316017315
Harvey Elliott,0.17316017316017315
Leon Bailey,0.17316017316017315
Jadon Sancho,0.14652014652014653
John McGinn,0.14652014652014653
Ross Barkley,0.14652014652014653
Amadou Onana,0.10582010582010581
Douglas Luiz,0.10582010582010581
Matty Cash,0.10025062656641603
Youri Tielemans,0.10582010582010581
Ian Maatsen,0.08658008658008658
Lamare Bogarde,0.07326007326007326
Victor Lindelof,0.07326007326007326
Andres Garcia,0.06802721088435373
Pau Torres,0.06349206349206349
Tyrone Mings,0.06349206349206349
Ezri Konsa,0.05291005291005291
Lucas Digne,0.05291005291005291
Raul Jimenez,0.38095238095238093
Rodrigo Muniz,0.3621220351258374
Harry Wilson,0.2976190476190476
Jonah Kusi-Asare,0.2976190476190476
Emile Smith Rowe,0.23809523809523808
Josh King,0.21164021164021163
Kevin,0.21994941163532386
Oscar Bobb,0.21994941163532386
Samuel Chukwueze,0.21164021164021163
Ryan Sessegnon,0.19047619047619047
Alex Iwobi,0.15873015873015872
Tom Cairney,0.13605442176870747
Sasa Lukic,0.11904761904761904
Harrison Reed,0.09523809523809523
Jorge Cuenca,0.08658008658008658
Sander Berge,0.07936507936507936
Calvin Bassey,0.06349206349206349
Issa Diop,0.06349206349206349
Timothy Castagne,0.06349206349206349
Antonee Robinson,0.05291005291005291
Kenny Tete,0.05012531328320802
Anthony Gordon,0.3401360544217687
William Osula,0.3463203463203463
Yoane Wissa,0.3527336860670194
Harvey Barnes,0.31746031746031744
Nick Woltemade,0.31746031746031744
Sean Neave,0.26455026455026454
Anthony Elanga,0.23809523809523808
Bruno Guimaraes,0.23809523809523808
Jacob Murphy,0.23809523809523808
Jacob Ramsey,0.17316017316017315
Joe Willock,0.15873015873015872
Joelinton,0.15873015873015872
Sandro Tonali,0.14652014652014653
Malick Thiaw,0.13605442176870747
Lewis Hall,0.10025062656641603
Dan Burn,0.09523809523809523
Sven Botman,0.08658008658008658
Kieran Trippier,0.07936507936507936
Leo Shahar,0.06802721088435373
Alex Murphy,0.06349206349206349
Wilson Isidor,0.33068783068783064
Brian Brobbey,0.31746031746031744
Eliezer Mayenda,0.26455026455026454
Bertrand Traore,0.21994941163532386
Chemsdine Talbi,0.21164021164021163
Habib Diarra,0.21164021164021163
Nilson Angulo,0.21994941163532386
Chris Rigg,0.19047619047619047
Djiamgone Jocelin Ta Bi,0.17316017316017315
Enzo Le Fee,0.19047619047619047
Romaine Mundle,0.19047619047619047
Trai Hume,0.15873015873015872
Harrison Jones,0.13605442176870747
Granit Xhaka,0.11204481792717086
Omar Alderete,0.11204481792717086
Nordi Mukiele,0.07326007326007326
Luke O'Nien,0.06802721088435373
Lutsharel Geertruida,0.06802721088435373
Noah Sadiki,0.06349206349206349
Dennis Cirkin,0.05602240896358543
Reinildo Mandava,0.04535147392290249
Cole Palmer,0.3463203463203463
Joao Pedro,0.38095238095238093
Liam Delap,0.3463203463203463
Marc Guiu,0.33068783068783064
Shumaira Mheuka,0.27210884353741494
Alejandro Garnacho,0.23809523809523808
Enzo Fernandez,0.22675736961451246
Jamie Gittens,0.21994941163532386
Jesse Derry,0.22675736961451246
Pedro Neto,0.23809523809523808
Ryan Kavuma-McQueen,0.23809523809523808
Andrey Santos,0.17316017316017315
Dario Essugo,0.13605442176870747
Marc Cucurella,0.13605442176870747
Reece James,0.13605442176870747
Malo Gusto,0.11904761904761904
Jorrel Hato,0.10582010582010581
Moises Caicedo,0.10025062656641603
Romeo Lavia,0.10025062656641603
Trevoh Chalobah,0.10025062656641603
Josh Acheampong,0.09523809523809523
Mamadou Sarr,0.08658008658008658
Tosin Adarabioyo,0.07936507936507936
Benoit Badiashile,0.06802721088435373
Levi Colwill,0.06349206349206349
Wesley Fofana,0.06349206349206349
Jean-Philippe Mateta,0.3401360544217687
Christantus Uche,0.26455026455026454
Evann Guessand,0.25396825396825395
Ismaila Sarr,0.26455026455026454
Jorgen Strand Larsen,0.3072196620583717
Brennan Johnson,0.21164021164021163
Justin Devenny,0.17316017316017315
Yeremy Pino,0.19047619047619047
Daniel Munoz,0.13605442176870747
Daichi Kamada,0.11204481792717086
Kaden Rodney,0.11204481792717086
Jefferson Lerma,0.09523809523809523
Maxence Lacroix,0.07936507936507936
Nathaniel Clyne,0.07936507936507936
Will Hughes,0.07936507936507936
Adam Wharton,0.07326007326007326
Chadi Riad,0.07326007326007326
Borna Sosa,0.06349206349206349
Cheick Doucoure,0.06349206349206349
Rio Cardines,0.06349206349206349
Tyrick Mitchell,0.06349206349206349
Jaydee Canvot,0.05602240896358543
Bukayo Saka,0.3401360544217687
Gabriel Jesus,0.38095238095238093
Kai Havertz,0.3401360544217687
Viktor Gyokeres,0.3968253968253968
Eberechi Eze,0.3072196620583717
Gabriel Martinelli,0.27210884353741494
Leandro Trossard,0.2886002886002886
Max Dowman,0.26455026455026454
Mikel Merino,0.26455026455026454
Noni Madueke,0.27210884353741494
Declan Rice,0.17316017316017315
Martin Odegaard,0.19047619047619047
Christian Norgaard,0.14652014652014653
Gabriel Magalhaes,0.14652014652014653
Martin Zubimendi,0.14652014652014653
Jurrien Timber,0.11204481792717086
Riccardo Calafiori,0.11204481792717086
Myles Lewis-Skelly,0.09523809523809523
Piero Hincapie,0.09523809523809523
William Saliba,0.07326007326007326
Cristhian Mosquera,0.06349206349206349
Marli Salmon,0.04535147392290249
Alexander Isak,0.4535147392290249
Cody Gakpo,0.33068783068783064
Federico Chiesa,0.3401360544217687
Mohamed Salah,0.4140786749482402
Will Wright,0.33068783068783064
Dominik Szoboszlai,0.2801120448179272
Florian Wirtz,0.26455026455026454
Rio Ngumoha,0.2801120448179272
Curtis Jones,0.21164021164021163
Jeremie Frimpong,0.21994941163532386
Kieran Morrison,0.23809523809523808
Alexis Mac Allister,0.19047619047619047
Trey Nyoni,0.19047619047619047
Virgil van Dijk,0.14652014652014653
Ryan Gravenberch,0.13605442176870747
James McConnell,0.11904761904761904
Ibrahima Konate,0.07936507936507936
Joe Gomez,0.07936507936507936
Milos Kerkez,0.07936507936507936
Andy Robertson,0.07326007326007326
Amara Nallo,0.06802721088435373
Talla Ndiaye,0.06802721088435373
Igor Thiago,0.40184850311432585
Dango Ouattara,0.25396825396825395
Kaye Furo,0.3072196620583717
Kevin Schade,0.29304029304029305
Reiss Nelson,0.21164021164021163
Romelle Donovan,0.23809523809523808
Josh Dasilva,0.19047619047619047
Luka Bentt,0.17316017316017315
Keane Lewis-Potter,0.15873015873015872
Mikkel Damsgaard,0.15873015873015872
Mathias Jensen,0.12698412698412698
Vitaly Janelt,0.09523809523809523
Sepp van den Berg,0.08658008658008658
Yehor Yarmoliuk,0.08658008658008658
Nathan Collins,0.07936507936507936
Aaron Hickey,0.07326007326007326
Michael Kayode,0.07326007326007326
Ethan Pinnock,0.06802721088435373
Jordan Henderson,0.06349206349206349
Kristoffer Ajer,0.06349206349206349
Rico Henry,0.06349206349206349
Ollie Shield,0.05602240896358543
Joshua Stephenson,0.05012531328320802
Chris Wood,0.3401360544217687
Lorenzo Lucca,0.3401360544217687
Taiwo Awoniyi,0.3463203463203463
Igor Jesus,0.2886002886002886
Morgan Gibbs-White,0.2801120448179272
Dan Ndoye,0.21164021164021163
James McAtee,0.21164021164021163
Omari Hutchinson,0.21164021164021163
Dilane Bakwa,0.17316017316017315
Eric da Silva Moreira,0.14652014652014653
Archie Whitehall,0.12698412698412698
Elliot Anderson,0.12698412698412698
Jimmy Sinclair,0.13605442176870747
Nicolas Dominguez,0.12698412698412698
Ibrahim Sangare,0.11204481792717086
Neco Williams,0.11204481792717086
Ryan Yates,0.11904761904761904
Luca Netz,0.07326007326007326
Murillo,0.07326007326007326
Nikola Milenkovic,0.06802721088435373
Jair Cunha,0.06349206349206349
Morato,0.05602240896358543
Ola Aina,0.05602240896358543
Zach Abbott,0.05602240896358543
Justin Hanks,0.03663003663003663
Enes Unal,0.33068783068783064
Evanilson,0.38095238095238093
Junior Kroupi,0.42328042328042326
Rayan,0.3401360544217687
David Brooks,0.27210884353741494
Justin Kluivert,0.3072196620583717
Marcus Tavernier,0.26455026455026454
Remy Rees-Dottin,0.26455026455026454
Amine Adli,0.23809523809523808
Alex Toth,0.19047619047619047
Ben Gannon-Doak,0.19047619047619047
Alex Scott,0.15873015873015872
Tyler Adams,0.14652014652014653
Veljko Milosavljevic,0.08658008658008658
James Hill,0.07936507936507936
Lewis Cook,0.07936507936507936
Adrien Truffert,0.07326007326007326
Bafode Diakite,0.07326007326007326
Marcos Senesi,0.07326007326007326
Adam Smith,0.05012531328320802
Julio Soler,0.047619047619047616
Dominic Solanke,0.3527336860670194
Randal Kolo Muani,0.33068783068783064
Richarlison,0.40184850311432585
Mathys Tel,0.3072196620583717
James Maddison,0.21994941163532386
Conor Gallagher,0.19047619047619047
Joao Palhinha,0.19047619047619047
Lucas Bergvall,0.19047619047619047
Pape Matar Sarr,0.19047619047619047
Archie Gray,0.14652014652014653
Pedro Porro,0.14652014652014653
Rodrigo Bentancur,0.13605442176870747
Micky van de Ven,0.11904761904761904
Souza,0.11904761904761904
Djed Spence,0.10025062656641603
Radu Dragusin,0.09523809523809523
Yves Bissouma,0.09523809523809523
Kevin Danso,0.08658008658008658
Destiny Udogie,0.06802721088435373
James Rowswell,0.041407867494824016
Beto,0.2801120448179272
Thierno Barry,0.26455026455026454
Iliman Ndiaye,0.21994941163532386
Tyler Dibling,0.21164021164021163
Tyrique George,0.22675736961451246
Charly Alcaraz,0.19047619047619047
Kiernan Dewsbury-Hall,0.19047619047619047
Dwight McNeil,0.15873015873015872
Harrison Armstrong,0.15873015873015872
Merlin Rohl,0.13605442176870747
Michael Keane,0.12698412698412698
Jake O'Brien,0.09523809523809523
Idrissa Gueye,0.07326007326007326
James Garner,0.07326007326007326
Tim Iroegbunam,0.07326007326007326
James Tarkowski,0.06349206349206349
Nathan Patterson,0.06349206349206349
Adam Aznou,0.05602240896358543
Seamus Coleman,0.047619047619047616
Vitalii Mykolenko,0.047619047619047616
Callum Wilson,0.3968253968253968
Jarrod Bowen,0.38095238095238093
Valentin Castellanos,0.3968253968253968
Adama Traore,0.25396825396825395
Crysencio Summerville,0.3072196620583717
Keiber Lamadrid,0.27210884353741494
Pablo,0.2886002886002886
Tomas Soucek,0.21994941163532386
Mateus Fernandes,0.17316017316017315
Mohamadou Kante,0.15873015873015872
Ollie Scarles,0.12698412698412698
Konstantinos Mavropanos,0.11204481792717086
Aaron Wan-Bissaka,0.09523809523809523
Axel Disasi,0.09523809523809523
El Hadji Malick Diouf,0.09523809523809523
Kyle Walker-Peters,0.09523809523809523
Soungoutou Magassa,0.09523809523809523
Freddie Potts,0.07936507936507936
Maximilian Kilman,0.07326007326007326
Airidas Golambeckis,0.05012531328320802
Jean-Clair Todibo,0.05012531328320802
Ezra Mayers,0.041407867494824016
Dominic Calvert-Lewin,0.29304029304029305
Joel Piroe,0.25396825396825395
Lukas Nmecha,0.2886002886002886
Daniel James,0.21994941163532386
Facundo Buonanotte,0.21164021164021163
Noah Okafor,0.21994941163532386
Wilfried Gnonto,0.21164021164021163
Brenden Aaronson,0.19047619047619047
Anton Stach,0.15873015873015872
Rhys Chadwick,0.13605442176870747
Ao Tanaka,0.11904761904761904
James Justin,0.11904761904761904
Alfie Cresswell,0.10582010582010581
Jaka Bijol,0.08658008658008658
Sebastiaan Bornauw,0.07326007326007326
Gabriel Gudmundsson,0.06349206349206349
Jayden Bogle,0.06349206349206349
Joe Rodon,0.06349206349206349
Sam Byram,0.05012531328320802
Ethan Ampadu,0.047619047619047616
Jayden Lienou,0.03663003663003663
