column,status,n_mismatch,max_abs_diff
Player Name,ok,0,
Position,ok,0,
Team,ok,0,
Cost,ok,0,0.0
Title,ok,0,0.0
Relegation,ok,0,0.0
Top 6,ok,0,1.1102230246251565e-16
F1 Defensive Contribution - DEF,ok,0,2.220446049250313e-16
F1 Defensive Contribution - MID,ok,0,2.220446049250313e-16
F1 Start,ok,0,0.0
F1 Win,ok,0,0.0
F1 Opponent Win,ok,0,0.0
F1 Diff,ok,0,0.0
F1 Opponent,ok,0,
F1 Venue,ok,0,
F1 Opponent Title,ok,0,0.0
F1 Opponent Relegation,ok,0,0.0
F1 Opponent Top 6,ok,0,1.1102230246251565e-16
F1 Score 1+,ok,0,0.0
F1 Score 2+,ok,0,0.0
F1 Score 3+,ok,0,0.0
F1 Assist,ok,0,0.0
F1 Yellow Card,ok,0,0.0
F1 Clean Sheet,ok,0,0.0
F1 Concede 2+ Goals,ok,0,0.0
F1 Concede 4+ Goals,ok,0,0.0
F1 3+ Saves,ok,0,0.0
F1 6+ Saves,ok,0,0.0
Score 1+ Factor,ok,0,0.0
Assist Factor,ok,0,0.0
F1 Yellow Card Factor,ok,0,1.1102230246251565e-16
F1 Concede 2+ Goals Factor,ok,0,2.220446049250313e-16
F1 Concede 4+ Goals Factor,ok,0,0.0
F1 3+ Saves Factor,ok,0,0.0
F1 6+ Saves Factor,ok,0,0.0
Clean Sheet Factor,ok,0,0.0
F1 XP Pre,ok,0,1.7763568394002505e-15
F1 Bonus Probability,ok,0,4.163336342344337e-17
F1 XP,ok,0,1.7763568394002505e-15
F1 Pred XP,ok,0,0.0
F2 Start,ok,0,0.0
F2 Win,ok,0,0.0
F2 Opponent Win,ok,0,0.0
F2 Opponent,ok,0,0.0
F2 Venue,ok,0,0.0
F2 Opponent Title,ok,0,0.0
F2 Opponent Relegation,ok,0,0.0
F2 Opponent Top 6,ok,0,0.0
F2 Diff,ok,0,0.0
F2 Score 1+,ok,0,0.0
F2 Score 2+,ok,0,0.0
F2 Score 3+,ok,0,0.0
F2 Assist,ok,0,0.0
F2 Yellow Card,ok,0,0.0
F2 Clean Sheet,ok,0,0.0
F2 Concede 2+ Goals,ok,0,0.0
F2 Concede 4+ Goals,ok,0,0.0
F2 3+ Saves,ok,0,0.0
F2 6+ Saves,ok,0,0.0
F2 Defensive Contribution - DEF,ok,0,2.220446049250313e-16
F2 Defensive Contribution - MID,ok,0,2.220446049250313e-16
F2 XP Pre,ok,0,8.881784197001252e-16
F2 Bonus Probability,ok,0,2.7755575615628914e-17
F2 XP,ok,0,8.881784197001252e-16
F3 Start,ok,0,0.0
F3 Opponent,ok,0,0.0
F3 Venue,ok,0,0.0
F3 Opponent Title,ok,0,0.0
F3 Opponent Relegation,ok,0,0.0
F3 Opponent Top 6,ok,0,0.0
F3 Win Pred,ok,0,0.0
F3 Opponent Win Pred,ok,0,0.0
F3 Diff,ok,0,0.0
F3 Score 1+,ok,0,0.0
F3 Score 2+,ok,0,0.0
F3 Score 3+,ok,0,0.0
F3 Assist,ok,0,0.0
F3 Yellow Card,ok,0,0.0
F3 Clean Sheet,ok,0,0.0
F3 Concede 2+ Goals,ok,0,0.0
F3 Concede 4+ Goals,ok,0,0.0
F3 3+ Saves,ok,0,0.0
F3 6+ Saves,ok,0,0.0
F3 Defensive Contribution - DEF,ok,0,2.220446049250313e-16
F3 Defensive Contribution - MID,ok,0,2.220446049250313e-16
F3 XP Pre,ok,0,4.440892098500626e-16
F3 Bonus Probability,ok,0,1.3877787807814457e-17
F3 XP,ok,0,8.881784197001252e-16
F4 Start,ok,0,0.0
F4 Opponent,ok,0,0.0
F4 Venue,ok,0,0.0
F4 Opponent Title,ok,0,0.0
F4 Opponent Relegation,ok,0,0.0
F4 Opponent Top 6,ok,0,0.0
F4 Win Pred,ok,0,0.0
F4 Opponent Win Pred,ok,0,0.0
F4 Diff,ok,0,0.0
F4 Score 1+,ok,0,0.0
F4 Score 2+,ok,0,0.0
F4 Score 3+,ok,0,0.0
F4 Assist,ok,0,0.0
F4 Yellow Card,ok,0,0.0
