stat,horizon,gw_from,gw_to,player,position,predicted,oracle_odds,persistence,position_mean,f2_formula,f2_oracle,actual,valid_opp
score1,1,16,17,William Saliba,DEF,,0.07282781482262955,0.100250626566416,0.0726829858335866,,0.14123967382793623,0.0680272108843537,False
score1,1,16,17,Jurrien Timber,DEF,,0.09224856544199748,0.126984126984127,0.0726829858335866,,0.1789035868487193,0.0952380952380952,False
score1,1,16,17,Myles Lewis-Skelly,DEF,,0.09883774868785443,0.1360544217687075,0.0726829858335866,,0.19168241448077064,0.0952380952380952,False
score1,1,16,17,Bukayo Saka,MID,,0.37259076197483443,0.4761904761904762,0.1848331582093885,,0.33337661525989576,0.3306878306878306,False
score1,1,16,17,Martin Odegaard,MID,,0.21290900684276245,0.2721088435374149,0.1848331582093885,,0.19050092300565466,0.1731601731601732,False
score1,1,16,17,Noni Madueke,MID,,0.3104923016456953,0.3968253968253968,0.1848331582093885,,0.2778138460499131,0.2801120448179272,False
score1,1,16,17,Gabriel Martinelli,MID,,0.3104923016456953,0.3968253968253968,0.1848331582093885,,0.2778138460499131,0.2645502645502645,False
score1,1,16,17,Leandro Trossard,MID,,0.3104923016456953,0.3968253968253968,0.1848331582093885,,0.2778138460499131,0.2801120448179272,False
score1,1,16,17,Declan Rice,MID,,0.17742417236896882,0.2267573696145125,0.1848331582093885,,0.15875076917137895,0.1587301587301587,False
score1,1,16,17,Mikel Merino,MID,,0.32399196693463866,0.4140786749482402,0.1848331582093885,,0.2898927089216485,0.2886002886002886,False
score1,1,16,17,Christian Norgaard,MID,,0.12419692065827811,0.1587301587301587,0.1848331582093885,,0.11112553841996523,0.1058201058201058,False
score1,1,16,17,Ethan Nwaneri,MID,,0.33871887452257665,0.4329004329004328,0.1848331582093885,,0.30306965023626875,0.2976190476190476,False
score1,1,16,17,Martin Zubimendi,MID,,0.13548754980903072,0.1731601731601732,0.1848331582093885,,0.12122786009450758,0.1120448179271709,False
score1,1,16,17,Eberechi Eze,MID,,0.3548483447379375,0.4535147392290249,0.1848331582093885,,0.31750153834275785,0.3174603174603174,False
score1,1,16,17,Viktor Gyokeres,FWD,,0.4527014539915501,0.5537098560354374,0.30354858145419655,,0.21547009470078396,0.4140786749482402,False
score1,1,16,17,Andre Harriman-Annous,MID,,0.2980726095798675,0.3809523809523809,0.1848331582093885,,0.26670129220791655,0.253968253968254,False
score1,1,16,17,Piero Hincapie,DEF,,0.09883774868785443,0.1360544217687075,0.0726829858335866,,0.19168241448077064,0.0952380952380952,False
score1,1,16,17,Matty Cash,DEF,,0.1267356119641666,0.126984126984127,0.0726829858335866,,0.24389668388007188,0.126984126984127,False
score1,1,16,17,Lucas Digne,DEF,,0.07311669921009603,0.0732600732600732,0.0726829858335866,,0.1407096253154259,0.0793650793650793,False
score1,1,16,17,Ezri Konsa,DEF,,0.07311669921009603,0.0732600732600732,0.0726829858335866,,0.1407096253154259,0.0732600732600732,False
score1,1,16,17,Ian Maatsen,DEF,,0.0950517089731249,0.0952380952380952,0.0726829858335866,,0.18292251291005382,0.119047619047619,False
score1,1,16,17,Lamare Bogarde,DEF,,0.1000544304980262,0.100250626566416,0.0726829858335866,,0.19255001358953033,0.1058201058201058,False
score1,1,16,17,Morgan Rogers,MID,,0.2664200922411333,0.2721088435374149,0.1848331582093885,,0.23555668854029366,0.2886002886002886,False
score1,1,16,17,Youri Tielemans,MID,,0.20721562729865925,0.2116402116402116,0.1848331582093885,,0.18321075775356177,0.2199494116353239,False
score1,1,16,17,Emiliano Buendia,MID,,0.2331175807109917,0.2380952380952381,0.1848331582093885,,0.20611210247275705,0.2380952380952381,False
score1,1,16,17,Donyell Malen,MID,,0.33302511530141665,0.3401360544217687,0.1848331582093885,,0.29444586067536715,0.3809523809523809,False
score1,1,16,17,John McGinn,MID,,0.1554117204739944,0.1587301587301587,0.1848331582093885,,0.13740806831517133,0.1731601731601732,False
score1,1,16,17,Boubacar Kamara,MID,,0.07172848637261275,0.0732600732600732,0.1848331582093885,,0.06341910845315595,0.0793650793650793,False
score1,1,16,17,Amadou Onana,MID,,0.14345697274522565,0.1465201465201465,0.1848331582093885,,0.126838216906312,0.1904761904761905,False
score1,1,16,17,Ollie Watkins,FWD,,0.38408292366242663,0.3968253968253968,0.30354858145419655,,0.1792763487453002,0.4140786749482402,False
score1,1,16,17,Harvey Elliott,MID,,0.2331175807109917,0.2380952380952381,0.1848331582093885,,0.20611210247275705,0.253968253968254,False
score1,1,16,17,Hjalmar Ekdal,DEF,,0.05530337812240559,0.0560224089635854,0.0726829858335866,,0.10114190605025983,0.0529100529100529,False
score1,1,16,17,Maxime Esteve,DEF,,0.05530337812240559,0.0560224089635854,0.0726829858335866,,0.10114190605025983,0.0529100529100529,False
score1,1,16,17,Quilindschy Hartman,DEF,,0.06715410200577822,0.0680272108843537,0.0726829858335866,,0.12281517163245836,0.0634920634920634,False
score1,1,16,17,Oliver Sonne,DEF,,0.09896393979798898,0.100250626566416,0.0726829858335866,,0.1809907792478334,0.0952380952380952,False
