Player,Team,F1,F2,F3,F4,F5,F6
David Raya,Arsenal,1,1,1,1,1,1
Cristhian Mosquera,Arsenal,1,1,1,1,1,1
Christian Norgaard,Arsenal,1,1,1,1,1,1
Gabriel Magalhaes,Arsenal,1,1,1,1,1,1
Piero Hincapie,Arsenal,1,1,1,1,1,1
Max Dowman,Arsenal,1,1,1,1,1,1
Martin Zubimendi,Arsenal,1,1,1,1,1,1
Eberechi Eze,Arsenal,1,1,1,1,1,1
Noni Madueke,Arsenal,1,1,1,1,1,1
Viktor Gyokeres,Arsenal,1,1,1,1,1,1
Gabriel Martinelli,Arsenal,1,1,1,1,1,1
Marco Bizot,Aston Villa,1,1,1,1,1,1
Matty Cash,Aston Villa,1,1,1,1,1,1
Ezri Konsa,Aston Villa,1,1,1,1,1,1
Tyrone Mings,Aston Villa,1,1,1,1,1,1
Ian Maatsen,Aston Villa,1,1,1,1,1,1
Lamare Bogarde,Aston Villa,1,1,1,1,1,1
Amadou Onana,Aston Villa,1,1,1,1,1,1
Jadon Sancho,Aston Villa,1,1,1,1,1,1
Ross Barkley,Aston Villa,1,1,1,1,1,1
Morgan Rogers,Aston Villa,1,1,1,1,1,1
Tammy Abraham,Aston Villa,1,1,1,1,1,1
Djordje Petrovic,Bournemouth,1,1,1,1,1,1
Adam Smith,Bournemouth,1,1,1,1,1,1
James Hill,Bournemouth,1,1,1,1,1,1
Marcos Senesi,Bournemouth,1,1,1,1,1,1
Adrien Truffert,Bournemouth,1,1,1,1,1,1
Tyler Adams,Bournemouth,1,1,1,1,1,1
Alex Scott,Bournemouth,1,1,1,1,1,1
Marcus Tavernier,Bournemouth,1,1,1,1,1,1
Junior Kroupi,Bournemouth,1,1,1,1,1,1
Rayan,Bournemouth,1,1,1,1,1,1
Evanilson,Bournemouth,1,1,1,1,1,1
Caoimhin Kelleher,Brentford,1,1,1,1,1,1
Michael Kayode,Brentford,1,1,1,1,1,1
Sepp van den Berg,Brentford,1,1,1,1,1,1
Nathan Collins,Brentford,1,1,1,1,1,1
Keane Lewis-Potter,Brentford,1,1,1,1,1,1
Yehor Yarmoliuk,Brentford,1,1,1,1,1,1
Mathias Jensen,Brentford,1,1,1,1,1,1
Dango Ouattara,Brentford,1,1,1,1,1,1
Mikkel Damsgaard,Brentford,1,1,1,1,1,1
Kevin Schade,Brentford,1,1,1,1,1,1
Igor Thiago,Brentford,1,1,1,1,1,1
Bart Verbruggen,Brighton and Hove Albion,1,1,1,1,1,1
Ferdi Kadioglu,Brighton and Hove Albion,1,1,1,1,1,1
Jan Paul van Hecke,Brighton and Hove Albion,1,1,1,1,1,1
Lewis Dunk,Brighton and Hove Albion,1,1,1,1,1,1
Maxim De Cuyper,Brighton and Hove Albion,1,1,1,1,1,1
Carlos Baleba,Brighton and Hove Albion,1,1,1,1,1,1
Pascal Gross,Brighton and Hove Albion,1,1,1,1,1,1
Diego Gomez,Brighton and Hove Albion,1,1,1,1,1,1
Jack Hinshelwood,Brighton and Hove Albion,1,1,1,1,1,1
Yankuba Minteh,Brighton and Hove Albion,1,1,1,1,1,1
Danny Welbeck,Brighton and Hove Albion,1,1,1,1,1,1
Martin Dubravka,Burnley,1,1,1,1,1,1
Kyle Walker,Burnley,1,1,1,1,1,1
Axel Tuanzebe,Burnley,1,1,1,1,1,1
Maxime Esteve,Burnley,1,1,1,1,1,1
Lucas Pires,Burnley,1,1,1,1,1,1
Lesley Ugochukwu,Burnley,1,1,1,1,1,1
Florentino,Burnley,1,1,1,1,1,1
Loum Tchaouna,Burnley,1,1,1,1,1,1
Hannibal Mejbri,Burnley,1,1,1,1,1,1
Jaidon Anthony,Burnley,1,1,1,1,1,1
Zian Flemming,Burnley,1,1,1,1,1,1
Robert Sanchez,Chelsea,1,1,1,1,1,1
Malo Gusto,Chelsea,1,1,1,1,1,1
Wesley Fofana,Chelsea,1,1,1,1,1,1
Levi Colwill,Chelsea,1,1,1,1,1,1
Marc Cucurella,Chelsea,1,1,1,1,1,1
Reece James,Chelsea,1,1,1,1,1,1
Moises Caicedo,Chelsea,1,1,1,1,1,1
Cole Palmer,Chelsea,1,1,1,1,1,1
Enzo Fernandez,Chelsea,1,1,1,1,1,1
Pedro Neto,Chelsea,1,1,1,1,1,1
Joao Pedro,Chelsea,1,1,1,1,1,1
Dean Henderson,Crystal Palace,1,1,1,1,1,1
Jaydee Canvot,Crystal Palace,1,1,1,1,1,1
Maxence Lacroix,Crystal Palace,1,1,1,1,1,1
Chadi Riad,Crystal Palace,1,1,1,1,1,1
Daniel Munoz,Crystal Palace,1,1,1,1,1,1
Jefferson Lerma,Crystal Palace,1,1,1,1,1,1
Will Hughes,Crystal Palace,1,1,1,1,1,1
Justin Devenny,Crystal Palace,1,1,1,1,1,1
Brennan Johnson,Crystal Palace,1,1,1,1,1,1
Yeremy Pino,Crystal Palace,1,1,1,1,1,1
Jorgen Strand Larsen,Crystal Palace,1,1,1,1,1,1
Jordan Pickford,Everton,1,1,1,1,1,1
Jake O'Brien,Everton,1,1,1,1,1,1
James Tarkowski,Everton,1,1,1,1,1,1
Michael Keane,Everton,1,1,1,1,1,1
Vitalii Mykolenko,Everton,1,1,1,1,1,1
Tim Iroegbunam,Everton,1,1,1,1,1,1
James Garner,Everton,1,1,1,1,1,1
Merlin Rohl,Everton,1,1,1,1,1,1
Kiernan Dewsbury-Hall,Everton,1,1,1,1,1,1
Iliman Ndiaye,Everton,1,1,1,1,1,1
Beto,Everton,1,1,1,1,1,1
Bernd Leno,Fulham,1,1,1,1,1,1
Timothy Castagne,Fulham,1,1,1,1,1,1
Issa Diop,Fulham,1,1,1,1,1,1
Calvin Bassey,Fulham,1,1,1,1,1,1
Antonee Robinson,Fulham,1,1,1,1,1,1
Sasa Lukic,Fulham,1,1,1,1,1,1
Alex Iwobi,Fulham,1,1,1,1,1,1
Oscar Bobb,Fulham,1,1,1,1,1,1
Josh King,Fulham,1,1,1,1,1,1
Kevin,Fulham,1,1,1,1,1,1
Rodrigo Muniz,Fulham,1,1,1,1,1,1
Karl Darlow,Leeds United,1,1,1,1,1,1
Joe Rodon,Leeds United,1,1,1,1,1,1
Jaka Bijol,Leeds United,1,1,1,1,1,1
Pascal Struijk,Leeds United,1,1,1,1,1,1
Jayden Bogle,Leeds United,1,1,1,1,1,1
Brenden Aaronson,Leeds United,1,1,1,1,1,1
Ethan Ampadu,Leeds United,1,1,1,1,1,1
Ao Tanaka,Leeds United,1,1,1,1,1,1
James Justin,Leeds United,1,1,1,1,1,1
Dominic Calvert-Lewin,Leeds United,1,1,1,1,1,1
Lukas Nmecha,Leeds United,1,1,1,1,1,1
Alisson Becker,Liverpool,1,1,1,1,1,1
Curtis Jones,Liverpool,1,1,1,1,1,1
Ibrahima Konate,Liverpool,1,1,1,1,1,1
Virgil van Dijk,Liverpool,1,1,1,1,1,1
Andrew Robertson,Liverpool,1,1,1,1,1,1
Ryan Gravenberch,Liverpool,1,1,1,1,1,1
Alexis Mac Allister,Liverpool,1,1,1,1,1,1
Mohamed Salah,Liverpool,1,1,1,1,1,1
Dominik Szoboszlai,Liverpool,1,1,1,1,1,1
Florian Wirtz,Liverpool,1,1,1,1,1,1
Cody Gakpo,Liverpool,1,1,1,1,1,1
Gianluigi Donnarumma,Manchester City,1,1,1,1,1,1
Matheus Nunes,Manchester City,1,1,1,1,1,1
John Stones,Manchester City,1,1,1,1,1,1
Marc Guehi,Manchester City,1,1,1,1,1,1
Nico O'Reilly,Manchester City,1,1,1,1,1,1
Bernardo Silva,Manchester City,1,1,1,1,1,1
Phil Foden,Manchester City,1,1,1,1,1,1
Antoine Semenyo,Manchester City,1,1,1,1,1,1
Rayan Cherki,Manchester City,1,1,1,1,1,1
Jeremy Doku,Manchester City,1,1,1,1,1,1
Erling Haaland,Manchester City,1,1,1,1,1,1
Senne Lammens,Manchester United,1,1,1,1,1,1
Diogo Dalot,Manchester United,1,1,1,1,1,1
Harry Maguire,Manchester United,1,1,1,1,1,1
Lisandro Martinez,Manchester United,1,1,1,1,1,1
Luke Shaw,Manchester United,1,1,1,1,1,1
Manuel Ugarte,Manchester United,1,1,1,1,1,1
Kobbie Mainoo,Manchester United,1,1,1,1,1,1
Amad Diallo,Manchester United,1,1,1,1,1,1
Bruno Fernandes,Manchester United,1,1,1,1,1,1
Matheus Cunha,Manchester United,1,1,1,1,1,1
Bryan Mbeumo,Manchester United,1,1,1,1,1,1
Nick Pope,Newcastle United,1,1,1,1,1,1
Lewis Hall,Newcastle United,1,1,1,1,1,1
Malick Thiaw,Newcastle United,1,1,1,1,1,1
Sven Botman,Newcastle United,1,1,1,1,1,1
Dan Burn,Newcastle United,1,1,1,1,1,1
Bruno Guimaraes,Newcastle United,1,1,1,1,1,1
Sandro Tonali,Newcastle United,1,1,1,1,1,1
Harvey Barnes,Newcastle United,1,1,1,1,1,1
Nick Woltemade,Newcastle United,1,1,1,1,1,1
Jacob Ramsey,Newcastle United,1,1,1,1,1,1
William Osula,Newcastle United,1,1,1,1,1,1
Matz Sels,Nottingham Forest,1,1,1,1,1,1
Neco Williams,Nottingham Forest,1,1,1,1,1,1
Nikola Milenkovic,Nottingham Forest,1,1,1,1,1,1
Jair,Nottingham Forest,1,1,1,1,1,1
Luca Netz,Nottingham Forest,1,1,1,1,1,1
Elliot Anderson,Nottingham Forest,1,1,1,1,1,1
Ibrahim Sangare,Nottingham Forest,1,1,1,1,1,1
Omari Hutchinson,Nottingham Forest,1,1,1,1,1,1
Igor Jesus,Nottingham Forest,1,1,1,1,1,1
Morgan Gibbs-White,Nottingham Forest,1,1,1,1,1,1
Chris Wood,Nottingham Forest,1,1,1,1,1,1
Robin Roefs,Sunderland,1,1,1,1,1,1
Lutsharel Geertruida,Sunderland,1,1,1,1,1,1
Nordi Mukiele,Sunderland,1,1,1,1,1,1
Luke O'Nien,Sunderland,1,1,1,1,1,1
Reinildo Mandava,Sunderland,1,1,1,1,1,1
Granit Xhaka,Sunderland,1,1,1,1,1,1
Noah Sadiki,Sunderland,1,1,1,1,1,1
Trai Hume,Sunderland,1,1,1,1,1,1
Enzo Le Fee,Sunderland,1,1,1,1,1,1
Nilson Angulo,Sunderland,1,1,1,1,1,1
Brian Brobbey,Sunderland,1,1,1,1,1,1
Antonin Kinsky,Tottenham Hotspur,1,1,1,1,1,1
Pedro Porro,Tottenham Hotspur,1,1,1,1,1,1
Kevin Danso,Tottenham Hotspur,1,1,1,1,1,1
Micky van de Ven,Tottenham Hotspur,1,1,1,1,1,1
Djed Spence,Tottenham Hotspur,1,1,1,1,1,1
Rodrigo Bentancur,Tottenham Hotspur,1,1,1,1,1,1
Joao Palhinha,Tottenham Hotspur,1,1,1,1,1,1
Mathys Tel,Tottenham Hotspur,1,1,1,1,1,1
Conor Gallagher,Tottenham Hotspur,1,1,1,1,1,1
