match_name,date,team_name,clean_sheet_yes,clean_sheet_no
Brighton v Man Utd,1779634800,Brighton,3.5,1.25
Brighton v Man Utd,1779634800,Man Utd,6.9,1.07
Burnley v Wolves,1779634800,Burnley,3.66,1.23
Burnley v Wolves,1779634800,Wolves,4.3,1.17
Man City v Aston Villa,1779634800,Man City,2.74,1.39
Man City v Aston Villa,1779634800,Aston Villa,15.25,1.02
Fulham v Newcastle,1779634800,Fulham,4.7,1.14
Fulham v Newcastle,1779634800,Newcastle,3.94,1.2
Sunderland v Chelsea,1779634800,Sunderland,4.8,1.14
Sunderland v Chelsea,1779634800,Chelsea,3.08,1.31
Crystal Palace v Arsenal,1779634800,Crystal Palace,5.8,1.1
Crystal Palace v Arsenal,1779634800,Arsenal,2.92,1.35
Liverpool v Brentford,1779634800,Liverpool,3.58,1.24
Liverpool v Brentford,1779634800,Brentford,6.8,1.07
Nottm Forest v Bournemouth,1779634800,Nott'm Forest,5.55,1.11
Nottm Forest v Bournemouth,1779634800,Bournemouth,3.46,1.25
Tottenham v Everton,1779634800,Spurs,2.91,1.35
Tottenham v Everton,1779634800,Everton,4.9,1.13
West Ham v Leeds,1779634800,West Ham,2.8,1.38
West Ham v Leeds,1779634800,Leeds,6.0,1.09
