player_name,match_id,odds_decimal
Danny Welbeck,10495949,5.5
Charalampos Kostoulas,10495949,8.0
Diego Gomez,10495949,12.0
Georginio Rutter,10495949,13.0
Matt O'Riley,10495949,15.0
Harry Howell,10495949,17.0
Yankuba Minteh,10495949,17.0
Solly March,10495949,18.0
Jack Hinshelwood,10495949,19.0
Yasin Ayari,10495949,23.0
Maxim De Cuyper,10495949,26.0
Pascal Gross,10495949,31.0
Ferdi Kadioglu,10495949,61.0
Mats Wieffer,10495949,61.0
Jan Paul van Hecke,10495949,67.0
Carlos Baleba,10495949,101.0
James Milner,10495949,101.0
Lewis Dunk,10495949,151.0
Igor Julio,10495949,201.0
Joel Veltman,10495949,201.0
Olivier Boscagli,10495949,201.0
Benjamin Sesko,10495949,12.0
Matheus Cunha,10495949,18.0
Bryan Mbeumo,10495949,20.0
Joshua Zirkzee,10495949,20.0
Bruno Fernandes,10495949,23.0
Amad Diallo,10495949,36.0
Patrick Dorgu,10495949,36.0
Shea Lacey,10495949,36.0
Jack Moorhouse,10495949,46.0
Mason Mount,10495949,51.0
Jim Thwaites,10495949,71.0
Jack Fletcher,10495949,81.0
Kobbie Mainoo,10495949,151.0
Tyler Fletcher,10495949,176.0
Ayden Heaven,10495949,201.0
Diogo Dalot,10495949,201.0
Godwill Kukonki,10495949,201.0
Harry Maguire,10495949,201.0
Leny Yoro,10495949,201.0
Lisandro Martinez,10495949,201.0
Luke Shaw,10495949,201.0
Manuel Ugarte,10495949,201.0
Noussair Mazraoui,10495949,201.0
Tyler Fredricson,10495949,201.0
Tyrell Malacia,10495949,201.0
Zian Flemming,10495997,7.5
Ashley Barnes,10495997,10.0
Lyle Foster,10495997,10.0
Armando Broja,10495997,11.0
Zeki Amdouni,10495997,13.0
Jaidon Anthony,10495997,14.0
Jacob Bruun Larsen,10495997,17.0
Marcus Edwards,10495997,19.0
Loum Tchaouna,10495997,20.0
Mike Tresor,10495997,21.0
Lesley Ugochukwu,10495997,36.0
Hannibal Mejbri,10495997,46.0
James Ward-Prowse,10495997,61.0
Josh Laurent,10495997,91.0
Connor Roberts,10495997,151.0
Florentino,10495997,151.0
Lucas Pires,10495997,151.0
Quilindschy Hartman,10495997,176.0
Axel Tuanzebe,10495997,201.0
Bashir Humphreys,10495997,201.0
Hjalmar Ekdal,10495997,201.0
Joe Worrall,10495997,201.0
Kyle Walker,10495997,201.0
Maxime Esteve,10495997,201.0
Tolu Arokodare,10495997,13.0
Adam Armstrong,10495997,14.0
Hwang Hee-Chan,10495997,17.0
Mateus Mane,10495997,18.0
Jean-Ricner Bellegarde,10495997,21.0
Angel Gomes,10495997,36.0
Rodrigo Gomes,10495997,36.0
Tom Edozie,10495997,41.0
Joao Gomes,10495997,71.0
Hugo Bueno,10495997,101.0
Ladislav Krejci,10495997,126.0
Yerson Mosquera,10495997,151.0
Andre,10495997,201.0
David Moller Wolfe,10495997,201.0
Jackson Tchatchoua,10495997,201.0
Matt Doherty,10495997,201.0
Pedro Lima,10495997,201.0
Saheed Olagunju,10495997,201.0
Santiago Bueno,10495997,201.0
Toti Gomes,10495997,201.0
Erling Haaland,10496350,2.88
Omar Marmoush,10496350,4.5
Antoine Semenyo,10496350,5.5
Phil Foden,10496350,8.0
Rayan Cherki,10496350,9.0
Tijjani Reijnders,10496350,11.0
Jeremy Doku,10496350,12.0
Savinho,10496350,12.0
Rayan Ait-Nouri,10496350,15.0
Nico O'Reilly,10496350,20.0
Bernardo Silva,10496350,26.0
Marc Guehi,10496350,36.0
Mateo Kovacic,10496350,36.0
Nico Gonzalez,10496350,36.0
Rodri,10496350,46.0
Josko Gvardiol,10496350,61.0
Matheus Nunes,10496350,76.0
Rico Lewis,10496350,76.0
John Stones,10496350,91.0
Abdukodir Khusanov,10496350,126.0
Nathan Ake,10496350,151.0
Ruben Dias,10496350,176.0
Ollie Watkins,10496350,15.0
Tammy Abraham,10496350,18.0
Morgan Rogers,10496350,26.0
Emiliano Buendia,10496350,46.0
Harvey Elliott,10496350,46.0
Leon Bailey,10496350,51.0
John McGinn,10496350,61.0
Ross Barkley,10496350,67.0
Jadon Sancho,10496350,71.0
Matty Cash,10496350,101.0
Amadou Onana,10496350,126.0
Douglas Luiz,10496350,126.0
Youri Tielemans,10496350,126.0
Andres Garcia,10496350,201.0
Ezri Konsa,10496350,201.0
Ian Maatsen,10496350,201.0
Lamare Bogarde,10496350,201.0
Lucas Digne,10496350,201.0
Pau Torres,10496350,201.0
Tyrone Mings,10496350,201.0
Victor Lindelof,10496350,201.0
Raul Jimenez,10496883,9.0
Rodrigo Muniz,10496883,9.5
Harry Wilson,10496883,14.0
Jonah Kusi-Asare,10496883,14.0
Emile Smith Rowe,10496883,23.0
Josh King,10496883,26.0
Kevin,10496883,26.0
Oscar Bobb,10496883,26.0
Samuel Chukwueze,10496883,26.0
Ryan Sessegnon,10496883,36.0
Alex Iwobi,10496883,51.0
Tom Cairney,10496883,76.0
Sasa Lukic,10496883,101.0
Harrison Reed,10496883,176.0
Antonee Robinson,10496883,201.0
Calvin Bassey,10496883,201.0
Issa Diop,10496883,201.0
Jorge Cuenca,10496883,201.0
Kenny Tete,10496883,201.0
Sander Berge,10496883,201.0
Timothy Castagne,10496883,201.0
William Osula,10496883,10.0
Yoane Wissa,10496883,10.0
Anthony Gordon,10496883,11.0
Harvey Barnes,10496883,12.0
Nick Woltemade,10496883,13.0
Sean Neave,10496883,19.0
Anthony Elanga,10496883,21.0
Bruno Guimaraes,10496883,21.0
Jacob Murphy,10496883,21.0
Jacob Ramsey,10496883,41.0
Joe Willock,10496883,51.0
Joelinton,10496883,56.0
Sandro Tonali,10496883,61.0
Malick Thiaw,10496883,76.0
Lewis Hall,10496883,151.0
Dan Burn,10496883,176.0
Alex Murphy,10496883,201.0
Kieran Trippier,10496883,201.0
Leo Shahar,10496883,201.0
Sven Botman,10496883,201.0
Wilson Isidor,10496918,11.0
Brian Brobbey,10496918,12.0
Eliezer Mayenda,10496918,17.0
Bertrand Traore,10496918,26.0
Chemsdine Talbi,10496918,26.0
Nilson Angulo,10496918,26.0
Habib Diarra,10496918,31.0
Enzo Le Fee,10496918,36.0
Romaine Mundle,10496918,36.0
Chris Rigg,10496918,41.0
Djiamgone Jocelin Ta Bi,10496918,46.0
Trai Hume,10496918,56.0
Harrison Jones,10496918,76.0
Granit Xhaka,10496918,101.0
Omar Alderete,10496918,101.0
Dennis Cirkin,10496918,201.0
Luke O'Nien,10496918,201.0
Lutsharel Geertruida,10496918,201.0
Noah Sadiki,10496918,201.0
Nordi Mukiele,10496918,201.0
Reinildo Mandava,10496918,201.0
Joao Pedro,10496918,9.0
Cole Palmer,10496918,10.0
Liam Delap,10496918,10.0
Marc Guiu,10496918,11.0
Shumaira Mheuka,10496918,18.0
Pedro Neto,10496918,21.0
Alejandro Garnacho,10496918,23.0
Enzo Fernandez,10496918,23.0
Jesse Derry,10496918,23.0
Ryan Kavuma-McQueen,10496918,23.0
Jamie Gittens,10496918,26.0
Andrey Santos,10496918,41.0
Dario Essugo,10496918,76.0
Marc Cucurella,10496918,76.0
Reece James,10496918,81.0
Malo Gusto,10496918,101.0
Jorrel Hato,10496918,126.0
Romeo Lavia,10496918,126.0
Moises Caicedo,10496918,151.0
Trevoh Chalobah,10496918,151.0
Josh Acheampong,10496918,176.0
Benoit Badiashile,10496918,201.0
Levi Colwill,10496918,201.0
Mamadou Sarr,10496918,201.0
Tosin Adarabioyo,10496918,201.0
Wesley Fofana,10496918,201.0
Jean-Philippe Mateta,10498401,11.0
Jorgen Strand Larsen,10498401,13.0
Ismaila Sarr,10498401,18.0
Christantus Uche,10498401,19.0
Evann Guessand,10498401,20.0
Brennan Johnson,10498401,31.0
Yeremy Pino,10498401,41.0
Justin Devenny,10498401,46.0
Daniel Munoz,10498401,81.0
Daichi Kamada,10498401,101.0
Kaden Rodney,10498401,126.0
Jefferson Lerma,10498401,176.0
Adam Wharton,10498401,201.0
Borna Sosa,10498401,201.0
Chadi Riad,10498401,201.0
Cheick Doucoure,10498401,201.0
Jaydee Canvot,10498401,201.0
Maxence Lacroix,10498401,201.0
Nathaniel Clyne,10498401,201.0
Rio Cardines,10498401,201.0
Tyrick Mitchell,10498401,201.0
Will Hughes,10498401,201.0
Viktor Gyokeres,10498401,8.5
Gabriel Jesus,10498401,9.0
Bukayo Saka,10498401,11.0
Kai Havertz,10498401,11.0
Eberechi Eze,10498401,13.0
Leandro Trossard,10498401,15.0
Noni Madueke,10498401,15.0
Gabriel Martinelli,10498401,17.0
Mikel Merino,10498401,17.0
Max Dowman,10498401,19.0
Martin Odegaard,10498401,36.0
Declan Rice,10498401,51.0
Martin Zubimendi,10498401,61.0
Christian Norgaard,10498401,67.0
Gabriel Magalhaes,10498401,76.0
Jurrien Timber,10498401,126.0
Riccardo Calafiori,10498401,126.0
Myles Lewis-Skelly,10498401,176.0
Piero Hincapie,10498401,176.0
Cristhian Mosquera,10498401,201.0
Marli Salmon,10498401,201.0
William Saliba,10498401,201.0
Alexander Isak,10498403,7.0
Mohamed Salah,10498403,7.5
Federico Chiesa,10498403,11.0
Cody Gakpo,10498403,12.0
Will Wright,10498403,12.0
Dominik Szoboszlai,10498403,15.0
Rio Ngumoha,10498403,15.0
Florian Wirtz,10498403,18.0
Kieran Morrison,10498403,23.0
Curtis Jones,10498403,26.0
Jeremie Frimpong,10498403,26.0
Alexis Mac Allister,10498403,36.0
Trey Nyoni,10498403,36.0
Virgil van Dijk,10498403,67.0
Ryan Gravenberch,10498403,81.0
James McConnell,10498403,101.0
Amara Nallo,10498403,201.0
Andy Robertson,10498403,201.0
Ibrahima Konate,10498403,201.0
Joe Gomez,10498403,201.0
Milos Kerkez,10498403,201.0
Talla Ndiaye,10498403,201.0
Igor Thiago,10498403,8.0
Kaye Furo,10498403,13.0
Kevin Schade,10498403,14.0
Dango Ouattara,10498403,19.0
Romelle Donovan,10498403,23.0
Reiss Nelson,10498403,26.0
Josh Dasilva,10498403,36.0
Luka Bentt,10498403,41.0
Keane Lewis-Potter,10498403,56.0
Mikkel Damsgaard,10498403,61.0
Mathias Jensen,10498403,91.0
Vitaly Janelt,10498403,151.0
Aaron Hickey,10498403,201.0
Ethan Pinnock,10498403,201.0
Jordan Henderson,10498403,201.0
Joshua Stephenson,10498403,201.0
Kristoffer Ajer,10498403,201.0
Michael Kayode,10498403,201.0
Nathan Collins,10498403,201.0
Ollie Shield,10498403,201.0
Rico Henry,10498403,201.0
Sepp van den Berg,10498403,201.0
Yehor Yarmoliuk,10498403,201.0
Chris Wood,10498405,10.0
Taiwo Awoniyi,10498405,10.0
Lorenzo Lucca,10498405,11.0
Igor Jesus,10498405,15.0
Morgan Gibbs-White,10498405,15.0
Dan Ndoye,10498405,26.0
Omari Hutchinson,10498405,26.0
James McAtee,10498405,31.0
Dilane Bakwa,10498405,46.0
Eric da Silva Moreira,10498405,67.0
Jimmy Sinclair,10498405,71.0
Elliot Anderson,10498405,81.0
Nicolas Dominguez,10498405,81.0
Archie Whitehall,10498405,91.0
Neco Williams,10498405,101.0
Ryan Yates,10498405,101.0
Ibrahim Sangare,10498405,126.0
Jair Cunha,10498405,201.0
Justin Hanks,10498405,201.0
Luca Netz,10498405,201.0
Morato,10498405,201.0
Murillo,10498405,201.0
Nikola Milenkovic,10498405,201.0
Ola Aina,10498405,201.0
Zach Abbott,10498405,201.0
Junior Kroupi,10498405,7.0
Evanilson,10498405,8.5
Enes Unal,10498405,11.0
Rayan,10498405,11.0
Justin Kluivert,10498405,14.0
David Brooks,10498405,15.0
Marcus Tavernier,10498405,17.0
Remy Rees-Dottin,10498405,18.0
Amine Adli,10498405,23.0
Ben Gannon-Doak,10498405,34.0
Alex Toth,10498405,36.0
Alex Scott,10498405,61.0
Tyler Adams,10498405,61.0
Adam Smith,10498405,201.0
Adrien Truffert,10498405,201.0
Bafode Diakite,10498405,201.0
James Hill,10498405,201.0
Julio Soler,10498405,201.0
Lewis Cook,10498405,201.0
Marcos Senesi,10498405,201.0
Veljko Milosavljevic,10498405,201.0
Richarlison,10498814,8.0
Dominic Solanke,10498814,10.0
Randal Kolo Muani,10498814,12.0
Mathys Tel,10498814,13.0
James Maddison,10498814,26.0
Conor Gallagher,10498814,36.0
Joao Palhinha,10498814,36.0
Lucas Bergvall,10498814,41.0
Pape Matar Sarr,10498814,41.0
Archie Gray,10498814,56.0
Pedro Porro,10498814,61.0
Rodrigo Bentancur,10498814,71.0
Micky van de Ven,10498814,101.0
Souza,10498814,101.0
Djed Spence,10498814,151.0
Yves Bissouma,10498814,176.0
Destiny Udogie,10498814,201.0
James Rowswell,10498814,201.0
Kevin Danso,10498814,201.0
Radu Dragusin,10498814,201.0
Beto,10498814,15.0
Thierno Barry,10498814,18.0
Tyrique George,10498814,23.0
Iliman Ndiaye,10498814,26.0
Tyler Dibling,10498814,31.0
Charly Alcaraz,10498814,36.0
Kiernan Dewsbury-Hall,10498814,36.0
Dwight McNeil,10498814,51.0
Harrison Armstrong,10498814,61.0
Merlin Rohl,10498814,81.0
Michael Keane,10498814,91.0
Jake O'Brien,10498814,176.0
Adam Aznou,10498814,201.0
Idrissa Gueye,10498814,201.0
James Garner,10498814,201.0
James Tarkowski,10498814,201.0
Nathan Patterson,10498814,201.0
Seamus Coleman,10498814,201.0
Tim Iroegbunam,10498814,201.0
Vitalii Mykolenko,10498814,201.0
Callum Wilson,10498817,8.0
Valentin Castellanos,10498817,8.0
Jarrod Bowen,10498817,9.5
Crysencio Summerville,10498817,13.0
Keiber Lamadrid,10498817,15.0
Pablo,10498817,15.0
Adama Traore,10498817,21.0
Tomas Soucek,10498817,26.0
Mateus Fernandes,10498817,41.0
Mohamadou Kante,10498817,46.0
Ollie Scarles,10498817,91.0
Konstantinos Mavropanos,10498817,101.0
El Hadji Malick Diouf,10498817,151.0
Aaron Wan-Bissaka,10498817,176.0
Axel Disasi,10498817,176.0
Kyle Walker-Peters,10498817,176.0
Soungoutou Magassa,10498817,176.0
Airidas Golambeckis,10498817,201.0
Ezra Mayers,10498817,201.0
Freddie Potts,10498817,201.0
Jean-Clair Todibo,10498817,201.0
Maximilian Kilman,10498817,201.0
Dominic Calvert-Lewin,10498817,15.0
Lukas Nmecha,10498817,15.0
Joel Piroe,10498817,19.0
Daniel James,10498817,26.0
Noah Okafor,10498817,26.0
Facundo Buonanotte,10498817,31.0
Wilfried Gnonto,10498817,31.0
Brenden Aaronson,10498817,36.0
Anton Stach,10498817,61.0
Rhys Chadwick,10498817,71.0
Ao Tanaka,10498817,101.0
James Justin,10498817,101.0
Alfie Cresswell,10498817,126.0
Ethan Ampadu,10498817,201.0
Gabriel Gudmundsson,10498817,201.0
Jaka Bijol,10498817,201.0
Jayden Bogle,10498817,201.0
Jayden Lienou,10498817,201.0
Joe Rodon,10498817,201.0
Sam Byram,10498817,201.0
Sebastiaan Bornauw,10498817,201.0
