player_name,match_id,odds_decimal
Matt Grimes,Arsenal vs. Coventry City,12.0
Taiwo Awoniyi,Arsenal vs. Coventry City,14.0
Martin Odegaard,Arsenal vs. Coventry City,2.95
Mikel Merino,Arsenal vs. Coventry City,4.2
Jay Dasilva,Arsenal vs. Coventry City,16.0
Haji Wright,Arsenal vs. Coventry City,16.0
Gabriel Jesus,Arsenal vs. Coventry City,4.6
Viktor Gyokeres,Arsenal vs. Coventry City,5.2
Declan Rice,Arsenal vs. Coventry City,3.8
Kai Havertz,Arsenal vs. Coventry City,3.55
Victor Torp,Arsenal vs. Coventry City,10.0
Frank Onyeka,Arsenal vs. Coventry City,20.0
Gustavo Hamer,Arsenal vs. Coventry City,6.4
Ben White,Arsenal vs. Coventry City,5.2
Brandon Thomas-Asante,Arsenal vs. Coventry City,12.0
Joel Latibeaudiere,Arsenal vs. Coventry City,45.0
Ephron Mason-Clark,Arsenal vs. Coventry City,9.4
Eberechi Eze,Arsenal vs. Coventry City,3.95
Gabriel Magalhaes,Arsenal vs. Coventry City,15.0
Bruno Guimaraes,Arsenal vs. Coventry City,4.2
Riccardo Calafiori,Arsenal vs. Coventry City,6.6
Fabio Vieira,Arsenal vs. Coventry City,4.2
Noni Madueke,Arsenal vs. Coventry City,2.95
Liam Kitching,Arsenal vs. Coventry City,40.0
Bukayo Saka,Arsenal vs. Coventry City,2.4
Milan van Ewijk,Arsenal vs. Coventry City,15.0
Christos Tzolis,Arsenal vs. Coventry City,1.87
Gabriel Martinelli,Arsenal vs. Coventry City,3.8
Tatsuhiro Sakamoto,Arsenal vs. Coventry City,11.0
Jack Rudoni,Arsenal vs. Coventry City,8.6
Martin Zubimendi,Arsenal vs. Coventry City,8.4
Josh Eccles,Arsenal vs. Coventry City,15.0
Piero Hincapie,Arsenal vs. Coventry City,8.0
Aurèle Amenda,Arsenal vs. Coventry City,40.0
Loum Tchaouna,Arsenal vs. Coventry City,12.0
Bobby Thomas,Arsenal vs. Coventry City,35.0
Ellis Simms,Arsenal vs. Coventry City,15.0
Cristhian Mosquera,Arsenal vs. Coventry City,12.0
Ethan Nwaneri,Arsenal vs. Coventry City,3.95
Myles Lewis-Skelly,Arsenal vs. Coventry City,7.6
Caleb Yirenkyi,Arsenal vs. Coventry City,20.0
Max Dowman,Arsenal vs. Coventry City,3.05
Marli Salmon,Arsenal vs. Coventry City,15.0
John Egan,Hull City vs. Manchester United,35.0
Matt Crooks,Hull City vs. Manchester United,14.0
Harry Maguire,Hull City vs. Manchester United,14.0
Luke Shaw,Hull City vs. Manchester United,6.6
Bruno Fernandes,Hull City vs. Manchester United,2.08
Semi Ajayi,Hull City vs. Manchester United,40.0
Youri Tielemans,Hull City vs. Manchester United,3.95
Oli McBurnie,Hull City vs. Manchester United,10.0
Matt Targett,Hull City vs. Manchester United,8.8
Diogo Dalot,Hull City vs. Manchester United,5.0
Marcus Rashford,Hull City vs. Manchester United,2.24
Mason Mount,Hull City vs. Manchester United,4.6
Abdülkadir Ömür,Hull City vs. Manchester United,11.0
Lewie Coyle,Hull City vs. Manchester United,10.0
Noussair Mazraoui,Hull City vs. Manchester United,7.0
Lisandro Martinez,Hull City vs. Manchester United,15.0
Matheus Cunha,Hull City vs. Manchester United,3.45
Liam Millar,Hull City vs. Manchester United,6.4
Regan Slater,Hull City vs. Manchester United,12.0
Joshua Zirkzee,Hull City vs. Manchester United,4.8
Bryan Mbeumo,Hull City vs. Manchester United,3.2
Ryan Giles,Hull City vs. Manchester United,7.6
Joe Gelhardt,Hull City vs. Manchester United,8.4
Benjamin Sesko,Hull City vs. Manchester United,6.6
Amad Diallo,Hull City vs. Manchester United,3.55
Lucas Gourna-Douath,Hull City vs. Manchester United,15.0
Leny Yoro,Hull City vs. Manchester United,16.0
Kobbie Mainoo,Hull City vs. Manchester United,6.4
Daniel Gore,Hull City vs. Manchester United,7.0
Andrey Santos,Hull City vs. Manchester United,7.2
Elliot Stroud,Hull City vs. Manchester United,5.8
Jens Hjertø-Dahl,Hull City vs. Manchester United,9.2
Mohamed Belloumi,Hull City vs. Manchester United,6.0
Patrick Dorgu,Hull City vs. Manchester United,3.85
Ethan Wheatley,Hull City vs. Manchester United,4.7
Shea Lacey,Hull City vs. Manchester United,3.3
Ayden Heaven,Hull City vs. Manchester United,17.0
Chido Obi-Martin,Hull City vs. Manchester United,4.1
Tyler Fletcher,Hull City vs. Manchester United,5.2
Lucas Herrington,Hull City vs. Manchester United,35.0
Tynan Thompson,Hull City vs. Manchester United,3.0
Nobel Mendy,Hull City vs. Manchester United,11.87
Matty Jacob,Hull City vs. Manchester United,11.87
Paddy McNair,Hull City vs. Manchester United,11.87
Jorgen Strand Larsen,Everton FC vs. Crystal Palace,4.6
Kiernan Dewsbury-Hall,Everton FC vs. Crystal Palace,2.8
Tyler Dibling,Everton FC vs. Crystal Palace,3.45
Evann Guessand,Everton FC vs. Crystal Palace,4.6
Adam Aznou,Everton FC vs. Crystal Palace,7.6
Tyrique George,Everton FC vs. Crystal Palace,3.45
Adam Wharton,Everton FC vs. Crystal Palace,4.6
Tyrick Mitchell,Everton FC vs. Crystal Palace,5.8
Yeremy Pino,Everton FC vs. Crystal Palace,3.45
Cheick Doucoure,Everton FC vs. Crystal Palace,5.8
Jaydee Canvot,Everton FC vs. Crystal Palace,9.6
James Tarkowski,Everton FC vs. Crystal Palace,9.6
Beto,Everton FC vs. Crystal Palace,5.8
Chris Richards,Everton FC vs. Crystal Palace,9.6
Nathan Patterson,Everton FC vs. Crystal Palace,5.8
Thierno Barry,Everton FC vs. Crystal Palace,5.8
Will Hughes,Everton FC vs. Crystal Palace,5.8
Jean-Philippe Mateta,Everton FC vs. Crystal Palace,5.8
Jefferson Lerma,Everton FC vs. Crystal Palace,5.8
Vitalii Mykolenko,Everton FC vs. Crystal Palace,5.8
Daniel Munoz,Everton FC vs. Crystal Palace,4.6
Daichi Kamada,Everton FC vs. Crystal Palace,4.6
Jarrad Branthwaite,Everton FC vs. Crystal Palace,9.6
Michael Keane,Everton FC vs. Crystal Palace,9.6
Eddie Nketiah,Everton FC vs. Crystal Palace,4.6
Jake O'Brien,Everton FC vs. Crystal Palace,7.6
Ismaila Sarr,Everton FC vs. Crystal Palace,4.6
Charly Alcaraz,Everton FC vs. Crystal Palace,3.45
Romain Esse,Everton FC vs. Crystal Palace,4.6
Iliman Ndiaye,Everton FC vs. Crystal Palace,3.45
Harrison Armstrong,Everton FC vs. Crystal Palace,4.6
Dwight McNeil,Everton FC vs. Crystal Palace,3.45
Hayden Hackney,Everton FC vs. Crystal Palace,3.45
Takehiro Tomiyasu,Everton FC vs. Crystal Palace,5.8
Christian Norgaard,Everton FC vs. Crystal Palace,5.8
Brennan Johnson,Everton FC vs. Crystal Palace,3.45
Reinildo Mandava,Ipswich Town vs. Sunderland AFC,7.6
Alan Browne,Ipswich Town vs. Sunderland AFC,5.8
Ali Al-Hamadi,Ipswich Town vs. Sunderland AFC,4.6
Wilson Isidor,Ipswich Town vs. Sunderland AFC,5.8
Ben Johnson,Ipswich Town vs. Sunderland AFC,4.6
Granit Xhaka,Ipswich Town vs. Sunderland AFC,2.8
Cédric Kipré,Ipswich Town vs. Sunderland AFC,7.6
Dan Ballard,Ipswich Town vs. Sunderland AFC,5.8
Luke O'Nien,Ipswich Town vs. Sunderland AFC,9.4
Jacob Greaves,Ipswich Town vs. Sunderland AFC,9.4
George Hirst,Ipswich Town vs. Sunderland AFC,4.6
Leif Davis,Ipswich Town vs. Sunderland AFC,3.45
Dara O'Shea,Ipswich Town vs. Sunderland AFC,7.6
Trai Hume,Ipswich Town vs. Sunderland AFC,4.6
Jack Taylor,Ipswich Town vs. Sunderland AFC,4.6
Chris Rigg,Ipswich Town vs. Sunderland AFC,4.6
Jaden Philogene,Ipswich Town vs. Sunderland AFC,4.6
Habib Diarra,Ipswich Town vs. Sunderland AFC,5.8
Romaine Mundle,Ipswich Town vs. Sunderland AFC,4.6
Chuba Akpom,Ipswich Town vs. Sunderland AFC,5.8
Chemsdine Talbi,Ipswich Town vs. Sunderland AFC,3.45
Noah Sadiki,Ipswich Town vs. Sunderland AFC,7.6
Enzo Le Fee,Ipswich Town vs. Sunderland AFC,3.45
Omar Alderete,Ipswich Town vs. Sunderland AFC,9.4
Simon Adingra,Ipswich Town vs. Sunderland AFC,2.8
Jenson Seelt,Ipswich Town vs. Sunderland AFC,9.4
Darnell Furlong,Ipswich Town vs. Sunderland AFC,4.6
Kasey McAteer,Ipswich Town vs. Sunderland AFC,4.6
Marcelino Núñez,Ipswich Town vs. Sunderland AFC,3.45
Sindre Walle Egeli,Ipswich Town vs. Sunderland AFC,4.6
Nilson Angulo,Ipswich Town vs. Sunderland AFC,4.6
Florentino,Ipswich Town vs. Sunderland AFC,7.6
Nordi Mukiele,Ipswich Town vs. Sunderland AFC,4.6
Anis Mehmeti,Ipswich Town vs. Sunderland AFC,4.6
Emersonn Correia da Silva,Ipswich Town vs. Sunderland AFC,3.45
Issa Diop,Ipswich Town vs. Sunderland AFC,9.4
Daizen Maeda,Ipswich Town vs. Sunderland AFC,4.6
