match_name,date,player_name,odds_decimal
Aston Villa v Leeds,1771686000,Douglas Luiz,3.66
Aston Villa v Leeds,1771686000,Lamare Bogarde,3.94
Aston Villa v Leeds,1771686000,Matty Cash,3.96
Aston Villa v Leeds,1771686000,Amadou Onana,4.2
Aston Villa v Leeds,1771686000,Andres Garcia,4.6
Aston Villa v Leeds,1771686000,Emiliano Buendia,4.8
Aston Villa v Leeds,1771686000,George Hemmings,4.7
Aston Villa v Leeds,1771686000,Ian Maatsen,4.15
Aston Villa v Leeds,1771686000,Leon Bailey,4.95
Aston Villa v Leeds,1771686000,Lucas Digne,4.6
Aston Villa v Leeds,1771686000,Alysson Edward,5.75
Aston Villa v Leeds,1771686000,Morgan Rogers,5.05
Aston Villa v Leeds,1771686000,Pau Torres,5.85
Aston Villa v Leeds,1771686000,Ross Barkley,5.5
Aston Villa v Leeds,1771686000,Tyrone Mings,5.05
Aston Villa v Leeds,1771686000,Ezri Konsa,6.95
Aston Villa v Leeds,1771686000,Harvey Elliott,6.1
Aston Villa v Leeds,1771686000,Tammy Abraham,6.25
Aston Villa v Leeds,1771686000,Victor Lindelof,6.65
Aston Villa v Leeds,1771686000,Jadon Sancho,7.4
Aston Villa v Leeds,1771686000,Ollie Watkins,10.1
Aston Villa v Leeds,1771686000,Anton Stach,3.76
Aston Villa v Leeds,1771686000,Ethan Ampadu,3.16
Aston Villa v Leeds,1771686000,Facundo Buonanotte,3.04
Aston Villa v Leeds,1771686000,Ilia Gruev,3.7
Aston Villa v Leeds,1771686000,Jaka Bijol,3.3
Aston Villa v Leeds,1771686000,Jayden Bogle,3.32
Aston Villa v Leeds,1771686000,Lukas Nmecha,3.68
Aston Villa v Leeds,1771686000,Sebastiaan Bornauw,3.68
Aston Villa v Leeds,1771686000,Wilfried Gnonto,3.48
Aston Villa v Leeds,1771686000,Ao Tanaka,4.35
Aston Villa v Leeds,1771686000,Gabriel Gudmundsson,4.95
Aston Villa v Leeds,1771686000,James Justin,4.6
Aston Villa v Leeds,1771686000,Joe Rodon,4.6
Aston Villa v Leeds,1771686000,Sam Byram,4.15
Aston Villa v Leeds,1771686000,Sean Longstaff,4.3
Aston Villa v Leeds,1771686000,Noah Okafor,5.8
Aston Villa v Leeds,1771686000,Pascal Struijk,5.45
Aston Villa v Leeds,1771686000,Daniel James,6.15
Aston Villa v Leeds,1771686000,Dominic Calvert-Lewin,6.5
Aston Villa v Leeds,1771686000,Joel Piroe,6.2
Aston Villa v Leeds,1771686000,Brenden Aaronson,7.9
Brentford v Brighton,1771686000,Aaron Hickey,3.9
Brentford v Brighton,1771686000,Igor Thiago,3.74
Brentford v Brighton,1771686000,Michael Kayode,3.84
Brentford v Brighton,1771686000,Jordan Henderson,4.75
Brentford v Brighton,1771686000,Kevin Schade,4.2
Brentford v Brighton,1771686000,Kristoffer Ajer,4.9
Brentford v Brighton,1771686000,Romelle Donovan,4.4
Brentford v Brighton,1771686000,Vitaly Janelt,4.25
Brentford v Brighton,1771686000,Yehor Yarmoliuk,4.25
Brentford v Brighton,1771686000,Dango Ouattara,5.4
Brentford v Brighton,1771686000,Kaye Furo,5.9
Brentford v Brighton,1771686000,Keane Lewis-Potter,5.05
Brentford v Brighton,1771686000,Mathias Jensen,5.45
Brentford v Brighton,1771686000,Mikkel Damsgaard,5.95
Brentford v Brighton,1771686000,Reiss Nelson,5.5
Brentford v Brighton,1771686000,Rico Henry,5.75
Brentford v Brighton,1771686000,Ethan Pinnock,6.0
Brentford v Brighton,1771686000,Nathan Collins,6.1
Brentford v Brighton,1771686000,Sepp van den Berg,6.05
Brentford v Brighton,1771686000,Mats Wieffer,2.66
Brentford v Brighton,1771686000,Carlos Baleba,3.04
Brentford v Brighton,1771686000,Diego Gomez,3.64
Brentford v Brighton,1771686000,Ferdi Kadioglu,3.68
Brentford v Brighton,1771686000,Harry Howell,3.72
Brentford v Brighton,1771686000,Igor Julio,3.02
Brentford v Brighton,1771686000,James Milner,3.68
Brentford v Brighton,1771686000,Jan Paul van Hecke,3.48
Brentford v Brighton,1771686000,Joel Veltman,3.8
Brentford v Brighton,1771686000,Maxim De Cuyper,3.92
Brentford v Brighton,1771686000,Yankuba Minteh,3.3
Brentford v Brighton,1771686000,Yasin Ayari,3.66
Brentford v Brighton,1771686000,Charalampos Kostoulas,4.3
Brentford v Brighton,1771686000,Jack Hinshelwood,4.6
Brentford v Brighton,1771686000,Lewis Dunk,4.2
Brentford v Brighton,1771686000,Matt O'Riley,4.95
Brentford v Brighton,1771686000,Olivier Boscagli,4.2
Brentford v Brighton,1771686000,Pascal Gross,4.4
Brentford v Brighton,1771686000,Georginio Rutter,5.45
Brentford v Brighton,1771686000,Danny Welbeck,6.45
Brentford v Brighton,1771686000,Kaoru Mitoma,6.8
Chelsea v Burnley,1771686000,Mamadou Sarr,4.85
Chelsea v Burnley,1771686000,Moises Caicedo,4.85
Chelsea v Burnley,1771686000,Andrey Santos,5.1
Chelsea v Burnley,1771686000,Estevao,5.45
Chelsea v Burnley,1771686000,Jorrel Hato,5.6
Chelsea v Burnley,1771686000,Josh Acheampong,5.1
Chelsea v Burnley,1771686000,Liam Delap,5.15
Chelsea v Burnley,1771686000,Malo Gusto,5.85
Chelsea v Burnley,1771686000,Marc Cucurella,5.25
Chelsea v Burnley,1771686000,Romeo Lavia,5.15
Chelsea v Burnley,1771686000,Wesley Fofana,5.4
Chelsea v Burnley,1771686000,Enzo Fernandez,6.05
Chelsea v Burnley,1771686000,Marc Guiu,6.85
Chelsea v Burnley,1771686000,Pedro Neto,6.45
Chelsea v Burnley,1771686000,Alejandro Garnacho,7.3
Chelsea v Burnley,1771686000,Benoit Badiashile,7.3
Chelsea v Burnley,1771686000,Cole Palmer,7.7
Chelsea v Burnley,1771686000,Reece James,7.0
Chelsea v Burnley,1771686000,Tosin Adarabioyo,7.1
Chelsea v Burnley,1771686000,Trevoh Chalobah,7.0
Chelsea v Burnley,1771686000,Joao Pedro,8.2
Chelsea v Burnley,1771686000,Hannibal Mejbri,2.54
Chelsea v Burnley,1771686000,Ashley Barnes,3.68
Chelsea v Burnley,1771686000,Bashir Humphreys,3.86
Chelsea v Burnley,1771686000,Enock Agyei,3.96
Chelsea v Burnley,1771686000,Florentino,3.68
Chelsea v Burnley,1771686000,Joe Worrall,3.7
Chelsea v Burnley,1771686000,Josh Laurent,3.7
Chelsea v Burnley,1771686000,Kyle Walker,3.62
Chelsea v Burnley,1771686000,Lesley Ugochukwu,3.54
Chelsea v Burnley,1771686000,Lucas Pires,3.96
Chelsea v Burnley,1771686000,Zian Flemming,3.92
Chelsea v Burnley,1771686000,Hjalmar Ekdal,4.45
Chelsea v Burnley,1771686000,Loum Tchaouna,4.85
Chelsea v Burnley,1771686000,Lyle Foster,4.15
Chelsea v Burnley,1771686000,Marcus Edwards,4.8
Chelsea v Burnley,1771686000,Quilindschy Hartman,4.3
