match_name,date,team_name,clean_sheet_yes,clean_sheet_no
Aston Villa v Leeds,1771686000,Aston Villa,2.79,1.38
Aston Villa v Leeds,1771686000,Leeds,5.4,1.11
Brentford v Brighton,1771686000,Brentford,3.18,1.3
Brentford v Brighton,1771686000,Brighton,4.85,1.13
Chelsea v Burnley,1771686000,Chelsea,1.95,1.76
Chelsea v Burnley,1771686000,Burnley,12.5,1.02
West Ham v Bournemouth,1771695000,West Ham,4.55,1.15
West Ham v Bournemouth,1771695000,Bournemouth,4.4,1.16
Man City v Newcastle,1771704000,Man City,2.75,1.39
Man City v Newcastle,1771704000,Newcastle,8.6,1.05
Crystal Palace v Wolves,1771768800,Crystal Palace,2.22,1.58
Crystal Palace v Wolves,1771768800,Wolves,5.35,1.11
Nottm Forest v Liverpool,1771768800,Nott'm Forest,5.5,1.11
Nottm Forest v Liverpool,1771768800,Liverpool,2.92,1.35
Sunderland v Fulham,1771768800,Sunderland,3.2,1.29
Sunderland v Fulham,1771768800,Fulham,3.16,1.3
Tottenham v Arsenal,1771777800,Spurs,6.0,1.09
Tottenham v Arsenal,1771777800,Arsenal,2.21,1.59
Everton v Man Utd,1771876800,Everton,5.3,1.11
Everton v Man Utd,1771876800,Man Utd,3.08,1.31
