match_name,date,team_name,clean_sheet_yes,clean_sheet_no
Man Utd v Newcastle,1766779200,Man Utd,3.82,1.2
Man Utd v Newcastle,1766779200,Newcastle,5.2,1.12
Nottm Forest v Man City,1766838600,Nott'm Forest,6.65,1.08
Nottm Forest v Man City,1766838600,Man City,2.59,1.43
Liverpool v Wolves,1766847600,Liverpool,1.91,1.79
Liverpool v Wolves,1766847600,Wolves,12.25,1.02
Burnley v Everton,1766847600,Burnley,4.2,1.18
Burnley v Everton,1766847600,Everton,2.36,1.51
Brentford v Bournemouth,1766847600,Brentford,3.4,1.26
Brentford v Bournemouth,1766847600,Bournemouth,4.45,1.16
Arsenal v Brighton,1766847600,Arsenal,2.13,1.63
Arsenal v Brighton,1766847600,Brighton,7.5,1.06
West Ham v Fulham,1766847600,West Ham,3.86,1.2
West Ham v Fulham,1766847600,Fulham,3.5,1.25
Chelsea v Aston Villa,1766856600,Chelsea,2.86,1.36
Chelsea v Aston Villa,1766856600,Aston Villa,5.25,1.12
Sunderland v Leeds,1766930400,Sunderland,3.14,1.3
Sunderland v Leeds,1766930400,Leeds,3.16,1.3
Crystal Palace v Tottenham,1766939400,Crystal Palace,2.92,1.35
Crystal Palace v Tottenham,1766939400,Spurs,4.15,1.18
