Match,Date,Team,Goalkeeper,3+ Saves,6+ Saves
Man Utd v Newcastle,1766779200,Man Utd,Man Utd Goalkeeper,1.72,9.0
Man Utd v Newcastle,1766779200,Newcastle,Newcastle Goalkeeper,1.53,6.5
Nott'm Forest v Man City,1766838600,Nott'm Forest,Nottm Forest Goalkeeper,1.4,5.5
Nott'm Forest v Man City,1766838600,Man City,Man City Goalkeeper,2.1,13.0
Liverpool v Wolves,1766847600,Liverpool,Liverpool Goalkeeper,2.5,21.0
Liverpool v Wolves,1766847600,Wolves,Wolves Goalkeeper,1.22,3.4
Burnley v Everton,1766847600,Burnley,Burnley Goalkeeper,1.57,7.0
Burnley v Everton,1766847600,Everton,Everton Goalkeeper,1.91,11.0
Brentford v Bournemouth,1766847600,Brentford,Brentford Goalkeeper,1.72,9.5
Brentford v Bournemouth,1766847600,Bournemouth,Bournemouth Goalkeeper,1.45,5.5
Arsenal v Brighton,1766847600,Arsenal,Arsenal Goalkeeper,2.4,19.0
Arsenal v Brighton,1766847600,Brighton,Brighton Goalkeeper,1.25,3.75
West Ham v Fulham,1766847600,West Ham,West Ham Goalkeeper,1.53,7.0
West Ham v Fulham,1766847600,Fulham,Fulham Goalkeeper,1.8,9.0
Chelsea v Aston Villa,1766856600,Chelsea,Chelsea Goalkeeper,2.0,13.0
Chelsea v Aston Villa,1766856600,Aston Villa,Aston Villa Goalkeeper,1.4,5.0
Sunderland v Leeds,1766930400,Sunderland,Sunderland Goalkeeper,1.67,8.5
Sunderland v Leeds,1766930400,Leeds,Leeds Goalkeeper,1.91,10.0
Crystal Palace v Spurs,1766939400,Crystal Palace,Crystal Palace Goalkeeper,2.2,15.0
Crystal Palace v Spurs,1766939400,Spurs,Tottenham Goalkeeper,1.53,6.0
