Match,Date,Team,Opponent,Team_Over_1.5,Team_Under_1.5,Team_Over_3.5,Team_Under_3.5,Opponent_Concedes_Over_1.5,Opponent_Concedes_Under_1.5,Opponent_Concedes_Over_3.5,Opponent_Concedes_Under_3.5
Crystal Palace vs. Manchester City,2026-08-28T19:00:00,Crystal Palace,Man City,3.1,1.29,,,3.1,1.29,,
Crystal Palace vs. Manchester City,2026-08-28T19:00:00,Man City,Crystal Palace,1.56,2.18,,,1.56,2.18,,
Liverpool FC vs. Nottingham Forest,2026-08-29T11:30:00,Liverpool,Nott'm Forest,1.46,2.41,4.3,1.15,1.46,2.41,4.3,1.15
Liverpool FC vs. Nottingham Forest,2026-08-29T11:30:00,Nott'm Forest,Liverpool,3.35,1.25,,,3.35,1.25,,
AFC Bournemouth vs. Everton FC,2026-08-29T14:00:00,Bournemouth,Everton,1.93,1.72,,,1.93,1.72,,
AFC Bournemouth vs. Everton FC,2026-08-29T14:00:00,Everton,Bournemouth,2.7,1.37,,,2.7,1.37,,
Coventry City vs. Hull City,2026-08-29T14:00:00,Coventry City,Hull City,1.78,1.86,,,1.78,1.86,,
Coventry City vs. Hull City,2026-08-29T14:00:00,Hull City,Coventry City,2.9,1.33,,,2.9,1.33,,
Tottenham Hotspur vs. Newcastle United,2026-08-29T16:30:00,Spurs,Newcastle,1.86,1.78,,,1.86,1.78,,
Tottenham Hotspur vs. Newcastle United,2026-08-29T16:30:00,Newcastle,Spurs,2.25,1.53,,,2.25,1.53,,
Chelsea vs. Brighton,2026-08-30T13:00:00,Chelsea,Brighton,1.77,1.87,,,1.77,1.87,,
Chelsea vs. Brighton,2026-08-30T13:00:00,Brighton,Chelsea,2.6,1.4,,,2.6,1.4,,
Leeds United vs. Brentford FC,2026-08-30T13:00:00,Leeds,Brentford,2.22,1.54,,,2.22,1.54,,
Leeds United vs. Brentford FC,2026-08-30T13:00:00,Brentford,Leeds,2.33,1.49,,,2.33,1.49,,
Sunderland AFC vs. Fulham FC,2026-08-30T13:00:00,Sunderland,Fulham,2.33,1.49,,,2.33,1.49,,
Sunderland AFC vs. Fulham FC,2026-08-30T13:00:00,Fulham,Sunderland,2.6,1.4,,,2.6,1.4,,
Manchester United vs. Ipswich Town,2026-08-30T15:30:00,Man Utd,Ipswich Town,1.46,2.4,4.4,1.15,1.46,2.4,4.4,1.15
Manchester United vs. Ipswich Town,2026-08-30T15:30:00,Ipswich Town,Man Utd,3.5,1.23,,,3.5,1.23,,
Aston Villa vs. Arsenal,2026-08-31T19:00:00,Aston Villa,Arsenal,3.85,1.19,,,3.85,1.19,,
Aston Villa vs. Arsenal,2026-08-31T19:00:00,Arsenal,Aston Villa,1.58,2.14,,,1.58,2.14,,
