Match,Date,Team,Opponent,Team_Over_1.5,Team_Under_1.5,Team_Over_3.5,Team_Under_3.5,Opponent_Concedes_Over_1.5,Opponent_Concedes_Under_1.5,Opponent_Concedes_Over_3.5,Opponent_Concedes_Under_3.5
Chelsea v Bournemouth,1767123000,Chelsea,Bournemouth,1.51,2.38,5.75,1.1,1.51,2.38,5.75,1.1
Chelsea v Bournemouth,1767123000,Bournemouth,Chelsea,3.04,1.32,29.0,1.01,3.04,1.32,29.0,1.01
Nott'm Forest v Everton,1767123000,Nott'm Forest,Everton,2.31,1.54,15.75,1.02,2.31,1.54,15.75,1.02
Nott'm Forest v Everton,1767123000,Everton,Nott'm Forest,3.28,1.28,34.0,1.001,3.28,1.28,34.0,1.001
Burnley v Newcastle,1767123000,Burnley,Newcastle,3.52,1.25,34.0,1.001,3.52,1.25,34.0,1.001
Burnley v Newcastle,1767123000,Newcastle,Burnley,1.66,2.09,7.4,1.06,1.66,2.09,7.4,1.06
West Ham v Brighton,1767123000,West Ham,Brighton,2.53,1.45,19.5,1.01,2.53,1.45,19.5,1.01
West Ham v Brighton,1767123000,Brighton,West Ham,1.94,1.76,10.6,1.03,1.94,1.76,10.6,1.03
Arsenal v Aston Villa,1767125700,Arsenal,Aston Villa,1.65,2.1,7.2,1.06,1.65,2.1,7.2,1.06
Arsenal v Aston Villa,1767125700,Aston Villa,Arsenal,5.0,1.13,34.0,1.001,5.0,1.13,34.0,1.001
Man Utd v Wolves,1767125700,Man Utd,Wolves,1.31,3.1,3.96,1.2,1.31,3.1,3.96,1.2
Man Utd v Wolves,1767125700,Wolves,Man Utd,4.6,1.15,34.0,1.001,4.6,1.15,34.0,1.001
Crystal Palace v Fulham,1767288600,Crystal Palace,Fulham,2.07,1.67,12.5,1.02,2.07,1.67,12.5,1.02
Crystal Palace v Fulham,1767288600,Fulham,Crystal Palace,2.89,1.35,25.0,1.01,2.89,1.35,25.0,1.01
Liverpool v Leeds,1767288600,Liverpool,Leeds,1.48,2.45,5.4,1.11,1.48,2.45,5.4,1.11
Liverpool v Leeds,1767288600,Leeds,Liverpool,3.94,1.2,34.0,1.001,3.94,1.2,34.0,1.001
Brentford v Spurs,1767297600,Brentford,Spurs,2.16,1.61,14.0,1.02,2.16,1.61,14.0,1.02
Brentford v Spurs,1767297600,Spurs,Brentford,2.55,1.45,19.75,1.01,2.55,1.45,19.75,1.01
Sunderland v Man City,1767297600,Sunderland,Man City,3.9,1.2,34.0,1.001,3.9,1.2,34.0,1.001
Sunderland v Man City,1767297600,Man City,Sunderland,1.5,2.41,5.8,1.1,1.5,2.41,5.8,1.1
