player_name,match_id,odds_decimal
John McGinn,9899906,59.0
Evann Guessand,9899906,59.0
Harvey Elliott,9899906,66.0
Morgan Rogers,9899906,73.0
Jadon Sancho,9899906,78.0
Ollie Watkins,9899906,84.0
Youri Tielemans,9899906,93.0
Emiliano Buendia,9899906,101.0
Ross Barkley,9899906,111.0
Donyell Malen,9899906,166.0
Matty Cash,9899906,171.0
Bukayo Saka,9899906,24.0
Viktor Gyokeres,9899906,27.0
Mikel Merino,9899906,27.0
Eberechi Eze,9899906,27.0
Gabriel Jesus,9899906,34.0
Gabriel Martinelli,9899906,36.0
Declan Rice,9899906,38.0
Martin Odegaard,9899906,38.0
Noni Madueke,9899906,50.0
Riccardo Calafiori,9899906,59.0
Ben White,9899906,90.0
Phil Foden,9899919,10.0
Rayan Cherki,9899919,11.7
Savinho,9899919,13.5
Jeremy Doku,9899919,17.0
Rayan Ait-Nouri,9899919,17.0
Omar Marmoush,9899919,17.0
Tijjani Reijnders,9899919,25.0
Matheus Nunes,9899919,25.0
Bernardo Silva,9899919,29.0
Nathan Ake,9899919,29.0
Erling Haaland,9899919,43.0
Enzo Le Fee,9899919,93.0
Granit Xhaka,9899919,106.0
Chris Rigg,9899919,146.0
Simon Adingra,9899919,151.0
Dan Neil,9899919,241.0
Brenden Aaronson,9899872,39.0
Jack Harrison,9899872,43.0
Daniel James,9899872,47.0
Noah Okafor,9899872,48.0
Wilfried Gnonto,9899872,58.0
Dominic Calvert-Lewin,9899872,76.0
Joel Piroe,9899872,85.0
Mohamed Salah,9899872,16.25
Florian Wirtz,9899872,20.5
Cody Gakpo,9899872,22.0
Dominik Szoboszlai,9899872,25.0
Alexander Isak,9899872,42.0
Milos Kerkez,9899872,50.0
Alexis Mac Allister,9899872,53.0
Curtis Jones,9899872,61.0
Andy Robertson,9899872,61.0
Ryan Gravenberch,9899872,101.0
Georginio Rutter,9899909,13.75
Yasin Ayari,9899909,25.0
Diego Gomez,9899909,27.0
Jack Hinshelwood,9899909,27.0
Ferdi Kadioglu,9899909,27.0
Brajan Gruda,9899909,28.0
Danny Welbeck,9899909,29.0
Mats Wieffer,9899909,31.0
Joel Veltman,9899909,171.0
Carlos Baleba,9899909,231.0
Jarrod Bowen,9899909,40.0
Lucas Paqueta,9899909,73.0
Niclas Fullkrug,9899909,95.0
Mateus Fernandes,9899909,106.0
Callum Wilson,9899909,201.0
Tomas Soucek,9899909,241.0
Harry Wilson,9899899,30.0
Adama Traore,9899899,34.0
Alex Iwobi,9899899,49.0
Ryan Sessegnon,9899899,75.0
Emile Smith Rowe,9899899,78.0
Kenny Tete,9899899,84.0
Raul Jimenez,9899899,101.0
Josh King,9899899,111.0
Sasa Lukic,9899899,126.0
Yeremy Pino,9899899,27.0
Daniel Munoz,9899899,32.0
Eddie Nketiah,9899899,69.0
Adam Wharton,9899899,73.0
Jean-Philippe Mateta,9899899,74.0
Will Hughes,9899899,77.0
Jefferson Lerma,9899899,121.0
Daichi Kamada,9899899,156.0
Marc Guehi,9899899,261.0
Jhon Arias,9899880,53.0
Hwang Hee-Chan,9899880,67.0
Jorgen Strand Larsen,9899880,87.0
Joao Gomes,9899880,136.0
Bruno Fernandes,9899880,15.75
Matheus Cunha,9899880,20.5
Amad Diallo,9899880,20.5
Mason Mount,9899880,23.0
Bryan Mbeumo,9899880,25.0
Joshua Zirkzee,9899880,39.0
Kobbie Mainoo,9899880,85.0
Casemiro,9899880,176.0
