player_name,match_id,odds_decimal
Martin Zubimendi,90000001,95.24
Gabriel Martinelli,90000002,18.45
Cristhian Mosquera,90000003,95.24
Eberechi Eze,90000004,13.67
Riccardo Calafiori,90000005,95.24
Viktor Gyokeres,90000006,7.49
Declan Rice,90000007,52.91
Piero Hincapie,90000008,95.24
Gabriel Magalhaes,90000009,95.24
Bukayo Saka,90000010,11.67
Martin Odegaard,90000011,35.5
Ezri Konsa,90000012,95.24
Alejandro Garnacho,90000013,39.46
Pau Torres,90000014,95.24
Ian Maatsen,90000016,95.24
Matty Cash,90000017,95.24
Emiliano Buendia,90000018,58.43
Ollie Watkins,90000019,18.97
Johan Manzambi,90000020,93.02
John McGinn,90000021,95.24
Joao Gomes,90000022,95.24
Bafode Diakite,90000023,95.24
Adrien Truffert,90000024,95.24
Tyler Adams,90000025,95.24
Alex Scott,90000026,95.24
Adam Smith,90000027,95.24
Rayan,90000028,41.86
Evanilson,90000029,37.76
Marcus Tavernier,90000030,79.96
Junior Kroupi,90000032,95.24
James Hill,90000033,95.24
Kristoffer Ajer,90000034,95.24
Nathan Collins,90000036,95.24
Sepp van den Berg,90000037,95.24
Jaidon Anthony,90000038,33.99
Igor Thiago,90000039,15.19
Dango Ouattara,90000040,40.5
Mathias Jensen,90000041,95.24
Mikkel Damsgaard,90000042,95.24
Kevin Schade,90000043,28.8
Michael Kayode,90000044,95.24
Yankuba Minteh,90000045,51.22
Lewis Dunk,90000046,95.24
Kaoru Mitoma,90000047,46.22
Pascal Struijk,90000048,95.24
Ferdi Kadioglu,90000049,95.24
Pascal Gross,90000050,93.15
Yasin Ayari,90000051,95.24
Jack Hinshelwood,90000052,95.24
Luka Vušković,90000053,95.24
Charalampos Kostoulas,90000055,30.56
Georginio Rutter,90000056,8.6
Trevoh Chalobah,90000057,95.24
Joao Pedro,90000058,21.81
Reece James,90000059,95.24
Enzo Fernandez,90000060,59.37
Pedro Neto,90000061,56.74
Cole Palmer,90000062,23.34
Wesley Fofana,90000063,95.24
Moises Caicedo,90000064,95.24
Morgan Rogers,90000065,32.74
Maxence Lacroix,90000067,95.24
Marco Palestra,90000068,95.24
Josh Eccles,90000069,95.24
Jack Rudoni,90000070,95.24
Brandon Thomas-Asante,90000071,95.24
Tatsuhiro Sakamoto,90000072,95.24
Ephron Mason-Clark,90000073,95.24
Frank Onyeka,90000074,95.24
Matt Grimes,90000075,95.24
Haji Wright,90000077,95.24
Loum Tchaouna,90000078,95.24
Bobby Thomas,90000079,95.24
Ellis Simms,90000080,95.24
Aurèle Amenda,90000081,95.24
Jake Bidwell,90000082,95.24
Jean-Philippe Mateta,90000084,22.45
Adam Wharton,90000085,95.24
Brennan Johnson,90000087,66.78
Jaydee Canvot,90000088,95.24
Daniel Munoz,90000089,95.24
Ismaila Sarr,90000090,54.78
Oscar Mingueza,90000091,95.24
Tyrick Mitchell,90000092,95.24
Jorgen Strand Larsen,90000093,26.62
Chris Richards,90000094,95.24
Daichi Kamada,90000095,95.24
Tim Iroegbunam,90000096,95.24
Iliman Ndiaye,90000097,22.24
Michael Keane,90000098,95.24
Thierno Barry,90000099,20.97
Dwight McNeil,90000100,47.69
Jarrad Branthwaite,90000101,95.24
James Tarkowski,90000102,95.24
Vitalii Mykolenko,90000103,95.24
Christian Norgaard,90000105,95.24
Hayden Hackney,90000106,71.36
Jake O'Brien,90000107,95.24
Kiernan Dewsbury-Hall,90000108,56.92
Sander Berge,90000110,95.24
Kevin,90000111,47.43
Calvin Bassey,90000112,95.24
Emile Smith Rowe,90000113,39.98
Gonzalo García,90000114,20.47
Rodrigo Muniz,90000115,17.13
Alex Iwobi,90000116,95.24
Ryan Sessegnon,90000117,95.24
Antonee Robinson,90000118,95.24
Timothy Castagne,90000119,95.24
Josh King,90000120,51.31
Kenny Tete,90000121,95.24
David Akintola,90000122,95.24
Óscar Zambrano,90000123,95.24
Abu Kamara,90000124,95.24
Mohamed Belloumi,90000125,95.24
Cody Drameh,90000127,95.24
Matt Targett,90000128,95.24
Oli McBurnie,90000129,81.55
Regan Slater,90000130,95.24
Abdülkadir Ömür,90000131,95.24
Charlie Hughes,90000132,95.24
John Egan,90000133,95.24
Hidemasa Morita,90000134,95.24
Liam Millar,90000135,95.24
Marcelino Núñez,90000136,95.24
Cédric Kipré,90000137,95.24
Azor Matusiwa,90000138,95.24
Jack Clarke,90000139,95.24
Daizen Maeda,90000140,95.24
Chiedozie Ogbene,90000141,95.24
Chuba Akpom,90000142,27.93
Emersonn Correia da Silva,90000143,27.93
Issa Diop,90000144,95.24
Dara O'Shea,90000146,95.24
Jaden Philogene,90000147,95.24
Abdul Fatawu,90000148,95.24
Ben Johnson,90000149,95.24
Anton Stach,90000150,95.24
Brenden Aaronson,90000151,63.31
Dominic Calvert-Lewin,90000152,27.49
Jayden Bogle,90000153,95.24
Joe Rodon,90000154,95.24
Ethan Ampadu,90000156,95.24
Tarik Muharemović,90000157,95.24
Noah Okafor,90000158,56.38
Harry Wilson,90000159,56.31
Gabriel Gudmundsson,90000160,95.24
Jeremy Jacquet,90000161,95.24
Florian Wirtz,90000162,42.34
Ryan Gravenberch,90000163,95.24
Jeremie Frimpong,90000164,95.24
Cody Gakpo,90000165,29.98
Alexis Mac Allister,90000166,85.09
Virgil van Dijk,90000167,95.24
Alexander Isak,90000169,13.38
Dominik Szoboszlai,90000170,40.65
Milos Kerkez,90000171,95.24
Marc Guehi,90000172,95.24
Phil Foden,90000173,24.18
Nico O'Reilly,90000174,95.24
Elliot Anderson,90000175,80.89
Jeremy Doku,90000176,44.09
Erling Haaland,90000177,6.09
Rodri,90000178,95.24
Matheus Nunes,90000180,95.24
Rayan Cherki,90000181,29.53
Ruben Dias,90000182,95.24
Antoine Semenyo,90000183,14.41
Bruno Fernandes,90000185,25.77
Matheus Cunha,90000186,21.68
Diogo Dalot,90000187,95.24
Benjamin Sesko,90000188,17.23
Harry Maguire,90000189,95.24
Youri Tielemans,90000190,90.76
Leny Yoro,90000191,95.24
Luke Shaw,90000192,95.24
Amad Diallo,90000193,37.88
Bryan Mbeumo,90000194,18.49
Malick Thiaw,90000195,95.24
Lewis Hall,90000196,95.24
Harvey Barnes,90000197,31.91
Bazoumana Touré,90000199,92.14
Aladji Bamba,90000200,92.14
Jacob Murphy,90000201,44.19
Dan Burn,90000202,95.24
Joelinton,90000203,90.67
