match_name,date,player_name,odds_decimal
Liverpool v Brighton,1765638000,Alexis Mac Allister,3.04
Liverpool v Brighton,1765638000,Calvin Ramsay,3.72
Liverpool v Brighton,1765638000,Ibrahima Konate,3.92
Liverpool v Brighton,1765638000,Joe Gomez,3.94
Liverpool v Brighton,1765638000,Wataru Endo,3.18
Liverpool v Brighton,1765638000,Andy Robertson,4.6
Liverpool v Brighton,1765638000,Curtis Jones,4.65
Liverpool v Brighton,1765638000,Dominik Szoboszlai,4.25
Liverpool v Brighton,1765638000,Federico Chiesa,4.65
Liverpool v Brighton,1765638000,Kaide Gordon,4.8
Liverpool v Brighton,1765638000,Milos Kerkez,4.0
Liverpool v Brighton,1765638000,Rio Ngumoha,4.85
Liverpool v Brighton,1765638000,Ryan Gravenberch,4.3
Liverpool v Brighton,1765638000,Trey Nyoni,4.95
Liverpool v Brighton,1765638000,Virgil van Dijk,4.95
Liverpool v Brighton,1765638000,Florian Wirtz,5.9
Liverpool v Brighton,1765638000,Hugo Ekitike,5.3
Liverpool v Brighton,1765638000,Alexander Isak,7.3
Liverpool v Brighton,1765638000,Mats Wieffer,2.92
Liverpool v Brighton,1765638000,Carlos Baleba,3.3
Liverpool v Brighton,1765638000,Diego Coppola,3.92
Liverpool v Brighton,1765638000,Diego Gomez,3.98
Liverpool v Brighton,1765638000,Jan Paul van Hecke,3.86
Liverpool v Brighton,1765638000,Yankuba Minteh,3.44
Liverpool v Brighton,1765638000,Yasin Ayari,3.96
Liverpool v Brighton,1765638000,Brajan Gruda,4.6
Liverpool v Brighton,1765638000,Charalampos Kostoulas,4.7
Liverpool v Brighton,1765638000,Ferdi Kadioglu,4.05
Liverpool v Brighton,1765638000,Joe Knight,4.35
Liverpool v Brighton,1765638000,Joel Veltman,4.1
Liverpool v Brighton,1765638000,Lewis Dunk,4.6
Liverpool v Brighton,1765638000,Maxim De Cuyper,4.25
Liverpool v Brighton,1765638000,Olivier Boscagli,4.55
Liverpool v Brighton,1765638000,Tom Watson,4.35
Liverpool v Brighton,1765638000,Jack Hinshelwood,5.0
Liverpool v Brighton,1765638000,Georginio Rutter,6.05
Liverpool v Brighton,1765638000,Danny Welbeck,7.2
Liverpool v Brighton,1765638000,Kaoru Mitoma,7.3
Chelsea v Everton,1765638000,Andrey Santos,3.66
Chelsea v Everton,1765638000,Facundo Buonanotte,3.84
Chelsea v Everton,1765638000,Josh Acheampong,3.68
Chelsea v Everton,1765638000,Malo Gusto,3.36
Chelsea v Everton,1765638000,Marc Cucurella,3.76
Chelsea v Everton,1765638000,Wesley Fofana,3.9
Chelsea v Everton,1765638000,Enzo Fernandez,4.5
Chelsea v Everton,1765638000,Estevao,4.95
Chelsea v Everton,1765638000,Jorrel Hato,4.1
Chelsea v Everton,1765638000,Marc Guiu,4.85
Chelsea v Everton,1765638000,Pedro Neto,4.45
Chelsea v Everton,1765638000,Tyrique George,4.4
Chelsea v Everton,1765638000,Alejandro Garnacho,5.25
Chelsea v Everton,1765638000,Benoit Badiashile,5.3
Chelsea v Everton,1765638000,Cole Palmer,5.65
Chelsea v Everton,1765638000,Jamie Gittens,5.2
Chelsea v Everton,1765638000,Joao Pedro,5.75
Chelsea v Everton,1765638000,Reece James,5.05
Chelsea v Everton,1765638000,Tosin Adarabioyo,5.2
Chelsea v Everton,1765638000,Trevoh Chalobah,5.1
Chelsea v Everton,1765638000,Idrissa Gueye,2.99
Chelsea v Everton,1765638000,Michael Keane,2.98
Chelsea v Everton,1765638000,Tim Iroegbunam,2.98
Chelsea v Everton,1765638000,Adam Aznou,3.88
Chelsea v Everton,1765638000,Charly Alcaraz,3.16
Chelsea v Everton,1765638000,Jack Grealish,3.88
Chelsea v Everton,1765638000,James Garner,3.54
Chelsea v Everton,1765638000,James Tarkowski,3.38
Chelsea v Everton,1765638000,Nathan Patterson,3.9
Chelsea v Everton,1765638000,Reece Welch,3.58
Chelsea v Everton,1765638000,Tyler Dibling,3.92
Chelsea v Everton,1765638000,Vitalii Mykolenko,3.76
Chelsea v Everton,1765638000,Jake O'Brien,4.0
Chelsea v Everton,1765638000,Kiernan Dewsbury-Hall,4.25
Chelsea v Everton,1765638000,Thierno Barry,4.0
Chelsea v Everton,1765638000,Beto,5.45
Chelsea v Everton,1765638000,Dwight McNeil,5.6
Chelsea v Everton,1765638000,Iliman Ndiaye,5.35
Burnley v Fulham,1765647000,Ashley Barnes,3.98
Burnley v Fulham,1765647000,Quilindschy Hartman,3.96
Burnley v Fulham,1765647000,Florentino,4.05
Burnley v Fulham,1765647000,Hjalmar Ekdal,4.9
Burnley v Fulham,1765647000,Joe Worrall,4.05
Burnley v Fulham,1765647000,Josh Cullen,4.2
Burnley v Fulham,1765647000,Josh Laurent,4.0
Burnley v Fulham,1765647000,Lesley Ugochukwu,4.75
Burnley v Fulham,1765647000,Lyle Foster,4.45
Burnley v Fulham,1765647000,Oliver Sonne,4.55
Burnley v Fulham,1765647000,Zian Flemming,4.15
Burnley v Fulham,1765647000,Axel Tuanzebe,5.15
Burnley v Fulham,1765647000,Loum Tchaouna,5.15
Burnley v Fulham,1765647000,Marcus Edwards,5.2
Burnley v Fulham,1765647000,Maxime Esteve,5.6
