match_name,date,team_name,clean_sheet_yes,clean_sheet_no
Newcastle v Chelsea,1766233800,Newcastle,3.64,1.23
Newcastle v Chelsea,1766233800,Chelsea,4.05,1.19
Brighton v Sunderland,1766242800,Brighton,2.31,1.54
Brighton v Sunderland,1766242800,Sunderland,6.0,1.09
Wolves v Brentford,1766242800,Wolves,4.2,1.18
Wolves v Brentford,1766242800,Brentford,2.65,1.42
Man City v West Ham,1766242800,Man City,2.06,1.67
Man City v West Ham,1766242800,West Ham,15.0,1.02
Bournemouth v Burnley,1766242800,Bournemouth,2.21,1.59
Bournemouth v Burnley,1766242800,Burnley,7.3,1.06
Tottenham v Liverpool,1766251800,Spurs,5.35,1.11
Tottenham v Liverpool,1766251800,Liverpool,3.46,1.25
Leeds v Crystal Palace,1766260800,Leeds,3.52,1.25
Leeds v Crystal Palace,1766260800,Crystal Palace,3.08,1.31
Everton v Arsenal,1766260800,Everton,4.9,1.13
Everton v Arsenal,1766260800,Arsenal,2.17,1.61
Aston Villa v Man Utd,1766334600,Aston Villa,3.36,1.27
Aston Villa v Man Utd,1766334600,Man Utd,4.8,1.14
Fulham v Nottm Forest,1766433600,Fulham,2.93,1.34
Fulham v Nottm Forest,1766433600,Nott'm Forest,3.88,1.2
