Match,Date,Team,Goalkeeper,3+ Saves,6+ Saves
Liverpool v Brighton,1765638000,Liverpool,Liverpool Goalkeeper,2.0,13.0
Liverpool v Brighton,1765638000,Brighton,Brighton Goalkeeper,1.4,5.0
Chelsea v Everton,1765638000,Chelsea,Chelsea Goalkeeper,2.3,19.0
Chelsea v Everton,1765638000,Everton,Everton Goalkeeper,1.14,2.88
Burnley v Fulham,1765647000,Burnley,Burnley Goalkeeper,1.45,6.0
Burnley v Fulham,1765647000,Fulham,Fulham Goalkeeper,2.1,13.0
Arsenal v Wolves,1765656000,Arsenal,Arsenal Goalkeeper,2.75,26.0
Arsenal v Wolves,1765656000,Wolves,Wolves Goalkeeper,1.22,3.5
Nott'm Forest v Spurs,1765720800,Nott'm Forest,Nottm Forest Goalkeeper,1.83,10.0
Nott'm Forest v Spurs,1765720800,Spurs,Tottenham Goalkeeper,1.67,7.5
Crystal Palace v Man City,1765720800,Crystal Palace,Crystal Palace Goalkeeper,1.4,5.5
Crystal Palace v Man City,1765720800,Man City,Man City Goalkeeper,2.0,12.0
Sunderland v Newcastle,1765720800,Sunderland,Sunderland Goalkeeper,1.67,8.5
Sunderland v Newcastle,1765720800,Newcastle,Newcastle Goalkeeper,1.83,10.0
West Ham v Aston Villa,1765720800,West Ham,West Ham Goalkeeper,1.5,6.5
West Ham v Aston Villa,1765720800,Aston Villa,Aston Villa Goalkeeper,1.91,10.0
Brentford v Leeds,1765729800,Brentford,Brentford Goalkeeper,2.0,13.0
Brentford v Leeds,1765729800,Leeds,Leeds Goalkeeper,1.62,7.0
Man Utd v Bournemouth,1765828800,Man Utd,Man Utd Goalkeeper,1.8,10.0
Man Utd v Bournemouth,1765828800,Bournemouth,Bournemouth Goalkeeper,1.3,4.2
