player_name,match_id,odds_decimal
Nick Woltemade,9926585,2.8
Anthony Gordon,9926585,3.6
Harvey Barnes,9926585,3.5
Yoane Wissa,9926585,3.25
Anthony Elanga,9926585,4.5
Jacob Murphy,9926585,4.0
Jacob Ramsey,9926585,5.5
Joe Willock,9926585,6.5
Joelinton,9926585,6.0
Bruno Guimaraes,9926585,7.5
Fabian Schar,9926585,8.0
Lewis Miley,9926585,8.0
Sandro Tonali,9926585,8.0
Dan Burn,9926585,10.0
Malick Thiaw,9926585,13.0
Sven Botman,9926585,13.0
Lewis Hall,9926585,15.0
Alex Murphy,9926585,18.0
Tino Livramento,9926585,19.0
Cole Palmer,9926585,2.88
Alejandro Garnacho,9926585,3.5
Estevao,9926585,3.75
Joao Pedro,9926585,3.0
Marc Guiu,9926585,3.1
Tyrique George,9926585,3.3
Facundo Buonanotte,9926585,4.33
Jamie Gittens,9926585,4.5
Pedro Neto,9926585,4.33
Andrey Santos,9926585,5.0
Enzo Fernandez,9926585,5.0
Reece James,9926585,7.0
Marc Cucurella,9926585,8.5
Trevoh Chalobah,9926585,9.5
Moises Caicedo,9926585,10.0
Malo Gusto,9926585,12.0
Benoit Badiashile,9926585,13.0
Jorrel Hato,9926585,13.0
Tosin Adarabioyo,9926585,13.0
Josh Acheampong,9926585,14.0
Wesley Fofana,9926585,21.0
Charalampos Kostoulas,9926582,2.88
Danny Welbeck,9926582,2.3
Brajan Gruda,9926582,3.1
Georginio Rutter,9926582,3.25
Kaoru Mitoma,9926582,3.4
Tom Watson,9926582,3.3
Yankuba Minteh,9926582,3.75
Maxim De Cuyper,9926582,4.0
Nehemiah Oriola,9926582,4.33
Yasin Ayari,9926582,5.5
Jack Hinshelwood,9926582,6.0
Ferdi Kadioglu,9926582,7.5
James Milner,9926582,8.5
Mats Wieffer,9926582,8.0
Joe Knight,9926582,9.0
Diego Coppola,9926582,11.0
Olivier Boscagli,9926582,11.0
Jan Paul van Hecke,9926582,12.0
Joel Veltman,9926582,15.0
Wilson Isidor,9926582,3.5
Brian Brobbey,9926582,4.5
Eliezer Mayenda,9926582,4.33
Simon Adingra,9926582,5.5
Chris Rigg,9926582,6.5
Romaine Mundle,9926582,6.5
Enzo Le Fee,9926582,7.0
Dan Ballard,9926582,10.0
Granit Xhaka,9926582,10.0
Trai Hume,9926582,10.0
Dan Neil,9926582,13.0
Lutsharel Geertruida,9926582,15.0
Omar Alderete,9926582,15.0
Dennis Cirkin,9926582,21.0
Aji Alese,9926582,23.0
Nordi Mukiele,9926582,26.0
Leo Hjelde,9926582,34.0
Jorgen Strand Larsen,9926583,3.3
Tolu Arokodare,9926583,3.4
Hwang Hee-Chan,9926583,4.33
Jhon Arias,9926583,4.5
Mateus Mane,9926583,4.5
Fer Lopez,9926583,5.0
Jackson Tchatchoua,9926583,10.0
Ladislav Krejci,9926583,11.0
Ethan Sutherland,9926583,12.0
Joao Gomes,9926583,12.0
David Moller Wolfe,9926583,13.0
Matt Doherty,9926583,14.0
Hugo Bueno,9926583,15.0
Ki-Jana Hoever,9926583,15.0
Luke Rawlings,9926583,17.0
Santiago Bueno,9926583,17.0
Toti Gomes,9926583,19.0
Andre,9926583,21.0
Sebastian Lochhead,9926583,23.0
Igor Thiago,9926583,2.1
Kevin Schade,9926583,2.88
Keane Lewis-Potter,9926583,4.5
Myles Peart-Harris,9926583,4.0
Reiss Nelson,9926583,4.0
Romelle Donovan,9926583,4.5
Mikkel Damsgaard,9926583,5.5
Vitaly Janelt,9926583,8.5
Mathias Jensen,9926583,9.5
Sepp van den Berg,9926583,9.5
Nathan Collins,9926583,10.0
Yehor Yarmoliuk,9926583,10.0
Aaron Hickey,9926583,11.0
Ethan Pinnock,9926583,12.0
Jordan Henderson,9926583,13.0
Kristoffer Ajer,9926583,13.0
Rico Henry,9926583,14.0
Michael Kayode,9926583,15.0
Benjamin Arthur,9926583,17.0
Erling Haaland,9926586,1.28
Oscar Bobb,9926586,2.4
Phil Foden,9926586,2.25
Rayan Cherki,9926586,2.5
Savinho,9926586,2.88
Jeremy Doku,9926586,3.0
Tijjani Reijnders,9926586,3.0
Bernardo Silva,9926586,4.0
Divine Mukasa,9926586,4.5
Rodri,9926586,4.5
Nico Gonzalez,9926586,5.0
Nico O'Reilly,9926586,5.0
Josko Gvardiol,9926586,6.0
Matheus Nunes,9926586,6.5
John Stones,9926586,7.0
Rico Lewis,9926586,7.5
Abdukodir Khusanov,9926586,9.0
Nathan Ake,9926586,9.0
Ruben Dias,9926586,10.0
Callum Wilson,9926586,4.5
Jarrod Bowen,9926586,4.5
Niclas Fullkrug,9926586,4.5
Callum Marshall,9926586,6.0
Crysencio Summerville,9926586,6.5
Tomas Soucek,9926586,7.0
Andy Irving,9926586,8.5
Lucas Paqueta,9926586,8.0
Luis Guilherme,9926586,8.0
George Earthy,9926586,10.0
Mateus Fernandes,9926586,12.0
Guido Rodriguez,9926586,13.0
Mohamadou Kante,9926586,13.0
Ollie Scarles,9926586,15.0
Kyle Walker-Peters,9926586,21.0
Soungoutou Magassa,9926586,21.0
Freddie Potts,9926586,23.0
Maximilian Kilman,9926586,26.0
Konstantinos Mavropanos,9926586,31.0
Igor Julio,9926586,36.0
Jean-Clair Todibo,9926586,36.0
Ezra Mayers,9926586,46.0
Mathys Tel,9926579,3.6
Randal Kolo Muani,9926579,3.25
Richarlison,9926579,3.1
Brennan Johnson,9926579,4.5
Mohammed Kudus,9926579,4.5
