Match,Date,Team,Goalkeeper,3+ Saves,6+ Saves
Arsenal vs. Coventry City,2026-08-21T19:00:00,Arsenal,Kepa Arrizabalaga,2.3,27.39
Arsenal vs. Coventry City,2026-08-21T19:00:00,Coventry City,Oliver Dovin,1.34,5.07
Brentford FC vs. Tottenham Hotspur,2026-08-22T16:30:00,Brentford,Hákon Rafn Valdimarsson,1.84,14.21
Brentford FC vs. Tottenham Hotspur,2026-08-22T16:30:00,Spurs,Martin Dubravka,1.49,7.29
Brighton vs. Aston Villa,2026-08-23T13:00:00,Brighton,Jason Steele,1.78,12.87
Brighton vs. Aston Villa,2026-08-23T13:00:00,Aston Villa,Zion Suzuki,1.6,9.16
Everton FC vs. Crystal Palace,2026-08-22T14:00:00,Everton,Tom King,1.88,15.17
Everton FC vs. Crystal Palace,2026-08-22T14:00:00,Crystal Palace,Walter Benítez,1.81,13.49
Fulham FC vs. Chelsea,2026-08-24T19:00:00,Fulham,Bernd Leno,1.48,7.07
Fulham FC vs. Chelsea,2026-08-24T19:00:00,Chelsea,Robert Sanchez,1.98,17.84
Hull City vs. Manchester United,2026-08-22T11:30:00,Hull City,Thimothée Lo-Tutala,1.34,5.01
Hull City vs. Manchester United,2026-08-22T11:30:00,Man Utd,Tom Heaton,2.7,42.03
Ipswich Town vs. Sunderland AFC,2026-08-22T14:00:00,Ipswich Town,Kjell Scherpen,2.99,55.33
Ipswich Town vs. Sunderland AFC,2026-08-22T14:00:00,Sunderland,Robin Roefs,1.5,7.56
Manchester City vs. AFC Bournemouth,2026-08-23T13:00:00,Man City,Marcus Bettinelli,1.92,16.22
Manchester City vs. AFC Bournemouth,2026-08-23T13:00:00,Bournemouth,Will Dennis,1.27,4.15
Newcastle United vs. Liverpool FC,2026-08-23T15:30:00,Newcastle,Nick Pope,1.44,6.52
Newcastle United vs. Liverpool FC,2026-08-23T15:30:00,Liverpool,Vitezslav Jaros,1.54,8.19
Nottingham Forest vs. Leeds United,2026-08-22T14:00:00,Nott'm Forest,Steven Benda,2.42,31.2
Nottingham Forest vs. Leeds United,2026-08-22T14:00:00,Leeds,Lucas Perri,1.55,8.39
