player_name,match_id,odds_decimal
Gabriel Magalhaes,Arsenal vs. Coventry City,59.4
Ben White,Arsenal vs. Coventry City,38.61
Myles Lewis-Skelly,Arsenal vs. Coventry City,29.7
Bukayo Saka,Arsenal vs. Coventry City,10.1
Gabriel Martinelli,Arsenal vs. Coventry City,19.3
Martin Odegaard,Arsenal vs. Coventry City,14.85
Gustavo Hamer,Arsenal vs. Coventry City,51.97
Josh Eccles,Arsenal vs. Coventry City,74.25
Mikel Merino,Arsenal vs. Coventry City,14.85
Eberechi Eze,Arsenal vs. Coventry City,14.85
Riccardo Calafiori,Arsenal vs. Coventry City,29.7
Tatsuhiro Sakamoto,Arsenal vs. Coventry City,59.4
Viktor Gyokeres,Arsenal vs. Coventry City,29.7
Aurèle Amenda,Arsenal vs. Coventry City,74.25
Bobby Thomas,Arsenal vs. Coventry City,74.25
Bruno Guimaraes,Arsenal vs. Coventry City,29.7
Kai Havertz,Arsenal vs. Coventry City,19.3
Frank Onyeka,Arsenal vs. Coventry City,59.4
Jay Dasilva,Arsenal vs. Coventry City,74.25
Noni Madueke,Arsenal vs. Coventry City,14.85
Victor Torp,Arsenal vs. Coventry City,59.4
Declan Rice,Arsenal vs. Coventry City,14.85
Cristhian Mosquera,Arsenal vs. Coventry City,59.4
Caleb Yirenkyi,Arsenal vs. Coventry City,59.4
Christos Tzolis,Arsenal vs. Coventry City,12.18
Loum Tchaouna,Arsenal vs. Coventry City,59.4
Brandon Thomas-Asante,Arsenal vs. Coventry City,59.4
Matt Grimes,Arsenal vs. Coventry City,74.25
Ellis Simms,Arsenal vs. Coventry City,74.25
Haji Wright,Arsenal vs. Coventry City,59.4
Milan van Ewijk,Arsenal vs. Coventry City,59.4
Liam Kitching,Arsenal vs. Coventry City,74.25
Piero Hincapie,Arsenal vs. Coventry City,38.61
Jack Rudoni,Arsenal vs. Coventry City,51.97
Nobel Mendy,Hull City vs. Manchester United,74.25
Liam Millar,Hull City vs. Manchester United,51.97
Mohamed Belloumi,Hull City vs. Manchester United,59.4
Jens Hjertø-Dahl,Hull City vs. Manchester United,59.4
Lisandro Martinez,Hull City vs. Manchester United,74.25
Luke Shaw,Hull City vs. Manchester United,38.61
Harry Maguire,Hull City vs. Manchester United,59.4
Ryan Giles,Hull City vs. Manchester United,51.97
Bruno Fernandes,Hull City vs. Manchester United,8.32
Oli McBurnie,Hull City vs. Manchester United,51.97
Amad Diallo,Hull City vs. Manchester United,19.3
Lucas Herrington,Hull City vs. Manchester United,74.25
Marcus Rashford,Hull City vs. Manchester United,19.3
Elliot Stroud,Hull City vs. Manchester United,51.97
Diogo Dalot,Hull City vs. Manchester United,38.61
Andrey Santos,Hull City vs. Manchester United,29.7
Ayden Heaven,Hull City vs. Manchester United,59.4
Matty Jacob,Hull City vs. Manchester United,74.25
Patrick Dorgu,Hull City vs. Manchester United,38.61
Regan Slater,Hull City vs. Manchester United,59.4
Semi Ajayi,Hull City vs. Manchester United,74.25
Benjamin Sesko,Hull City vs. Manchester United,38.61
Leny Yoro,Hull City vs. Manchester United,59.4
Paddy McNair,Hull City vs. Manchester United,74.25
Joshua Zirkzee,Hull City vs. Manchester United,38.61
Mason Mount,Hull City vs. Manchester United,38.61
Kobbie Mainoo,Hull City vs. Manchester United,38.61
Youri Tielemans,Hull City vs. Manchester United,29.7
John Egan,Hull City vs. Manchester United,74.25
Noussair Mazraoui,Hull City vs. Manchester United,51.97
Lewie Coyle,Hull City vs. Manchester United,74.25
Bryan Mbeumo,Hull City vs. Manchester United,19.3
Matheus Cunha,Hull City vs. Manchester United,14.85
Matt Crooks,Hull City vs. Manchester United,59.4
Lucas Gourna-Douath,Hull City vs. Manchester United,59.4
Jorgen Strand Larsen,Everton FC vs. Crystal Palace,40.09
Kiernan Dewsbury-Hall,Everton FC vs. Crystal Palace,19.3
Tyler Dibling,Everton FC vs. Crystal Palace,29.7
