player_name,match_id,odds_decimal
Viktor Gyokeres,Arsenal vs. Coventry City,5.94
Kai Havertz,Arsenal vs. Coventry City,8.61
Gabriel Jesus,Arsenal vs. Coventry City,8.7
Christos Tzolis,Arsenal vs. Coventry City,11.32
Bukayo Saka,Arsenal vs. Coventry City,11.74
Eberechi Eze,Arsenal vs. Coventry City,14.75
Ethan Nwaneri,Arsenal vs. Coventry City,14.75
Gabriel Martinelli,Arsenal vs. Coventry City,15.95
Mikel Merino,Arsenal vs. Coventry City,17.84
Fabio Vieira,Arsenal vs. Coventry City,18.49
Noni Madueke,Arsenal vs. Coventry City,19.16
Max Dowman,Arsenal vs. Coventry City,19.83
Martin Odegaard,Arsenal vs. Coventry City,29.67
Bruno Guimaraes,Arsenal vs. Coventry City,43.45
Declan Rice,Arsenal vs. Coventry City,47.56
Ellis Simms,Arsenal vs. Coventry City,63.42
Gabriel Magalhaes,Arsenal vs. Coventry City,68.36
Haji Wright,Arsenal vs. Coventry City,73.5
Martin Zubimendi,Arsenal vs. Coventry City,73.5
Taiwo Awoniyi,Arsenal vs. Coventry City,73.5
Brandon Thomas-Asante,Arsenal vs. Coventry City,90.0
Riccardo Calafiori,Arsenal vs. Coventry City,101.93
Myles Lewis-Skelly,Arsenal vs. Coventry City,128.02
Victor Torp,Arsenal vs. Coventry City,135.0
Ephron Mason-Clark,Arsenal vs. Coventry City,135.0
Marli Salmon,Arsenal vs. Coventry City,142.17
Ben White,Arsenal vs. Coventry City,149.53
Jack Rudoni,Arsenal vs. Coventry City,172.7
Gustavo Hamer,Arsenal vs. Coventry City,172.7
Piero Hincapie,Arsenal vs. Coventry City,180.8
Tatsuhiro Sakamoto,Arsenal vs. Coventry City,189.08
Raphael Borges Rodrigues,Arsenal vs. Coventry City,197.54
Loum Tchaouna,Arsenal vs. Coventry City,224.05
Josh Eccles,Arsenal vs. Coventry City,271.94
Cristhian Mosquera,Arsenal vs. Coventry City,271.94
Kaine Kesler-Hayden,Arsenal vs. Coventry City,381.6
Caleb Yirenkyi,Arsenal vs. Coventry City,381.6
Frank Onyeka,Arsenal vs. Coventry City,443.38
Bobby Thomas,Arsenal vs. Coventry City,656.49
Matt Grimes,Arsenal vs. Coventry City,911.28
Jake Bidwell,Arsenal vs. Coventry City,1207.74
Liam Kitching,Arsenal vs. Coventry City,1207.74
Miguel Brau,Arsenal vs. Coventry City,1207.74
Jay Dasilva,Arsenal vs. Coventry City,1315.83
Joel Latibeaudiere,Arsenal vs. Coventry City,1315.83
Luke Woolfenden,Arsenal vs. Coventry City,1315.83
Milan van Ewijk,Arsenal vs. Coventry City,1315.83
Aurèle Amenda,Arsenal vs. Coventry City,1315.83
Benjamin Sesko,Hull City vs. Manchester United,8.07
Bryan Mbeumo,Hull City vs. Manchester United,10.21
Matheus Cunha,Hull City vs. Manchester United,12.06
