Match,Date,Team,Opponent,Team_Over_1.5,Team_Under_1.5,Team_Over_3.5,Team_Under_3.5,Opponent_Concedes_Over_1.5,Opponent_Concedes_Under_1.5,Opponent_Concedes_Over_3.5,Opponent_Concedes_Under_3.5
Liverpool v Brighton,1765638000,Liverpool,Brighton,1.51,2.37,6.05,1.09,1.51,2.37,6.05,1.09
Liverpool v Brighton,1765638000,Brighton,Liverpool,2.63,1.42,21.0,1.01,2.63,1.42,21.0,1.01
Chelsea v Everton,1765638000,Chelsea,Everton,1.74,1.97,8.2,1.05,1.74,1.97,8.2,1.05
Chelsea v Everton,1765638000,Everton,Chelsea,3.84,1.2,34.0,1.001,3.84,1.2,34.0,1.001
Burnley v Fulham,1765647000,Burnley,Fulham,3.44,1.26,34.0,1.001,3.44,1.26,34.0,1.001
Burnley v Fulham,1765647000,Fulham,Burnley,2.05,1.68,12.0,1.03,2.05,1.68,12.0,1.03
Arsenal v Wolves,1765656000,Arsenal,Wolves,1.19,4.0,3.0,1.33,1.19,4.0,3.0,1.33
Arsenal v Wolves,1765656000,Wolves,Arsenal,10.3,1.03,34.0,1.001,10.3,1.03,34.0,1.001
Nott'm Forest v Spurs,1765720800,Nott'm Forest,Spurs,2.42,1.49,17.25,1.01,2.42,1.49,17.25,1.01
Nott'm Forest v Spurs,1765720800,Spurs,Nott'm Forest,2.57,1.44,20.25,1.01,2.57,1.44,20.25,1.01
Crystal Palace v Man City,1765720800,Crystal Palace,Man City,2.83,1.37,25.0,1.01,2.83,1.37,25.0,1.01
Crystal Palace v Man City,1765720800,Man City,Crystal Palace,1.74,1.97,8.2,1.05,1.74,1.97,8.2,1.05
Sunderland v Newcastle,1765720800,Sunderland,Newcastle,2.89,1.35,26.0,1.01,2.89,1.35,26.0,1.01
Sunderland v Newcastle,1765720800,Newcastle,Sunderland,2.05,1.68,11.9,1.03,2.05,1.68,11.9,1.03
West Ham v Aston Villa,1765720800,West Ham,Aston Villa,2.87,1.36,25.0,1.01,2.87,1.36,25.0,1.01
West Ham v Aston Villa,1765720800,Aston Villa,West Ham,1.92,1.78,10.4,1.03,1.92,1.78,10.4,1.03
Brentford v Leeds,1765729800,Brentford,Leeds,1.94,1.76,11.2,1.03,1.94,1.76,11.2,1.03
Brentford v Leeds,1765729800,Leeds,Brentford,3.0,1.33,29.0,1.01,3.0,1.33,29.0,1.01
Man Utd v Bournemouth,1765828800,Man Utd,Bournemouth,1.63,2.14,7.1,1.07,1.63,2.14,7.1,1.07
Man Utd v Bournemouth,1765828800,Bournemouth,Man Utd,2.57,1.44,20.5,1.01,2.57,1.44,20.5,1.01
