Match,Date,Team,Opponent,Team_Over_1.5,Team_Under_1.5,Team_Over_3.5,Team_Under_3.5,Opponent_Concedes_Over_1.5,Opponent_Concedes_Under_1.5,Opponent_Concedes_Over_3.5,Opponent_Concedes_Under_3.5
Newcastle v Chelsea,1766233800,Newcastle,Chelsea,2.07,1.67,12.25,1.02,2.07,1.67,12.25,1.02
Newcastle v Chelsea,1766233800,Chelsea,Newcastle,2.28,1.55,15.0,1.02,2.28,1.55,15.0,1.02
Brighton v Sunderland,1766242800,Brighton,Sunderland,1.63,2.12,7.0,1.07,1.63,2.12,7.0,1.07
Brighton v Sunderland,1766242800,Sunderland,Brighton,3.92,1.2,34.0,1.001,3.92,1.2,34.0,1.001
Wolves v Brentford,1766242800,Wolves,Brentford,3.2,1.29,29.0,1.01,3.2,1.29,29.0,1.01
Wolves v Brentford,1766242800,Brentford,Wolves,2.03,1.7,12.0,1.03,2.03,1.7,12.0,1.03
Man City v West Ham,1766242800,Man City,West Ham,1.18,4.2,2.88,1.36,1.18,4.2,2.88,1.36
Man City v West Ham,1766242800,West Ham,Man City,4.7,1.15,34.0,1.001,4.7,1.15,34.0,1.001
Bournemouth v Burnley,1766242800,Bournemouth,Burnley,1.49,2.43,5.7,1.1,1.49,2.43,5.7,1.1
Bournemouth v Burnley,1766242800,Burnley,Bournemouth,4.1,1.19,34.0,1.001,4.1,1.19,34.0,1.001
Spurs v Liverpool,1766251800,Spurs,Liverpool,2.37,1.51,16.25,1.01,2.37,1.51,16.25,1.01
Spurs v Liverpool,1766251800,Liverpool,Spurs,1.74,1.96,8.4,1.05,1.74,1.96,8.4,1.05
Leeds v Crystal Palace,1766260800,Leeds,Crystal Palace,2.66,1.41,20.5,1.01,2.66,1.41,20.5,1.01
Leeds v Crystal Palace,1766260800,Crystal Palace,Leeds,2.36,1.51,16.5,1.01,2.36,1.51,16.5,1.01
Everton v Arsenal,1766260800,Everton,Arsenal,4.2,1.18,34.0,1.001,4.2,1.18,34.0,1.001
Everton v Arsenal,1766260800,Arsenal,Everton,1.85,1.85,9.6,1.04,1.85,1.85,9.6,1.04
Aston Villa v Man Utd,1766334600,Aston Villa,Man Utd,1.85,1.85,9.5,1.04,1.85,1.85,9.5,1.04
Aston Villa v Man Utd,1766334600,Man Utd,Aston Villa,2.46,1.48,19.0,1.01,2.46,1.48,19.0,1.01
Fulham v Nott'm Forest,1766433600,Fulham,Nott'm Forest,2.19,1.6,14.0,1.02,2.19,1.6,14.0,1.02
Fulham v Nott'm Forest,1766433600,Nott'm Forest,Fulham,2.83,1.37,25.0,1.01,2.83,1.37,25.0,1.01
