player_name,match_id,odds_decimal
Nick Woltemade,9926585,10.0
Yoane Wissa,9926585,15.0
Harvey Barnes,9926585,17.0
Anthony Gordon,9926585,18.0
Jacob Murphy,9926585,21.0
Anthony Elanga,9926585,26.0
Jacob Ramsey,9926585,46.0
Joe Willock,9926585,56.0
Joelinton,9926585,56.0
Bruno Guimaraes,9926585,81.0
Fabian Schar,9926585,101.0
Lewis Miley,9926585,101.0
Sandro Tonali,9926585,101.0
Dan Burn,9926585,176.0
Alex Murphy,9926585,201.0
Lewis Hall,9926585,201.0
Malick Thiaw,9926585,201.0
Sven Botman,9926585,201.0
Tino Livramento,9926585,201.0
Cole Palmer,9926585,12.0
Joao Pedro,9926585,12.0
Marc Guiu,9926585,13.0
Tyrique George,9926585,15.0
Alejandro Garnacho,9926585,18.0
Estevao,9926585,21.0
Facundo Buonanotte,9926585,26.0
Jamie Gittens,9926585,26.0
Pedro Neto,9926585,26.0
Andrey Santos,9926585,36.0
Enzo Fernandez,9926585,36.0
Reece James,9926585,76.0
Marc Cucurella,9926585,126.0
Trevoh Chalobah,9926585,126.0
Moises Caicedo,9926585,176.0
Benoit Badiashile,9926585,201.0
Jorrel Hato,9926585,201.0
Josh Acheampong,9926585,201.0
Malo Gusto,9926585,201.0
Tosin Adarabioyo,9926585,201.0
Wesley Fofana,9926585,201.0
Danny Welbeck,9926582,7.5
Charalampos Kostoulas,9926582,12.0
Brajan Gruda,9926582,13.0
Georginio Rutter,9926582,15.0
Kaoru Mitoma,9926582,15.0
Tom Watson,9926582,15.0
Yankuba Minteh,9926582,19.0
Maxim De Cuyper,9926582,21.0
Nehemiah Oriola,9926582,26.0
Yasin Ayari,9926582,46.0
Jack Hinshelwood,9926582,56.0
Ferdi Kadioglu,9926582,91.0
Mats Wieffer,9926582,91.0
James Milner,9926582,101.0
Joe Knight,9926582,101.0
Diego Coppola,9926582,201.0
Jan Paul van Hecke,9926582,201.0
Joel Veltman,9926582,201.0
Olivier Boscagli,9926582,201.0
Wilson Isidor,9926582,17.0
Brian Brobbey,9926582,26.0
Eliezer Mayenda,9926582,26.0
Simon Adingra,9926582,46.0
Chris Rigg,9926582,61.0
Romaine Mundle,9926582,67.0
Enzo Le Fee,9926582,76.0
Trai Hume,9926582,151.0
Dan Ballard,9926582,176.0
Aji Alese,9926582,201.0
Dan Neil,9926582,201.0
Dennis Cirkin,9926582,201.0
Granit Xhaka,9926582,201.0
Leo Hjelde,9926582,201.0
Lutsharel Geertruida,9926582,201.0
Nordi Mukiele,9926582,201.0
Omar Alderete,9926582,201.0
Jorgen Strand Larsen,9926583,15.0
Tolu Arokodare,9926583,15.0
Hwang Hee-Chan,9926583,26.0
Jhon Arias,9926583,26.0
Mateus Mane,9926583,26.0
Fer Lopez,9926583,36.0
Jackson Tchatchoua,9926583,176.0
Andre,9926583,201.0
David Moller Wolfe,9926583,201.0
Ethan Sutherland,9926583,201.0
Hugo Bueno,9926583,201.0
Joao Gomes,9926583,201.0
Ki-Jana Hoever,9926583,201.0
Ladislav Krejci,9926583,201.0
Luke Rawlings,9926583,201.0
Matt Doherty,9926583,201.0
Santiago Bueno,9926583,201.0
Sebastian Lochhead,9926583,201.0
Toti Gomes,9926583,201.0
Igor Thiago,9926583,6.5
Kevin Schade,9926583,11.0
Myles Peart-Harris,9926583,23.0
Reiss Nelson,9926583,23.0
Keane Lewis-Potter,9926583,31.0
Romelle Donovan,9926583,31.0
Mikkel Damsgaard,9926583,41.0
Vitaly Janelt,9926583,101.0
Mathias Jensen,9926583,176.0
Sepp van den Berg,9926583,176.0
Aaron Hickey,9926583,201.0
Benjamin Arthur,9926583,201.0
Ethan Pinnock,9926583,201.0
Jordan Henderson,9926583,201.0
Kristoffer Ajer,9926583,201.0
Michael Kayode,9926583,201.0
Nathan Collins,9926583,201.0
Rico Henry,9926583,201.0
Yehor Yarmoliuk,9926583,201.0
Erling Haaland,9926586,2.4
Phil Foden,9926586,7.0
Oscar Bobb,9926586,8.5
Rayan Cherki,9926586,9.0
Jeremy Doku,9926586,12.0
Savinho,9926586,12.0
Tijjani Reijnders,9926586,13.0
Bernardo Silva,9926586,23.0
Rodri,9926586,26.0
Divine Mukasa,9926586,31.0
Nico Gonzalez,9926586,36.0
Nico O'Reilly,9926586,36.0
Matheus Nunes,9926586,56.0
Josko Gvardiol,9926586,61.0
John Stones,9926586,81.0
Rico Lewis,9926586,91.0
Abdukodir Khusanov,9926586,126.0
Nathan Ake,9926586,126.0
Ruben Dias,9926586,151.0
Niclas Fullkrug,9926586,31.0
Callum Wilson,9926586,34.0
Jarrod Bowen,9926586,34.0
Callum Marshall,9926586,51.0
Crysencio Summerville,9926586,67.0
Lucas Paqueta,9926586,101.0
Luis Guilherme,9926586,101.0
Tomas Soucek,9926586,101.0
Andy Irving,9926586,126.0
George Earthy,9926586,176.0
Ezra Mayers,9926586,201.0
Freddie Potts,9926586,201.0
Guido Rodriguez,9926586,201.0
Igor Julio,9926586,201.0
Jean-Clair Todibo,9926586,201.0
Konstantinos Mavropanos,9926586,201.0
Kyle Walker-Peters,9926586,201.0
Mateus Fernandes,9926586,201.0
Maximilian Kilman,9926586,201.0
Mohamadou Kante,9926586,201.0
Ollie Scarles,9926586,201.0
Soungoutou Magassa,9926586,201.0
Richarlison,9926579,13.0
Randal Kolo Muani,9926579,14.0
Mathys Tel,9926579,19.0
Brennan Johnson,9926579,26.0
Mohammed Kudus,9926579,26.0
Xavi Simons,9926579,26.0
Wilson Odobert,9926579,41.0
Lucas Bergvall,9926579,61.0
Joao Palhinha,9926579,91.0
Rodrigo Bentancur,9926579,101.0
Archie Gray,9926579,201.0
Ben Davies,9926579,201.0
Cristian Romero,9926579,201.0
Djed Spence,9926579,201.0
James Rowswell,9926579,201.0
Kevin Danso,9926579,201.0
Micky van de Ven,9926579,201.0
Pedro Porro,9926579,201.0
Radu Dragusin,9926579,201.0
Alexander Isak,9926579,7.0
Hugo Ekitike,9926579,9.0
Federico Chiesa,9926579,18.0
Rio Ngumoha,9926579,19.0
Dominik Szoboszlai,9926579,20.0
Florian Wirtz,9926579,21.0
Kaide Gordon,9926579,21.0
Curtis Jones,9926579,36.0
Trey Nyoni,9926579,41.0
Alexis Mac Allister,9926579,76.0
