Player,Team
David Raya,Arsenal
Cristhian Mosquera,Arsenal
Christian Norgaard,Arsenal
Gabriel Magalhaes,Arsenal
Piero Hincapie,Arsenal
Max Dowman,Arsenal
Martin Zubimendi,Arsenal
Eberechi Eze,Arsenal
Noni Madueke,Arsenal
Viktor Gyokeres,Arsenal
Gabriel Martinelli,Arsenal
Marco Bizot,Aston Villa
Matty Cash,Aston Villa
Ezri Konsa,Aston Villa
Tyrone Mings,Aston Villa
Ian Maatsen,Aston Villa
Lamare Bogarde,Aston Villa
Amadou Onana,Aston Villa
Jadon Sancho,Aston Villa
Ross Barkley,Aston Villa
Morgan Rogers,Aston Villa
Tammy Abraham,Aston Villa
Djordje Petrovic,Bournemouth
Adam Smith,Bournemouth
James Hill,Bournemouth
Marcos Senesi,Bournemouth
Adrien Truffert,Bournemouth
Tyler Adams,Bournemouth
Alex Scott,Bournemouth
Marcus Tavernier,Bournemouth
Junior Kroupi,Bournemouth
Rayan,Bournemouth
Evanilson,Bournemouth
Caoimhin Kelleher,Brentford
Michael Kayode,Brentford
Sepp van den Berg,Brentford
Nathan Collins,Brentford
Keane Lewis-Potter,Brentford
Yehor Yarmoliuk,Brentford
Mathias Jensen,Brentford
Dango Ouattara,Brentford
Mikkel Damsgaard,Brentford
Kevin Schade,Brentford
Igor Thiago,Brentford
Bart Verbruggen,Brighton and Hove Albion
Ferdi Kadioglu,Brighton and Hove Albion
Jan Paul van Hecke,Brighton and Hove Albion
Lewis Dunk,Brighton and Hove Albion
Maxim De Cuyper,Brighton and Hove Albion
Carlos Baleba,Brighton and Hove Albion
Pascal Gross,Brighton and Hove Albion
Diego Gomez,Brighton and Hove Albion
Jack Hinshelwood,Brighton and Hove Albion
Yankuba Minteh,Brighton and Hove Albion
Danny Welbeck,Brighton and Hove Albion
Martin Dubravka,Burnley
Kyle Walker,Burnley
Axel Tuanzebe,Burnley
Maxime Esteve,Burnley
Lucas Pires,Burnley
Lesley Ugochukwu,Burnley
Florentino,Burnley
Loum Tchaouna,Burnley
Hannibal Mejbri,Burnley
Jaidon Anthony,Burnley
Zian Flemming,Burnley
Robert Sanchez,Chelsea
Malo Gusto,Chelsea
Wesley Fofana,Chelsea
Levi Colwill,Chelsea
Marc Cucurella,Chelsea
Reece James,Chelsea
Moises Caicedo,Chelsea
Cole Palmer,Chelsea
Enzo Fernandez,Chelsea
Pedro Neto,Chelsea
Joao Pedro,Chelsea
Dean Henderson,Crystal Palace
Jaydee Canvot,Crystal Palace
Maxence Lacroix,Crystal Palace
Chadi Riad,Crystal Palace
Daniel Munoz,Crystal Palace
Jefferson Lerma,Crystal Palace
Will Hughes,Crystal Palace
Justin Devenny,Crystal Palace
Brennan Johnson,Crystal Palace
Yeremy Pino,Crystal Palace
Jorgen Strand Larsen,Crystal Palace
Jordan Pickford,Everton
Jake O'Brien,Everton
James Tarkowski,Everton
Michael Keane,Everton
Vitalii Mykolenko,Everton
Tim Iroegbunam,Everton
James Garner,Everton
Merlin Rohl,Everton
Kiernan Dewsbury-Hall,Everton
Iliman Ndiaye,Everton
Beto,Everton
Bernd Leno,Fulham
Timothy Castagne,Fulham
Issa Diop,Fulham
Calvin Bassey,Fulham
Antonee Robinson,Fulham
Sasa Lukic,Fulham
Alex Iwobi,Fulham
Oscar Bobb,Fulham
Josh King,Fulham
Kevin,Fulham
Rodrigo Muniz,Fulham
Karl Darlow,Leeds United
Joe Rodon,Leeds United
Jaka Bijol,Leeds United
Pascal Struijk,Leeds United
Jayden Bogle,Leeds United
Brenden Aaronson,Leeds United
Ethan Ampadu,Leeds United
Ao Tanaka,Leeds United
James Justin,Leeds United
Dominic Calvert-Lewin,Leeds United
Lukas Nmecha,Leeds United
Alisson Becker,Liverpool
Curtis Jones,Liverpool
Ibrahima Konate,Liverpool
Virgil van Dijk,Liverpool
Andrew Robertson,Liverpool
Ryan Gravenberch,Liverpool
Alexis Mac Allister,Liverpool
Mohamed Salah,Liverpool
Dominik Szoboszlai,Liverpool
Florian Wirtz,Liverpool
Cody Gakpo,Liverpool
Gianluigi Donnarumma,Manchester City
Matheus Nunes,Manchester City
John Stones,Manchester City
Marc Guehi,Manchester City
Nico O'Reilly,Manchester City
Bernardo Silva,Manchester City
Phil Foden,Manchester City
Antoine Semenyo,Manchester City
Rayan Cherki,Manchester City
Jeremy Doku,Manchester City
Erling Haaland,Manchester City
Senne Lammens,Manchester United
Diogo Dalot,Manchester United
Harry Maguire,Manchester United
Lisandro Martinez,Manchester United
Luke Shaw,Manchester United
Manuel Ugarte,Manchester United
Kobbie Mainoo,Manchester United
Amad Diallo,Manchester United
Bruno Fernandes,Manchester United
Matheus Cunha,Manchester United
Bryan Mbeumo,Manchester United
Nick Pope,Newcastle United
Lewis Hall,Newcastle United
Malick Thiaw,Newcastle United
Sven Botman,Newcastle United
Dan Burn,Newcastle United
Bruno Guimaraes,Newcastle United
Sandro Tonali,Newcastle United
Harvey Barnes,Newcastle United
Nick Woltemade,Newcastle United
Jacob Ramsey,Newcastle United
William Osula,Newcastle United
Matz Sels,Nottingham Forest
Neco Williams,Nottingham Forest
Nikola Milenkovic,Nottingham Forest
Jair,Nottingham Forest
Luca Netz,Nottingham Forest
Elliot Anderson,Nottingham Forest
Ibrahim Sangare,Nottingham Forest
Omari Hutchinson,Nottingham Forest
Igor Jesus,Nottingham Forest
Morgan Gibbs-White,Nottingham Forest
Chris Wood,Nottingham Forest
Robin Roefs,Sunderland
Lutsharel Geertruida,Sunderland
Nordi Mukiele,Sunderland
Luke O'Nien,Sunderland
Reinildo Mandava,Sunderland
Granit Xhaka,Sunderland
Noah Sadiki,Sunderland
Trai Hume,Sunderland
Enzo Le Fee,Sunderland
Nilson Angulo,Sunderland
Brian Brobbey,Sunderland
Antonin Kinsky,Tottenham Hotspur
Pedro Porro,Tottenham Hotspur
Kevin Danso,Tottenham Hotspur
Micky van de Ven,Tottenham Hotspur
Djed Spence,Tottenham Hotspur
Rodrigo Bentancur,Tottenham Hotspur
Joao Palhinha,Tottenham Hotspur
Mathys Tel,Tottenham Hotspur
Conor Gallagher,Tottenham Hotspur
Pape Matar Sarr,Tottenham Hotspur
Richarlison,Tottenham Hotspur
Mads Hermansen,West Ham United
Aaron Wan-Bissaka,West Ham United
Konstantinos Mavropanos,West Ham United
Axel Disasi,West Ham United
El Hadji Malick Diouf,West Ham United
Tomas Soucek,West Ham United
Mateus Fernandes,West Ham United
Jarrod Bowen,West Ham United
Pablo,West Ham United
Crysencio Summerville,West Ham United
Valentin Castellanos,West Ham United
Jose Sa,Wolverhampton Wanderers
Yerson Mosquera,Wolverhampton Wanderers
Santiago Bueno,Wolverhampton Wanderers
Ladislav Krejci,Wolverhampton Wanderers
David Moller Wolfe,Wolverhampton Wanderers
Joao Gomes,Wolverhampton Wanderers
Andre,Wolverhampton Wanderers
Rodrigo Gomes,Wolverhampton Wanderers
Mateus Mane,Wolverhampton Wanderers
Hwang Hee-Chan,Wolverhampton Wanderers
Adam Armstrong,Wolverhampton Wanderers
