Team,Gameweek,Opponent,Win,Opponent Win,Diff,Venue,F1 Score 1+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,#N/A,#N/A,0.219949412,0.337349398,0.311926606,0.042145594,0.453514739,0
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,#N/A,#N/A,0.219949412,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,#N/A,#N/A,#N/A,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,#N/A,#N/A,0.219949412,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,0.136054422,0.041407867,0.219949412,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,0.063492063,0.036630037,0.19047619,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,0.079365079,0.086580087,0.280112045,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,#N/A,#N/A,#N/A,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,0.063492063,0.073260073,0.219949412,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,0.100250627,0.063492063,0.280112045,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,0.063492063,0.086580087,0.253968254,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,0.119047619,0.086580087,0.19047619,0.337349398,0.311926606,0.042145594,#N/A,#N/A
Arsenal,GW1,Man Utd,0.50,0.25,0.24,A,#N/A,#N/A,#N/A,0.337349398,0.311926606,0.042145594,#N/A,#N/A
