Match,Date,Player_Name,Booking_Odds
Chelsea v Fulham,Sat 30 Aug 13:30,Sasa Lukic,2.40
Chelsea v Fulham,Sat 30 Aug 13:30,Dario Essugo,2.50
Chelsea v Fulham,Sat 30 Aug 13:30,Andreas Pereira,2.62
Chelsea v Fulham,Sat 30 Aug 13:30,Harrison Reed,3.00
Chelsea v Fulham,Sat 30 Aug 13:30,Issa Diop,3.00
Chelsea v Fulham,Sat 30 Aug 13:30,Antonee Robinson,3.00
Chelsea v Fulham,Sat 30 Aug 13:30,Rodrigo Muniz,3.00
Chelsea v Fulham,Sat 30 Aug 13:30,Adama Traore,3.00
Chelsea v Fulham,Sat 30 Aug 13:30,Kenny Tete,3.40
Chelsea v Fulham,Sat 30 Aug 13:30,Raul Jimenez,3.40
Chelsea v Fulham,Sat 30 Aug 13:30,Sander Berge,3.40
Chelsea v Fulham,Sat 30 Aug 13:30,Calvin Bassey,3.40
Chelsea v Fulham,Sat 30 Aug 13:30,Jorrel Hato,3.40
Chelsea v Fulham,Sat 30 Aug 13:30,Joshua King,3.40
Chelsea v Fulham,Sat 30 Aug 13:30,Wesley Fofana,3.60
Chelsea v Fulham,Sat 30 Aug 13:30,Andrey Santos,3.60
Chelsea v Fulham,Sat 30 Aug 13:30,Estevao,3.60
Chelsea v Fulham,Sat 30 Aug 13:30,Reece James,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Joachim Andersen,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Bernd Leno,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Pedro Neto,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Marc Cucurella,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Malo Gusto,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Romeo Lavia,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Moises Caicedo,3.75
Chelsea v Fulham,Sat 30 Aug 13:30,Trevoh Chalobah,4.33
Chelsea v Fulham,Sat 30 Aug 13:30,Nicolas Jackson,4.33
Chelsea v Fulham,Sat 30 Aug 13:30,Josh Acheampong,4.33
Chelsea v Fulham,Sat 30 Aug 13:30,Tom Cairney,4.50
Chelsea v Fulham,Sat 30 Aug 13:30,Harry Wilson,4.50
Chelsea v Fulham,Sat 30 Aug 13:30,Ryan Sessegnon,4.50
Chelsea v Fulham,Sat 30 Aug 13:30,Timothy Castagne,4.50
Chelsea v Fulham,Sat 30 Aug 13:30,Jorge Cuenca,4.50
Chelsea v Fulham,Sat 30 Aug 13:30,Liam Delap,5.00
Chelsea v Fulham,Sat 30 Aug 13:30,Enzo Fernandez,5.00
Chelsea v Fulham,Sat 30 Aug 13:30,Cole Palmer,5.50
Chelsea v Fulham,Sat 30 Aug 13:30,Alexander Borto,5.50
Chelsea v Fulham,Sat 30 Aug 13:30,Alfie McNally,5.50
Chelsea v Fulham,Sat 30 Aug 13:30,Benoit Badiashile,6.00
Chelsea v Fulham,Sat 30 Aug 13:30,Joao Pedro,6.00
Chelsea v Fulham,Sat 30 Aug 13:30,Benjamin Lecomte,6.00
Chelsea v Fulham,Sat 30 Aug 13:30,Emile Smith Rowe,6.00
Chelsea v Fulham,Sat 30 Aug 13:30,Jamie Bynoe-Gittens,6.00
Chelsea v Fulham,Sat 30 Aug 13:30,Tyrique George,6.00
